date,货币信用周期策略0.2（股指信号）
2018-01-02,1.002183617124334
2018-01-03,1.0035592197943153
2018-01-04,1.0043510070183248
2018-01-05,1.004311876402893
2018-01-08,1.0058221080178893
2018-01-09,1.0082175085311944
2018-01-10,1.0058536507320548
2018-01-11,1.0050560420278474
2018-01-12,1.0041949037662956
2018-01-15,1.0017854932048007
2018-01-16,1.0020229558894123
2018-01-17,0.9988859838286865
2018-01-18,0.9997198630260461
2018-01-19,1.0008961150933218
2018-01-22,1.007966959199835
2018-01-23,1.0090445648832225
2018-01-24,1.0076531664844903
2018-01-25,1.0099231325262623
2018-01-26,1.0099457085686088
2018-01-29,1.0070603791406638
2018-01-30,1.0033087101593277
2018-01-31,1.0028418325732082
2018-02-01,0.995789494509702
2018-02-02,0.9957674733898482
2018-02-05,0.9938273021262946
2018-02-06,0.9825576760771483
2018-02-07,0.9808472467858257
2018-02-08,0.979136435462125
2018-02-09,0.965239237984771
2018-02-12,0.9748337131163266
2018-02-13,0.9782634418824061
2018-02-14,0.982102180316799
2018-02-22,0.9926531363038332
2018-02-23,0.9956973104711113
2018-02-26,1.0055690709172993
2018-02-27,1.0040174810832068
2018-02-28,1.0033024373769568
2018-03-01,1.0086128851758063
2018-03-02,1.0114858781656424
2018-03-05,1.0093613302414097
2018-03-06,1.017239843614835
2018-03-07,1.0125208306411058
2018-03-08,1.015262733715133
2018-03-09,1.016828956700264
2018-03-12,1.0188795041901157
2018-03-13,1.014893277702172
2018-03-14,1.0141983195059026
2018-03-15,1.0140119147916535
2018-03-16,1.0160257121150222
2018-03-19,1.013702421744923
2018-03-20,1.0150567382061573
2018-03-21,1.0116327530632467
2018-03-22,1.0126892394547782
2018-03-23,1.0002448986907873
2018-03-26,1.0063063908770795
2018-03-27,1.0112799180450625
2018-03-28,1.004166779910712
2018-03-29,1.008993799259263
2018-03-30,1.0198705831544113
2018-04-02,1.0220000157401645
2018-04-03,1.0208274147170229
2018-04-04,1.0219053752077114
2018-04-09,1.0282556412812418
2018-04-10,1.0273283076798678
2018-04-11,1.0303455734388758
2018-04-12,1.031533597386362
2018-04-13,1.0315734960129155
2018-04-16,1.0337348569084612
2018-04-17,1.0394150464025853
2018-04-18,1.0446634217829303
2018-04-19,1.0496435426326305
2018-04-20,1.0453374738447843
2018-04-23,1.0446981701604885
2018-04-24,1.04182736583512
2018-04-25,1.0390409386155635
2018-04-26,1.0388717318458847
2018-04-27,1.0384938922824245
2018-05-02,1.0405997629384391
2018-05-03,1.0422718926918981
2018-05-04,1.042866127775621
2018-05-07,1.0428680102143053
2018-05-08,1.0392767165077503
2018-05-09,1.0384141112534466
2018-05-10,1.0434273645970724
