方案,回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,日度胜率,平均资金占用
v0.19 IF+IC+TL,全局 (Total),风险平价策略,12.64%,6.53%,1.85,-7.79%,56.42%,15.50%
v0.19_1 IF+IC without TL,全局 (Total),风险平价策略,12.25%,6.57%,1.79,-7.79%,56.30%,15.66%
