Date,Inflation_Factor_NAV,Inflation_Factor_YoY
2014-01-03,1.0,-0.04098931904053893
2014-01-10,0.9874739992425937,-0.06632586366781446
2014-01-17,0.973929007601947,-0.08466116767861265
2014-01-24,0.9563647068203136,-0.10540357493659813
2014-01-31,0.9432765809180378,-0.12251927032847187
2014-02-07,0.937067953273688,-0.13539072685660203
2014-02-14,0.9275900338241506,-0.14703431468736172
2014-02-21,0.9265760970798129,-0.15403435277308852
2014-02-28,0.9249637558819592,-0.1504160716853944
2014-03-07,0.9226054812002236,-0.14217458690085516
2014-03-14,0.9174563573366601,-0.13329235785649418
2014-03-21,0.9043060966821707,-0.13490374026191254
2014-03-28,0.8955389450041521,-0.13774697484333287
2014-04-04,0.8921353448468339,-0.13603851096115938
2014-04-11,0.8958259630721702,-0.12676757424820528
2014-04-18,0.9020880467504416,-0.11067624653221375
2014-04-25,0.905322268401967,-0.09651778936304711
2014-05-02,0.9047909587181007,-0.08776578223993048
2014-05-09,0.9002113631159164,-0.08720904547133179
2014-05-16,0.8963064099232567,-0.09065338706717618
2014-05-23,0.8904890704319907,-0.09527686945860292
2014-05-30,0.8864123942961167,-0.09443906935626079
2014-06-06,0.8810627518224435,-0.09363274369116559
2014-06-13,0.8771280839470214,-0.09093683932812746
2014-06-20,0.8768500934835559,-0.08942817457916119
2014-06-27,0.8772668182685928,-0.08691137440697905
2014-07-04,0.8775795870971979,-0.0876231361550035
2014-07-11,0.8744043961141816,-0.09492813704782155
2014-07-18,0.8694053148588536,-0.10309287311854065
2014-07-25,0.8610942228715084,-0.11794190113241287
2014-08-01,0.8534462353701985,-0.12735528646080918
2014-08-08,0.8485511759172141,-0.13299176863796747
2014-08-15,0.8429822943374318,-0.1417641510107186
2014-08-22,0.8373131956572206,-0.1494913990264246
2014-08-29,0.8328772287197286,-0.1584217019279176
2014-09-05,0.8255246239029133,-0.16821492589345977
2014-09-12,0.8163862849538923,-0.1737558157560185
2014-09-19,0.8087825862616014,-0.17483651117407062
2014-09-26,0.7964627674710532,-0.17690080640789618
2014-10-03,0.7815387646511861,-0.18235397382113194
2014-10-10,0.7705485894248675,-0.1920463560726957
2014-10-17,0.760039567925322,-0.20508325724576737
2014-10-24,0.755005648025374,-0.21140894951077682
2014-10-31,0.7537801897205891,-0.21365386835375388
2014-11-07,0.7526015330307428,-0.21271161500866032
2014-11-14,0.7494840313328124,-0.21525663971657594
2014-11-21,0.7436915267941173,-0.22413539140349004
2014-11-28,0.7354383635302171,-0.23898742710217047
2014-12-05,0.7265397047238873,-0.25782047127069785
2014-12-12,0.7154936545721499,-0.27706437576406817
2014-12-19,0.7042413796710528,-0.29485534117878587
2014-12-26,0.6934319485618381,-0.3102816299043344
2015-01-02,0.6856376395471183,-0.3143623604528817
2015-01-09,0.6722261663214771,-0.3192467175469087
2015-01-16,0.658779803603603,-0.3235853964082237
