date,策略名称,股指期货信号,股指期货仓位,沪深300主连,中证1000主连,红利低波ETF,10年国债主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连
2018-01-05,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.2570795216300921,0.0,0.0648368831779127,0.06371113222646334,0.07439393035026813,0.0,0.09100402824495307,0.1489745043703106
2018-01-12,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.2523238655138191,0.0,0.06525608798314915,0.062916639715582,0.07524373002021023,0.0,0.08587515394277316,0.15838452282446633
2018-01-19,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.25051842884422293,0.0,0.06156021057284054,0.055507317175149964,0.07575895686887907,0.0,0.09946215920248581,0.1571929273364217
2018-01-26,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.26897435295383026,0.0,0.05591151161121929,0.054633081363687094,0.07853867047571618,0.0,0.0940332777464521,0.14790910584909503
2018-02-02,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.28781228499847566,0.0,0.05691997482605609,0.05386632911000296,0.07496653078836218,0.0,0.092671411507303,0.1337634687698
2018-02-09,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.2832187530564085,0.0,0.05405543674571057,0.05861212760935505,0.0817941075058694,0.0,0.10513587644603534,0.11718369863662105
2018-02-14,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.28109253333531703,0.0,0.0550332520360132,0.05522130685875225,0.08309483963322609,0.0,0.10655998351726455,0.11899808461942686
2018-02-23,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.27564100272213715,0.0,0.057000061959055916,0.057350563324711994,0.08617585365545534,0.0,0.11030046222622776,0.1135320561124119
2018-03-02,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.28382921380262593,0.0,0.05288622061573394,0.05884953130420618,0.08680212721018528,0.0,0.11337605371261353,0.10425685335463515
2018-03-09,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.31714745239384895,0.0,0.04782568015778365,0.05318847074005235,0.06632109073241586,0.0,0.11001291031893375,0.10550439565696523
2018-03-16,风险平价策略,1.0,0.3,0.3,0.0,0.0,0.3118607771990312,0.0,0.05140482472999407,0.05381152731913381,0.07024872988672698,0.0,0.10055511300534947,0.1121190278597644
2018-03-23,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.47889978193694255,0.0,0.05921940726847964,0.07294499795344876,0.09644414307645154,0.0,0.12936923856245164,0.16312243120222586
2018-03-30,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.47786383237978897,0.0,0.058321960353288634,0.0774697491103811,0.08818616209830095,0.053608297853927414,0.1142108419145095,0.13033915628980336
2018-04-04,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.46772448396555605,0.0,0.060727110301146504,0.07963169239515101,0.08832074145312767,0.04862028347580458,0.11881212162137181,0.13616356678784247
2018-04-13,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.45239468860842,0.0,0.06596547753032053,0.0879203998652111,0.09653243883004843,0.054081306743843885,0.09939544965298952,0.14371023876916653
2018-04-20,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.46448852807227947,0.0,0.06708128784281413,0.07045326135878009,0.09870134226191837,0.05526845920021642,0.1006839162565293,0.14332320500746218
2018-04-27,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.42743820122761506,0.0,0.07794311820001883,0.0618748120604744,0.11424653275978612,0.059916077183007795,0.10537154081031275,0.15320971775878503
2018-05-04,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.42541643888016567,0.0,0.07705079829371651,0.062398773986004935,0.11564366218683086,0.060709072255722404,0.10588808240925045,0.1528931719883091
2018-05-11,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.37725972527865076,0.0,0.08448774787029445,0.07008802518025786,0.1343964289479238,0.06874471693680881,0.08821260341715915,0.17681075236890512
2018-05-18,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.3932995250302306,0.0,0.0867462870783898,0.07450340725579539,0.14210485700245182,0.07145032874340732,0.07813820225928851,0.1537573926304366
2018-05-25,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.40155238056357884,0.0,0.0888112086488873,0.072647081772237,0.13320118779690793,0.06875611049643185,0.07835849365810564,0.15667353706385148
2018-06-01,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.38710127838852815,0.0,0.09566604078227281,0.08275726907861373,0.1121565835426102,0.06312508184475887,0.08585472010948787,0.1733390262537283
2018-06-08,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.39738880375910907,0.0,0.0991758429799343,0.08211202512952455,0.11122110013287372,0.06499987997446052,0.06732936342180501,0.1777729846022928
2018-06-15,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.3960016412652114,0.0,0.09757626687026842,0.07397758740615015,0.10933199161061606,0.06287771519996295,0.07221878103009093,0.18801601661770007
2018-06-22,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.4508612515913448,0.0,0.06753594580550705,0.07282915288242801,0.08777668659359167,0.06691463655782565,0.08541467843505414,0.16866764813424873
2018-06-29,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.44165601845601726,0.0,0.06840030007002092,0.07295719235828875,0.08945438094491791,0.06866256417669793,0.08731844610842024,0.17155109788563697
2018-07-06,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.42358320390008164,0.0,0.05894183252974244,0.07564408677487401,0.09803723625416878,0.0684926892418506,0.08259794050825138,0.1927030107910311
2018-07-13,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.44247797064579386,0.0,0.05341768725837651,0.0749431437557091,0.10103863906674643,0.06111114747904396,0.07835254597846278,0.18865886581586724
2018-07-20,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.39240793228450443,0.0,0.05950048960217071,0.08602668764809822,0.11316971826533266,0.06495544804204077,0.09193819243548831,0.19200153172236492
2018-07-27,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.3832136949440687,0.0,0.06078998409537825,0.08773458810396713,0.11575674922680534,0.06624505627215506,0.09290891020584738,0.19335101715177813
2018-08-03,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.39222229067658426,0.0,0.06038394391035234,0.08390234755415384,0.1226404020919147,0.062645758544331,0.08470224816645304,0.19350300905621068
2018-08-10,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.36560879093860255,0.0,0.06901341480262257,0.08982710901042495,0.1031758275371165,0.05840313751932515,0.09693638089586203,0.21703533929604638
2018-08-17,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.34796695041107145,0.0,0.06903543810589821,0.1064147327297272,0.14235431575304622,0.062268184711334384,0.09440762431497164,0.17755275397395093
2018-08-24,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.36269019289381904,0.0,0.06978898917460226,0.1107196917654669,0.12291509136071226,0.0648066509091417,0.08100036200013205,0.1880790218961257
2018-08-31,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.37376390704130835,0.0,0.07190978841822146,0.10649060462094502,0.12245818129647254,0.06517342409984726,0.07455979744471225,0.18564429707849311
2018-09-07,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.3760814194042534,0.0,0.0734673068972841,0.10456578892764905,0.10419617265564463,0.07078403919080042,0.08216579746350243,0.18873947546086597
2018-09-14,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.3740966137501595,0.0,0.0798713764833221,0.1097658496396511,0.07830385091567879,0.07253023464166403,0.07931613164775937,0.20611594292176516
2018-09-21,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.36520276538688196,0.0,0.08002357449128057,0.11030200579654324,0.07764282340876817,0.07471270020568548,0.08406293290523278,0.20805319780560783
2018-09-28,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.38645259690422623,0.0,0.08257718067595866,0.10162566549415894,0.07796941633764062,0.07939163422834455,0.08847282491974781,0.18351068143992336
2018-10-12,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.42095525178221704,0.0,0.07481430086970496,0.08727292333030304,0.07119007454354136,0.05652064792090572,0.08591262727420144,0.2033341742791264
2018-10-19,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.4322944097893244,0.0,0.07575474735544248,0.08220177771747596,0.05653255347880337,0.04967696850982701,0.08785774111655476,0.2156818020325721
2018-10-26,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.4342695392731396,0.0,0.07371105079825223,0.08709696873216465,0.05270602698848739,0.048233361474532645,0.07944293197592614,0.22454012075749738
2018-11-02,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.42207669795841535,0.0,0.08552587888835886,0.09896636375668261,0.057639141363313086,0.04554689001989381,0.053463591624677384,0.2367814363886588
2018-11-09,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.4333876075528128,0.0,0.08574601646192766,0.10165298630348134,0.05251643560369267,0.043351432705790886,0.05406615716235703,0.22927936420993758
2018-11-16,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.46670682439574684,0.0,0.08681946000486712,0.0984704119139354,0.048765572363193094,0.03673852725016174,0.05232002662824853,0.21017917744384726
2018-11-23,风险平价策略,-1.0,0.0,0.0,0.0,0.0,0.45904204825795075,0.0,0.0894007468184949,0.10075600270543636,0.03968741572734321,0.03213654374455052,0.05370914766397572,0.22526809508224854
