10年国债主连,30年国债主连,PTA主连,date,中证1000主连,原油主连,方案名称,沪深300主连,沪金主连,沪铜主连,沪铝主连,策略名称,红利低波ETF,股指期货仓位,股指期货信号,股指期货目标仓位,豆粕主连
0.2624852015228085,0.0,0.07184499928916091,2018-01-05,0.0,0.0,固定仓位_20%,0.2,0.14300320594079946,0.06251085525495735,0.06295769802401643,风险平价策略,0.10970633440439613,0.2,1.0,0.2,0.08749170556386114
0.25409719070949865,0.0,0.07255318545905913,2018-01-12,0.0,0.0,固定仓位_20%,0.2,0.1512173414243727,0.06285045169295612,0.06217675152903941,风险平价策略,0.11492989919579391,0.2,1.0,0.2,0.08217517998928008
0.24832810694535346,0.0,0.0722480975296167,2018-01-19,0.0,0.0,固定仓位_20%,0.2,0.14788445298258948,0.05856933905896288,0.05457930360611599,风险平价策略,0.12457104157459382,0.2,1.0,0.2,0.09381965830276777
0.263172670816345,0.0,0.07404519056163081,2018-01-26,0.0,0.0,固定仓位_20%,0.2,0.13890101698708487,0.05325889548448612,0.05329285929132428,风险平价策略,0.12886747045315014,0.2,1.0,0.2,0.08846189640597879
0.2980060836760976,0.0,0.07317562371984433,2018-02-02,0.0,0.0,固定仓位_20%,0.2,0.12701835259010627,0.05684276495813345,0.05423666497620577,风险平价策略,0.09763761705133919,0.2,1.0,0.2,0.09308289302827344
0.3139115542990141,0.0,0.08497868196510777,2018-02-09,0.0,0.0,固定仓位_20%,0.2,0.12006630362747513,0.05555259127184597,0.06238706953037018,风险平价策略,0.04962104871514443,0.2,1.0,0.2,0.11348275059104243
0.31149359689261175,0.0,0.08620553445885204,2018-02-14,0.0,0.0,固定仓位_20%,0.2,0.12174588548872034,0.05645509240517604,0.05897521610670786,风险平价策略,0.050185171641103234,0.2,1.0,0.2,0.11493950300682879
0.3050558979874984,0.0,0.08897940643176461,2018-02-23,0.0,0.0,固定仓位_20%,0.2,0.11648336059612918,0.058193918754526563,0.06098313043758072,风险平价策略,0.05180461395215527,0.2,1.0,0.2,0.11849967184034536
0.31457755844565793,0.0,0.09014761773421845,2018-03-02,0.0,0.0,固定仓位_20%,0.2,0.10599319001308057,0.05394972155039638,0.06269637034276686,风险平价策略,0.050511419174806685,0.2,1.0,0.2,0.12212412273907321
0.3462614384720368,0.0,0.06923173798373881,2018-03-09,0.0,0.0,固定仓位_20%,0.2,0.10636926300081753,0.04884773541629819,0.05611906302377059,风险平价策略,0.05577059224828641,0.2,1.0,0.2,0.11740016985505175
0.3368201959536978,0.0,0.07358374245145317,2018-03-16,0.0,0.0,固定仓位_20%,0.2,0.1138605919643559,0.05279985264393993,0.05655969263112856,风险平价策略,0.057676194800524806,0.2,1.0,0.2,0.10869972955489995
0.46066530950596596,0.0,0.08662870739830224,2018-03-23,0.0,0.0,固定仓位_20%,0.0,0.1500247813556201,0.05240100874566573,0.06606071496890634,风险平价策略,0.059250745198024465,0.0,-1.0,0.0,0.12496873282751525
0.4611252068006815,0.0,0.0806403142726533,2018-03-30,0.0,0.047450888175592475,固定仓位_20%,0.0,0.1222650456128805,0.052444202462469884,0.07070845319057388,风险平价策略,0.054459275901249396,0.0,-1.0,0.0,0.11090661358389904
0.44955757258836904,0.0,0.08123640050024464,2018-04-04,0.0,0.042988717859580305,固定仓位_20%,0.0,0.1279465275516206,0.05470565141196245,0.07293838608546085,风险平价策略,0.05522175841365699,0.0,-1.0,0.0,0.1154049855891051
0.4352488365636921,0.0,0.0886733228678836,2018-04-13,0.0,0.047731948130893945,固定仓位_20%,0.0,0.13445098129596508,0.05910593655385823,0.08022617157455075,风险平价策略,0.05859799919021981,0.0,-1.0,0.0,0.0959648038229365
0.4493682373979293,0.0,0.09128315425604679,2018-04-20,0.0,0.04922174172510067,固定仓位_20%,0.0,0.13465805798250988,0.06067221055837753,0.06413059342417111,风险平价策略,0.05409789772416336,0.0,-1.0,0.0,0.09656810693170133
0.41076521030908697,0.0,0.10440394521063028,2018-04-27,0.0,0.05347271314037629,固定仓位_20%,0.0,0.1439189860910856,0.07046160976266744,0.05761359538416248,风险平价策略,0.05972084759625402,0.0,-1.0,0.0,0.0996430925057368
0.40866541566614706,0.0,0.10545847554967303,2018-05-04,0.0,0.05408454890306427,固定仓位_20%,0.0,0.14356390794494223,0.06971183117273727,0.058023259346033994,风险平价策略,0.060576007734323346,0.0,-1.0,0.0,0.099916553683079
0.3620868380581748,0.0,0.12125622267051533,2018-05-11,0.0,0.06037455618601432,固定仓位_20%,0.0,0.16440265614235805,0.07599847041462188,0.06464513441837806,风险平价策略,0.06841086646995007,0.0,-1.0,0.0,0.08282525563998741
0.376557013268714,0.0,0.12814975346236546,2018-05-18,0.0,0.06304179603159213,固定仓位_20%,0.0,0.14208036236204097,0.078133325131268,0.06877878237478277,风险平价策略,0.07015691949907922,0.0,-1.0,0.0,0.07310204787015752
0.3831044008651307,0.0,0.12036810500750368,2018-05-25,0.0,0.06121277368015426,固定仓位_20%,0.0,0.1451848835580022,0.07962891787540678,0.0673921231192312,风险平价策略,0.06951394900102417,0.0,-1.0,0.0,0.07359484689354702
0.3709772545872449,0.0,0.10331134395320239,2018-06-01,0.0,0.05736909079409425,固定仓位_20%,0.0,0.16005856187383335,0.0819275544116959,0.07618619235166982,风险平价策略,0.07168880297704978,0.0,-1.0,0.0,0.07848119905120966
0.3831802657764981,0.0,0.10282624078448692,2018-06-08,0.0,0.05978512329915312,固定仓位_20%,0.0,0.165808943091349,0.08532479581483796,0.07490835967384543,风险平价策略,0.06827632323931657,0.0,-1.0,0.0,0.05988994832051273
0.38216313729103646,0.0,0.10066210030043844,2018-06-15,0.0,0.057737672726307816,固定仓位_20%,0.0,0.17527405515142286,0.08447788553886999,0.06676099563298712,风险平价策略,0.06880346061622601,0.0,-1.0,0.0,0.06412069274271133
