方案,回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
v0.18 IF+IM,全局 (Total),风险平价策略,12.40%,6.57%,1.81,-7.86%,68.63%,15.50%
v0.18_1 IF+IC,全局 (Total),风险平价策略,12.71%,6.53%,1.86,-7.79%,69.61%,15.50%
