日期,风险平价策略
2018-01-03,1.0006235344165955
2018-01-04,1.0029565513409466
2018-01-05,1.003982237177541
2018-01-08,1.0052084686157188
2018-01-09,1.0080440215977564
2018-01-10,1.0056216723223776
2018-01-11,1.0087873409739512
2018-01-12,1.007092435738696
2018-01-15,1.006305787997869
2018-01-16,1.0018774603268805
2018-01-17,0.9961021371746519
2018-01-18,0.9965503937374416
2018-01-19,0.9957985002053843
2018-01-22,1.0015058162472357
2018-01-23,1.0039613313577251
2018-01-24,1.0109271378156435
2018-01-25,1.0114773469789091
2018-01-26,1.0085504450416167
2018-01-29,1.0019904927561163
2018-01-30,0.9956425194432885
2018-01-31,0.9962190342519599
2018-02-01,0.9838970785776826
2018-02-02,0.9813341534631106
2018-02-05,0.9807604264355879
2018-02-06,0.9667181985685306
2018-02-07,0.9620277302371754
2018-02-08,0.9629621768954155
2018-02-09,0.9475632292851589
2018-02-12,0.9642212572381594
2018-02-13,0.9665099365939438
2018-02-14,0.9717045742299275
2018-02-22,0.9835025175471432
2018-02-23,0.9860964918447013
2018-02-26,0.9976250560518521
2018-02-27,0.9966787924829777
2018-02-28,0.997195490042514
2018-03-01,1.0022939626122074
2018-03-02,1.0049947600690345
2018-03-05,1.0027465222901386
2018-03-06,1.009377748042492
2018-03-07,1.0033920475437483
2018-03-08,1.0067864889974247
2018-03-09,1.0096534049168349
2018-03-12,1.0102458118559257
2018-03-13,1.0063454774672183
2018-03-14,1.0046376257167053
2018-03-15,1.0047979219311436
2018-03-16,1.0056279952710592
2018-03-19,1.0036980856044013
2018-03-20,1.005406237015354
2018-03-21,1.0034148487883927
2018-03-22,1.0035370942936248
2018-03-23,1.0114455299039131
2018-03-26,1.01252833195133
2018-03-27,1.0103322714917895
2018-03-28,1.0058770434178255
2018-03-29,1.0019969408417893
2018-03-30,1.0120713808020123
2018-04-02,1.0126447054782732
2018-04-03,1.0083670942402363
2018-04-04,1.0114377362561693
2018-04-09,1.0199565745743764
2018-04-10,1.015516238387008
2018-04-11,1.0183402865610236
2018-04-12,1.0202338045274602
2018-04-13,1.0207653363022728
2018-04-16,1.0233631922813275
2018-04-17,1.0285706765283245
2018-04-18,1.033571129802491
2018-04-19,1.0372577256700657
2018-04-20,1.0322771010538645
2018-04-23,1.031778212849191
2018-04-24,1.0291205508355528
2018-04-25,1.0258182577192
2018-04-26,1.0253779613465615
2018-04-27,1.0253136110675416
2018-05-02,1.0282204198714475
2018-05-03,1.0301607392503425
2018-05-04,1.0307319034408646
2018-05-07,1.0301743104825336
2018-05-08,1.0263173840744533
2018-05-09,1.024512844886156
2018-05-10,1.031309362766467
2018-05-11,1.0324645987680976
2018-05-14,1.031459428882886
2018-05-15,1.034178729042467
2018-05-16,1.034741110629321
2018-05-17,1.0384087825725756
2018-05-18,1.0411784599943477
2018-05-21,1.0421853104951044
2018-05-22,1.0362918574888544
2018-05-23,1.0343392312402542
2018-05-24,1.0344702547660785
2018-05-25,1.0335786584344928
2018-05-28,1.0246167253544156
2018-05-29,1.025531024464364
2018-05-30,1.0256675368620536
2018-05-31,1.0250117949015642
2018-06-01,1.0265412099531825
2018-06-04,1.0253216928613882
2018-06-05,1.0238178251893981
2018-06-06,1.0258992105328513
2018-06-07,1.029107740336865
2018-06-08,1.0275771390877493
2018-06-11,1.0290883564541968
2018-06-12,1.0269272881056593
2018-06-13,1.0251939518422337
2018-06-14,1.0284507891390455
2018-06-15,1.0300203335318332
2018-06-19,1.0248910723642601
2018-06-20,1.0212885270758194
