日期,风险平价策略
2018-01-03,1.0002038763067629
2018-01-04,0.999801219359222
2018-01-05,0.9990912114354802
2018-01-08,1.000881528444761
2018-01-09,1.0028075990940055
2018-01-10,1.0003540367888826
2018-01-11,1.0013119031048343
2018-01-12,0.9964949043506561
2018-01-15,0.9954181962679689
2018-01-16,0.9910377802996686
2018-01-17,0.9853249424887146
2018-01-18,0.9854806191767294
2018-01-19,0.9863134233687484
2018-01-22,0.9923538687316034
2018-01-23,0.9945966089699689
2018-01-24,0.9975878477205185
2018-01-25,1.0009586308575031
2018-01-26,0.9972511727264827
2018-01-29,0.9920983234625914
2018-01-30,0.9835873374137718
2018-01-31,0.9828811972895338
2018-02-01,0.9725540486660774
2018-02-02,0.9749635475220786
2018-02-05,0.9709738300764352
2018-02-06,0.9566236377500273
2018-02-07,0.9517585703187736
2018-02-08,0.9513618954348013
2018-02-09,0.9340205173771534
2018-02-12,0.940396296745651
2018-02-13,0.9441605958643404
2018-02-14,0.9493216709011384
2018-02-22,0.9726067546797764
2018-02-23,0.9761330867233247
2018-02-26,0.9888206069574526
2018-02-27,0.9869321692267731
2018-02-28,0.9901263617800773
2018-03-01,0.9947833039066357
2018-03-02,0.9974638630215314
2018-03-05,0.9952324723426643
2018-03-06,1.001814007210623
2018-03-07,0.995873160372818
2018-03-08,0.9985885113873414
2018-03-09,1.0002267059208394
2018-03-12,1.0007225250134397
2018-03-13,0.9968589579171371
2018-03-14,0.995167205577197
2018-03-15,0.9954236194050549
2018-03-16,0.9974200729691836
2018-03-19,0.996486470219509
2018-03-20,0.9982405420582933
2018-03-21,0.9962633467814551
2018-03-22,0.9963847210229453
2018-03-23,1.0042367919170776
2018-03-26,1.0053118766569176
2018-03-27,1.0031314678800312
2018-03-28,0.9988974952713335
2018-03-29,0.9948810013489134
2018-03-30,1.004883895077547
2018-04-02,1.005453148140872
2018-04-03,1.0012059154613946
2018-04-04,1.0053833491192872
2018-04-09,1.0140264789912545
2018-04-10,1.0106355774119802
2018-04-11,1.0130847605769835
2018-04-12,1.015375466192771
2018-04-13,1.0136738249002188
2018-04-16,1.016154076641199
2018-04-17,1.0213248765942775
2018-04-18,1.0262901040110177
2018-04-19,1.029950729532846
2018-04-20,1.0258889950593126
2018-04-23,1.0241108479934284
2018-04-24,1.0213674785228901
2018-04-25,1.017894467173563
2018-04-26,1.0172648241573752
2018-04-27,1.0169294653154284
2018-05-02,1.02060766474183
2018-05-03,1.0229754372056288
2018-05-04,1.023131218833943
2018-05-07,1.023224503316271
2018-05-08,1.0195553277154652
2018-05-09,1.0185349544144962
2018-05-10,1.0246627185557589
2018-05-11,1.024714408066668
2018-05-14,1.023720870001755
2018-05-15,1.0264197685208925
2018-05-16,1.0269779308210718
2018-05-17,1.0278537346569456
2018-05-18,1.0297200645366251
2018-05-21,1.031214453668121
