日期,风险平价策略,全天候策略,全天候增强策略 (动量择时)
2018-01-08,1.0020526002179495,1.0018469032362036,0.9994218897634675
2018-01-09,1.0056326524265489,1.005405912658194,1.003889312464966
2018-01-10,1.005278708937659,1.0050232732601496,1.0030494163861252
2018-01-11,1.005103283362706,1.0053984068284545,1.0049321704802867
2018-01-12,1.0059378858423493,1.0065996432181288,1.0021110847572405
2018-01-15,1.0070112430832037,1.0075681879870388,1.0056123271809037
2018-01-16,1.008911637040092,1.0092386007668719,1.0013314435824774
2018-01-17,1.0052951977159952,1.0055121796516027,0.9965910462884748
2018-01-18,1.0063482269588337,1.006119173858009,0.998504121341585
2018-01-19,1.0076741479084785,1.0070491727137456,1.0019266785724221
2018-01-22,1.013908292667987,1.012811540272157,1.007105203076435
2018-01-23,1.0181582958045088,1.0171734978192717,1.0100265776375934
2018-01-24,1.01850393566707,1.0180573091475755,1.0085714773168875
2018-01-25,1.0188246435927348,1.0185516560398475,1.0130634766908226
2018-01-26,1.01926867201032,1.0183324222178893,1.0101499211597915
2018-01-29,1.0131136991885694,1.0116446548178593,1.0075206031814061
2018-01-30,1.005496555235356,1.0036429281186066,0.9982184764725138
2018-01-31,1.0078929145699698,1.0058299585424146,1.0010793871335801
2018-02-01,1.0025677654350442,1.000840085299052,0.9936398264190492
2018-02-02,1.0050193955365185,1.0036687090370024,0.9965261649609299
2018-02-05,1.0031244633320344,1.0008342496875977,0.9923172601142934
2018-02-06,0.991157873483486,0.9898313027648762,0.984042063235155
2018-02-07,0.9823157919665634,0.979375657295288,0.9744670177963642
2018-02-08,0.9778959100413319,0.9750229517887994,0.9705216220509703
2018-02-09,0.9586768521093051,0.9568014862866011,0.9558379560034761
2018-02-12,0.9674600947958505,0.9651855703454338,0.9635129492934206
2018-02-13,0.9725031246636092,0.9709872895110399,0.9689130577624739
2018-02-14,0.9771400367795376,0.9762244075417635,0.9742712384750924
2018-02-22,0.9870081606883253,0.9841819361645789,0.9801553501081804
2018-02-23,0.9919591138864451,0.9897775333560647,0.9853837338490807
2018-02-26,1.000083512326106,0.9975091652477537,0.9933319396608963
2018-02-27,0.995308341059811,0.9916250027873256,0.9871209306246519
2018-02-28,0.99184030724567,0.9865833510181141,0.9810301558468902
2018-03-01,0.9955195312653411,0.9895692745410261,0.9833608971498459
2018-03-02,0.9966548346045453,0.990088840285465,0.9824883635237988
2018-03-05,0.9940425363259221,0.9877928703573746,0.9822915357783362
2018-03-06,1.0019692936782039,0.9955560912898441,0.989694059813309
2018-03-07,0.9960862427511659,0.9901992415421318,0.9865970622536178
2018-03-08,0.999210751093152,0.9930941286726523,0.9907701143867431
2018-03-09,0.9988596977209232,0.9921229373122853,0.9924282152224789
2018-03-12,0.9996009510008712,0.993609169972484,0.9942332492455337
2018-03-13,0.9945695175847149,0.9885032486760713,0.98909879507495
2018-03-14,0.9944570711177897,0.9887752228237009,0.9885868167055692
2018-03-15,0.9964657823274954,0.9908353729942894,0.9911173634561944
2018-03-16,0.9958984554388227,0.989118192635395,0.9885791399668271
2018-03-19,0.9955828351278301,0.9884307695073691,0.9891317028172475
2018-03-20,0.996200096005473,0.9893608111748514,0.991201595720617
2018-03-21,0.9936693441997629,0.9864370626290526,0.9890258563445814
2018-03-22,0.993186340496526,0.9866935002557782,0.9886692022955743
2018-03-23,0.9813470714344289,0.9743311516624664,0.9789704761949557
2018-03-26,0.9805750879260483,0.9722368142982978,0.9769082923926236
2018-03-27,0.9798716477391504,0.9724932565065771,0.9771359132419251
2018-03-28,0.9759463057838703,0.9672163475416026,0.9724181583434574
2018-03-29,0.9746190960655114,0.9654804027626901,0.9696825002599209
2018-03-30,0.9810437505428815,0.9701697020905533,0.9699499593670458
2018-04-02,0.9831782791428735,0.9720369593170808,0.97073167618098
2018-04-03,0.9817708169035377,0.9713127718456865,0.9720487376473945
2018-04-04,0.9828707538814777,0.9712570021230875,0.9719303484334294
2018-04-09,0.9887751556023067,0.9747787551516947,0.9720897488254849
2018-04-10,0.9883609446824807,0.9770950653588212,0.9728883722039242
2018-04-11,0.9912555236017808,0.9808893659513893,0.9768786643180926
2018-04-12,0.991770944822358,0.9823790530029363,0.9780267540727746
2018-04-13,0.9915619663964677,0.9805516026630617,0.974263539608304
2018-04-16,0.9927463485403948,0.9811658255718919,0.976111802975359
2018-04-17,0.9971341390255128,0.9850015851339262,0.9751260424539133
2018-04-18,1.0022180183664011,0.9885889838625164,0.9800419836326798
2018-04-19,1.0073855542541321,0.9950621053413715,0.980992094227004
2018-04-20,1.002359593842427,0.9889178387202217,0.9768627868049975
2018-04-23,1.0016511583776895,0.9881768932266274,0.9736455305054622
2018-04-24,1.0007486066449156,0.9872840313847383,0.976155863009698
2018-04-25,0.998000365678262,0.9845611320329358,0.9739015876136636
2018-04-26,0.9972657302008398,0.9839464688338114,0.9733495298783769
2018-04-27,0.9967271948813474,0.98347122334756,0.9713376176939424
2018-05-02,0.9990893839295151,0.9847801153493378,0.9715824421108431
2018-05-03,1.0011110144583886,0.9869749330996731,0.9731059385568606
2018-05-04,1.001587116257046,0.9874446106966389,0.973796312892613
2018-05-07,1.0025012325104175,0.9903468386467401,0.9753268596921423
2018-05-08,0.999839725944559,0.9889362039057267,0.9730264530374533
2018-05-09,0.9990339397535731,0.9881498961137403,0.9721372789543447
2018-05-10,1.0038629742722978,0.9926743354500066,0.9760098024412205
2018-05-11,1.003563336116906,0.9924027527960907,0.9762751205804324
2018-05-14,1.002115446499915,0.9910759319982961,0.9747252703830525
2018-05-15,1.0033091795772437,0.9914765509557238,0.9743175738769301
2018-05-16,1.0002196377417267,0.9873087783281509,0.9702105118582276
2018-05-17,0.9999252846521648,0.9868428809236848,0.9694069248076513
2018-05-18,1.0014824004310792,0.9887072850544073,0.9709178887077508
2018-05-21,1.0023214008997643,0.988427239282952,0.9702552505675326
2018-05-22,1.0025080657008296,0.9891473050583331,0.971440503873729
2018-05-23,1.002601255121552,0.9893129687164602,0.9725250563102702
2018-05-24,1.004514898831674,0.9923198819865795,0.97627778992385
