Date,增长预期动量,通胀预期动量
2016-09-30,1.0,1.0
2016-10-07,1.0,1.0
2016-10-14,1.0,1.0
2016-10-21,0.7347914506311396,1.0
2016-10-28,0.4473251094225996,1.0
2016-11-04,0.39433935888206023,1.0
2016-11-11,0.6774184768454388,1.0
2016-11-18,0.9308140806350629,1.0
2016-11-25,1.0,1.0
2016-12-02,1.0000000000000002,1.0
2016-12-09,1.0,1.0
2016-12-16,1.0,1.0
2016-12-23,0.9316846793515443,1.0
2016-12-30,0.623812929317665,0.9151278464629174
2017-01-06,-0.039227914545831494,0.4371508776095825
2017-01-13,-0.13925677880299706,-0.34742917748720803
2017-01-20,0.46843980625488446,-0.5833464500565122
2017-01-27,0.839322691322328,-0.171140500019298
2017-02-03,1.0,0.4661046087592135
2017-02-10,0.9519442300011738,0.0998467974978432
2017-02-17,0.9348652922595039,-0.24935755331768056
2017-02-24,0.8659701912629825,-0.6391868468415226
2017-03-03,0.30444132776162713,-1.0
2017-03-10,-0.3814260299373546,-1.0
2017-03-17,-0.8872963070067702,-1.0
2017-03-24,-1.0,-1.0
2017-03-31,-1.0,-1.0
2017-04-07,-0.8352535053664862,-1.0
2017-04-14,-0.7522988190170896,-1.0
2017-04-21,-0.6081827120909776,-1.0
2017-04-28,-0.5994851079106658,-1.0
2017-05-05,-1.0,-1.0
2017-05-12,-0.30031532221555607,-1.0
2017-05-19,0.4050586586738946,-0.8884018316641615
2017-05-26,0.8292369921519036,-0.31964552914764954
2017-06-02,1.0,0.4001546576879779
2017-06-09,1.0,0.30495558900382325
2017-06-16,0.8419927475863558,-0.16815397294280834
2017-06-23,0.21964823598658545,-0.783518373807661
2017-06-30,-0.9770050865480482,-1.0
2017-07-07,-1.0,-0.9099989525270086
2017-07-14,-1.0,-0.8719216495675878
2017-07-21,-1.0,-0.10478807293619492
2017-07-28,-1.0,0.8793763698289339
2017-08-04,-0.8757476353830439,0.8947352404887132
2017-08-11,0.11717154106711936,1.0
2017-08-18,0.874495618462724,0.12979636702250483
2017-08-25,1.0,-0.4669039163648927
2017-09-01,1.0,-0.7758999776982839
2017-09-08,1.0,-1.0
2017-09-15,1.0,-0.5021456074230317
2017-09-22,0.2954090072991089,0.1064948907908885
2017-09-29,-0.5645605736916443,0.5014712287814381
2017-10-06,-0.8289190097366576,1.0
2017-10-13,-1.0,0.1553932284541477
2017-10-20,-0.3747392712573793,-0.4447054661514827
2017-10-27,0.253926103009161,-0.7971269809371269
2017-11-03,0.7673229153768828,-1.0
2017-11-10,0.1923383889740578,-1.0
2017-11-17,-0.5416542903463045,-1.0
2017-11-24,-0.878559616643278,-1.0
2017-12-01,-1.0,-1.0
2017-12-08,-1.0,-1.0
2017-12-15,-1.0,-1.0
2017-12-22,-0.99711155924157,-1.0
2017-12-29,-0.5409533652263699,-0.708117779732709
2018-01-05,0.3776006130333045,0.1684766361937304
2018-01-12,1.0,0.9201835160947438
2018-01-19,1.0,1.0
2018-01-26,0.5375873094228123,1.0
2018-02-02,-0.23118124973228105,1.0
2018-02-09,-0.9618905914762836,1.0
2018-02-16,-1.0,-0.052123616523248886
2018-02-23,-1.0,-0.6831961228018895
2018-03-02,-1.0,-0.9383651820269187
2018-03-09,-0.9361638226777467,-1.0
2018-03-16,-0.5321016208614655,-1.0
2018-03-23,-0.45304893902591026,-1.0
2018-03-30,-0.47271485308006606,-1.0
2018-04-06,-0.7124682057650931,-1.0
2018-04-13,-1.0,-0.9963920187545454
2018-04-20,-1.0,-0.7472265274963981
2018-04-27,-1.0,0.2670030202774078
2018-05-04,-1.0,1.0
2018-05-11,-1.0,1.0
2018-05-18,-1.0,1.0
2018-05-25,-1.0,1.0
2018-06-01,-1.0,1.0
2018-06-08,-0.9991164338559425,1.0
2018-06-15,-0.6360158147120288,1.0
2018-06-22,-0.44676624380810914,1.0
2018-06-29,-0.3075194119362991,1.0
2018-07-06,-0.729779199047943,0.4483665505495148
2018-07-13,-1.0,-0.24852804073200457
2018-07-20,-1.0,-0.8363042808161514
2018-07-27,-1.0,-1.0
2018-08-03,-1.0,-1.0
2018-08-10,-1.0,-1.0
2018-08-17,-1.0,-1.0
2018-08-24,-1.0,-1.0
2018-08-31,-1.0,-0.6788012072501163
2018-09-07,-1.0,0.07155532461613237
2018-09-14,-1.0,0.01597245202636978
2018-09-21,-1.0,-0.3183794541319414
2018-09-28,-0.5602511419882444,-0.8176994715868999
2018-10-05,0.2515808736309648,-1.0
2018-10-12,0.48152598444437805,-0.8355973731699738
2018-10-19,-0.23378781315124053,-0.656711011554241
2018-10-26,-0.686576975465674,-0.13085151105231518
2018-11-02,-1.0,-0.6130999809669668
2018-11-09,-1.0,-0.9614013849461521
2018-11-16,-1.0,-1.0
2018-11-23,-1.0,-1.0
2018-11-30,-1.0,-1.0
2018-12-07,-0.8101713706198761,-1.0
2018-12-14,-0.7405360988971597,-1.0
2018-12-21,-0.5804446308181641,-1.0
2018-12-28,-0.7823334041430628,-1.0
2019-01-04,-1.0,-1.0
2019-01-11,-1.0,-1.0
2019-01-18,-1.0,-0.964875692110594
2019-01-25,-1.0,-0.5545408524741677
2019-02-01,-1.0,0.13140872245542026
2019-02-08,-0.43234150109537467,1.0
2019-02-15,0.32399232658192795,1.0
2019-02-22,0.9144026475839219,1.0
2019-03-01,1.0,1.0
2019-03-08,1.0,1.0
2019-03-15,1.0,1.0
2019-03-22,1.0,1.0000000000000002
2019-03-29,1.0,0.9999999999999999
2019-04-05,1.0,1.0
2019-04-12,1.0,1.0
2019-04-19,1.0,0.9999999999999998
2019-04-26,1.0,1.0
2019-05-03,1.0,0.5519305962431394
2019-05-10,0.5114157859406497,-0.25441824010548536
2019-05-17,-0.4236857794722962,-0.8520269700276853
2019-05-24,-0.9717669823085182,-1.0
2019-05-31,-1.0,-1.0
2019-06-07,-1.0,-1.0
2019-06-14,-1.0,-1.0
2019-06-21,-1.0,-1.0
2019-06-28,-0.6877150873581741,-1.0
2019-07-05,0.3240171304843974,-0.5785345248288793
2019-07-12,0.957156875454741,0.09053147932133955
2019-07-19,1.0,0.8222442717863438
2019-07-26,1.0,0.8268344394076584
2019-08-02,0.9064212941989522,0.7313989674324456
2019-08-09,0.2057345689866417,-0.2932754407646542
2019-08-16,-0.8366980600244593,-0.9999999999999998
2019-08-23,-1.0,-0.9999999999999999
2019-08-30,-1.0,-1.0
2019-09-06,-0.5146898023188221,-1.0
2019-09-13,0.0913504817300899,-0.9503580778421176
2019-09-20,0.4357034857063246,-0.5901818289010844
2019-09-27,1.0,0.4223967132988031
2019-10-04,0.7478818515603124,0.19365319949939788
2019-10-11,0.05669960319352011,-0.36277722920807987
2019-10-18,0.16318899022652858,-0.8065662736243402
2019-10-25,0.41380041735455186,-1.0
2019-11-01,0.7237313050632179,-0.7825285479748977
2019-11-08,1.0,-0.15264941636995513
2019-11-15,1.0,0.7199653059551897
2019-11-22,0.9516204296223928,1.0
2019-11-29,0.5824480538026792,1.0
2019-12-06,-0.32040581065611595,1.0000000000000002
2019-12-13,-0.3133981424364915,1.0
2019-12-20,0.3369953033322234,1.0
2019-12-27,0.7210273282505887,1.0
2020-01-03,1.0,1.0
2020-01-10,1.0,1.0
2020-01-17,1.0,0.6943680462503928
2020-01-24,1.0,-0.014187552841613488
2020-01-31,0.4976753952922375,-0.7719593382632199
2020-02-07,-0.38344002641302516,-1.0
2020-02-14,-0.8722803582864942,-1.0
2020-02-21,-0.9999999999999999,-1.0
2020-02-28,-1.0,-1.0
2020-03-06,-0.9999999999999999,-1.0
2020-03-13,-1.0,-0.9999999999999999
2020-03-20,-1.0,-1.0000000000000002
2020-03-27,-1.0,-0.9999999999999998
2020-04-03,-1.0,-0.9999999999999999
2020-04-10,-1.0,-1.0
2020-04-17,-1.0,-1.0
2020-04-24,-1.0,-1.0
2020-05-01,-0.8094340789909594,-1.0
2020-05-08,0.14516325075691272,-1.0
2020-05-15,0.7776749163796226,-0.6359960629708113
2020-05-22,1.0,0.2891150464536672
2020-05-29,1.0,0.9163588686875587
2020-06-05,1.0,1.0
2020-06-12,1.0,1.0
2020-06-19,1.0,1.0
2020-06-26,1.0,1.0
2020-07-03,1.0,0.9078465024575585
2020-07-10,1.0,0.79556671440091
2020-07-17,1.0,0.48548967068654125
2020-07-24,1.0,0.508233953492242
2020-07-31,1.0,0.9455527859289332
2020-08-07,1.0,1.0
2020-08-14,1.0,1.0
2020-08-21,1.0,1.0
2020-08-28,1.0000000000000002,1.0
2020-09-04,1.0,0.7271885380241158
2020-09-11,1.0,0.1389807641001151
2020-09-18,1.0,-0.3649002977835375
2020-09-25,0.5891037948498099,-1.0
2020-10-02,-0.09926720572662077,-0.8651280909437459
2020-10-09,-0.08990931941992396,-0.025476270347488592
2020-10-16,-0.10898882751547202,0.6360294754435916
2020-10-23,0.43995485207468604,1.0
2020-10-30,1.0,1.0
2020-11-06,0.5674722239761801,1.0
2020-11-13,0.5971287278051407,1.0
2020-11-20,0.6861511847476126,1.0
2020-11-27,0.8229158456707925,1.0
2020-12-04,1.0,1.0
2020-12-11,1.0,1.0
2020-12-18,1.0,1.0
2020-12-25,1.0,1.0
2021-01-01,0.7114388685582785,1.0000000000000002
2021-01-08,0.412856141394862,1.0
2021-01-15,0.09232810654664896,1.0
2021-01-22,0.5321371373163319,1.0
2021-01-29,1.0,1.0000000000000002
2021-02-05,1.0,1.0
2021-02-12,1.0,0.5315865874681683
2021-02-19,1.0,-0.09568418878332795
2021-02-26,1.0,-0.7016838211208436
2021-03-05,1.0,-0.5914538135844367
2021-03-12,1.0,0.567074337526494
2021-03-19,1.0,0.9609681787909788
2021-03-26,1.0,1.0
2021-04-02,1.0,1.0
2021-04-09,1.0,0.9999999999999999
2021-04-16,0.9357270072953656,0.9999999999999999
2021-04-23,0.8830949330162903,1.0
2021-04-30,0.755912745263021,1.0
2021-05-07,0.36326828324317445,1.0
2021-05-14,0.3822598664835087,1.0
2021-05-21,-0.263422641859235,0.5432406246263182
2021-05-28,-0.6683358914042496,-0.10653262147194636
2021-06-04,-1.0,-0.5850561599217307
2021-06-11,-1.0,-1.0
2021-06-18,-1.0,-1.0
2021-06-25,-1.0,-1.0
2021-07-02,-1.0,-1.0
2021-07-09,-1.0,-1.0
2021-07-16,-1.0,-0.006966880086244799
2021-07-23,-1.0,0.7077782207939758
2021-07-30,-1.0,0.9823254415133548
2021-08-06,-1.0,1.0
2021-08-13,-1.0,0.960098567925724
2021-08-20,-1.0,0.47359832598750745
2021-08-27,-1.0,-0.4361923656341479
2021-09-03,-1.0,-0.8876947992943597
2021-09-10,-1.0,-0.5267852382911973
2021-09-17,-1.0,0.18505819026493017
2021-09-24,-1.0,1.0
2021-10-01,-1.0,1.0
2021-10-08,-1.0,1.0
2021-10-15,-0.4234511607608532,1.0
2021-10-22,0.15466110472500652,0.30455612469947163
2021-10-29,0.39398478017437655,-0.7643262103971479
