年份,货币信用周期策略0.2（股指信号）,货币信用周期策略,v0.19风险平价策略
2018,0.07938886727627281,0.09020909192780313,0.061239827318599005
2019,0.17183807607934876,0.1160480056930362,0.1652441764723107
2020,0.19170355099645953,0.1482236907516017,0.13205389291547642
2021,0.1244717255032528,0.11976247304475551,0.12399451590367816
2022,0.07766988899131899,0.07201307426535974,0.06410413114407132
2023,0.11671664475292043,0.09900392028289606,0.10589889553073228
2024,0.09705286561922088,0.10200558848051111,0.1597303979731124
2025,0.16600121990188144,0.09743443596089163,0.1499181395734801
