策略,共同区间,交易日数,期末净值,累计收益,年化收益,年化波动,夏普比率,最大回撤,最大回撤开始,最大回撤结束,日胜率,月度胜率,年度收益均值
货币信用周期策略0.2（股指信号）,2018-01-03 至 2025-12-31,1941,2.6092615329488567,1.6092615329488567,0.13259978563616714,0.06379884187603142,1.9840669704508027,-0.05393168984137997,2022-06-09,2022-07-15,0.5646573930963421,0.7473684210526316,0.12810535489008446
货币信用周期策略,2018-01-03 至 2025-12-31,1941,2.2289831809027447,1.2289831809027447,0.109672182937127,0.05085452225058176,2.072171030465817,-0.05393168984137986,2022-06-09,2022-07-15,0.5713549716640907,0.7789473684210526,0.10558753505085688
v0.19风险平价策略,2018-01-03 至 2025-12-31,1941,2.469365040068746,1.469365040068746,0.12452559006100472,0.0649139161469202,1.8407998111527262,-0.07785076408214098,2020-01-20,2020-03-19,0.5620814013395157,0.7052631578947368,0.12027299710393255
