回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
2022年,沪铝主连,-6.49%,22.88%,-0.18,-28.26%,25.00%,16.00%
2022年,PTA主连,18.53%,37.28%,0.64,-31.32%,58.33%,17.00%
2022年,原油主连,32.11%,46.91%,0.83,-29.34%,50.00%,32.00%
2022年,货币信用周期策略0.2（股指信号）,8.10%,6.37%,1.26,-5.39%,75.00%,15.29%
2023年,沪深300主连,-12.14%,13.91%,-0.86,-21.43%,25.00%,14.00%
2023年,10年国债主连,4.57%,2.07%,2.17,-1.45%,83.33%,2.50%
2023年,沪金主连,16.50%,9.53%,1.65,-4.58%,66.67%,28.00%
2023年,豆粕主连,8.36%,18.33%,0.53,-15.42%,25.00%,13.00%
2023年,中证1000主连,-3.87%,14.46%,-0.20,-18.86%,33.33%,14.00%
2023年,中证500主连,-6.23%,12.74%,-0.44,-17.61%,41.67%,14.00%
2023年,30年国债主连,6.93%,3.53%,1.92,-3.25%,58.33%,5.00%
2023年,红利低波ETF,12.25%,13.13%,0.95,-12.27%,50.00%,100.00%
2023年,沪铜主连,6.45%,12.43%,0.57,-9.51%,66.67%,16.00%
2023年,沪铝主连,9.99%,13.19%,0.79,-8.87%,58.33%,16.00%
2023年,PTA主连,14.23%,21.51%,0.73,-14.09%,58.33%,17.00%
2023年,原油主连,0.90%,32.72%,0.19,-26.99%,50.00%,32.00%
2023年,货币信用周期策略0.2（股指信号）,12.18%,3.88%,2.98,-1.99%,75.00%,15.53%
2024年,沪深300主连,17.32%,22.61%,0.82,-12.74%,58.33%,14.00%
2024年,10年国债主连,6.03%,2.69%,2.19,-1.51%,83.33%,2.50%
2024年,沪金主连,27.30%,13.51%,1.85,-7.12%,66.67%,28.00%
2024年,豆粕主连,-18.02%,17.69%,-1.03,-26.72%,41.67%,13.00%
2024年,中证1000主连,12.71%,37.62%,0.50,-28.85%,58.33%,14.00%
2024年,中证500主连,13.19%,31.31%,0.55,-18.36%,41.67%,14.00%
2024年,30年国债主连,18.71%,7.51%,2.32,-4.60%,75.00%,5.00%
2024年,红利低波ETF,24.03%,19.73%,1.19,-13.79%,66.67%,100.00%
2024年,沪铜主连,5.76%,15.50%,0.44,-19.76%,41.67%,16.00%
2024年,沪铝主连,0.46%,13.14%,0.10,-13.26%,50.00%,16.00%
2024年,PTA主连,-21.07%,16.44%,-1.36,-23.72%,25.00%,17.00%
2024年,原油主连,7.65%,25.22%,0.42,-23.57%,58.33%,32.00%
2024年,货币信用周期策略0.2（股指信号）,10.13%,5.76%,1.70,-3.81%,66.67%,14.81%
2025年,沪深300主连,25.83%,17.50%,1.40,-13.01%,66.67%,14.00%
2025年,10年国债主连,-0.99%,2.44%,-0.40,-2.29%,41.67%,2.50%
2025年,沪金主连,58.28%,18.65%,2.56,-11.25%,83.33%,28.00%
2025年,豆粕主连,3.38%,15.57%,0.29,-10.28%,58.33%,13.00%
2025年,中证1000主连,49.44%,21.37%,1.99,-15.69%,75.00%,14.00%
2025年,中证500主连,49.43%,20.69%,2.05,-13.46%,75.00%,14.00%
2025年,30年国债主连,-5.67%,7.22%,-0.77,-8.02%,33.33%,5.00%
2025年,红利低波ETF,4.80%,11.71%,0.46,-7.40%,50.00%,100.00%
2025年,沪铜主连,34.36%,15.87%,1.94,-12.04%,83.33%,16.00%
2025年,沪铝主连,17.29%,10.82%,1.53,-7.98%,66.67%,16.00%
2025年,PTA主连,1.41%,21.13%,0.17,-22.25%,58.33%,17.00%
2025年,原油主连,-12.80%,30.05%,-0.30,-24.99%,33.33%,32.00%
2025年,货币信用周期策略0.2（股指信号）,17.27%,5.87%,2.74,-2.59%,91.67%,15.93%
