Date,Growth_Factor_NAV,Growth_Factor_YoY
2014-01-03,1.0,0.03396652819861501
2014-01-10,0.9998448378657765,0.031125137417816084
2014-01-17,1.0003246737009026,0.029954126707932405
2014-01-24,0.9996767681889018,0.027118183221324976
2014-01-31,0.995043137841955,0.020131205750914427
2014-02-07,0.9913825135493679,0.014823780745327308
2014-02-14,0.9867018085326985,0.009383893924133746
2014-02-21,0.9860828577560532,0.008386788960230707
2014-02-28,0.9855920402464271,0.010504054452418421
2014-03-07,0.9862440144339059,0.014116094835717963
2014-03-14,0.9808938795599003,0.010767323318031652
2014-03-21,0.9726193129005638,0.004539491156983377
2014-03-28,0.9684135106807541,0.0011890956974889288
2014-04-04,0.9658549522703654,0.0002681066533907206
2014-04-11,0.9697935487181046,0.008809672350735376
2014-04-18,0.9746526486389857,0.018975349331495694
2014-04-25,0.977240301786735,0.027355052363571053
2014-05-02,0.978208471520151,0.031858560307029604
2014-05-09,0.9765558430937845,0.03106488517906869
2014-05-16,0.9775722005160131,0.030381656828879722
2014-05-23,0.9785360842697668,0.029689526939636446
2014-05-30,0.9796274303150114,0.030390050130692847
2014-06-06,0.9811830021468156,0.032461379615670305
2014-06-13,0.979735293509378,0.032324328604060204
2014-06-20,0.9777133115177935,0.03241282286033398
2014-06-27,0.9768436717335919,0.035481254687986574
2014-07-04,0.9797535942563671,0.0420553892177129
2014-07-11,0.9839842111897211,0.0480869521615801
2014-07-18,0.9881466278378629,0.051204297087406925
2014-07-25,0.9920669893918124,0.04979842708548854
2014-08-01,0.9948706575741524,0.04929764323870933
2014-08-08,0.9964489017215772,0.046744770057913776
2014-08-15,0.997495706419819,0.04164126377943256
2014-08-22,0.9984236861306349,0.037003162413125956
2014-08-29,0.9985325936883659,0.03146725727997968
2014-09-05,0.9989564461951749,0.02714241980754384
2014-09-12,0.9988500193473618,0.024952434094829945
2014-09-19,0.995367722125806,0.02055553477649008
2014-09-26,0.9881209580268785,0.011987902750917545
2014-10-03,0.9784619040664775,0.0018346278522756165
2014-10-10,0.972069112520757,-0.003528266249930634
2014-10-17,0.9660536479873228,-0.009252305054547327
2014-10-24,0.9622222829212227,-0.013523457231391811
2014-10-31,0.9610684480984736,-0.015531107685376577
2014-11-07,0.9588856642532245,-0.01963937161501572
2014-11-14,0.9579444850957449,-0.022734041126696525
2014-11-21,0.9581309642877305,-0.02663847689628207
2014-11-28,0.9567404703416239,-0.03173599675652794
2014-12-05,0.9550757839472654,-0.03659395232053342
2014-12-12,0.9546493896288736,-0.04043997690135648
2014-12-19,0.9521262845304147,-0.043983971711387126
2014-12-26,0.9497728597844344,-0.048191173200003656
2015-01-02,0.9495955409213227,-0.0504044590786773
2015-01-09,0.9461713065393207,-0.05368186071853398
2015-01-16,0.9418034586020165,-0.05850222096629398
2015-01-23,0.9357154718420944,-0.06398197735722633
2015-01-30,0.9280833853060281,-0.06729331622863
2015-02-06,0.923135209294247,-0.06884053664693013
2015-02-13,0.9205152857202965,-0.06707854616262077
2015-02-20,0.9206020188546606,-0.0664050068271157
2015-02-27,0.9221282310973418,-0.06439156015628689
2015-03-06,0.9224139894531704,-0.06472031672341572
2015-03-13,0.9226260630803762,-0.059402773015228894
2015-03-20,0.9222463908474379,-0.05179099508409202
2015-03-27,0.9245452806028046,-0.04529906862525279
2015-04-03,0.9275435999879347,-0.039665740898646384
2015-04-10,0.9340332572156849,-0.03687412805507795
2015-04-17,0.9416138648125699,-0.03389800855982028
2015-04-24,0.9449447254354895,-0.03304773277585671
2015-05-01,0.9499686692003104,-0.028868899771390844
2015-05-08,0.954931558840197,-0.022143418020090566
2015-05-15,0.95839005795336,-0.01962222591081031
2015-05-22,0.9615715728429152,-0.017336623247278138
2015-05-29,0.9616826662281907,-0.01831794775392359
2015-06-05,0.9584549555475183,-0.02316392207118223
2015-06-12,0.9544743278823206,-0.025783459873711
2015-06-19,0.9492405262642332,-0.02912181405135983
2015-06-26,0.945290937444332,-0.03230069989936424
2015-07-03,0.9409005566686583,-0.03965592758779135
2015-07-10,0.9302346943928318,-0.05462436915720592
2015-07-17,0.923738949362226,-0.06518028464719416
2015-07-24,0.9145677636816647,-0.07811894412257248
2015-07-31,0.9045492039587657,-0.09078713190277665
2015-08-07,0.9011728876428927,-0.0956155543089815
2015-08-14,0.8965003213434216,-0.10124894215222935
2015-08-21,0.8921960989638555,-0.10639529955310012
2015-08-28,0.8861680191911538,-0.11252970129113293
2015-09-04,0.8804128933063713,-0.11866738869378368
2015-09-11,0.8750396093350832,-0.12395295351065327
2015-09-18,0.8748722743687614,-0.12105621377766052
2015-09-25,0.8745174124487991,-0.11496927036638072
2015-10-02,0.8723199628795786,-0.10847835847852039
2015-10-09,0.8697044480654972,-0.10530595318455194
2015-10-16,0.8671885993565062,-0.1023390873134139
2015-10-23,0.8682225910511603,-0.0976902047879078
2015-10-30,0.8693852680246344,-0.09539713873162659
2015-11-06,0.8666042490314333,-0.09623818424030728
2015-11-13,0.8599200616031852,-0.10232787496319518
2015-11-20,0.850389056343011,-0.112450084550617
2015-11-27,0.8411164856586838,-0.12085198469931357
2015-12-04,0.8331462809423583,-0.1276647414312826
2015-12-11,0.8280106164814669,-0.13265474688737644
2015-12-18,0.8270512102267525,-0.13136395490368047
2015-12-25,0.8283357933251124,-0.1278590614674796
2016-01-01,0.8291101357561703,-0.12688076130628645
2016-01-08,0.8293315444261893,-0.12348690063375511
2016-01-15,0.8246270460801186,-0.12441705480231613
2016-01-22,0.8183561296774292,-0.12542203874605806
2016-01-29,0.8132455297088238,-0.12373657088941148
2016-02-05,0.811238618956105,-0.12121365235726278
2016-02-12,0.8149274182836242,-0.11470517554094772
2016-02-19,0.8173642253711487,-0.11214161099923736
2016-02-26,0.8181006419428736,-0.11281249792198023
2016-03-04,0.8196740663079634,-0.11138157521452363
2016-03-11,0.8248247068523886,-0.10600324458801624
2016-03-18,0.8320527310139837,-0.09779779105513942
2016-03-25,0.8394008944001073,-0.09209325707355631
2016-04-01,0.843221518000719,-0.09090902248510213
2016-04-08,0.8428185974026194,-0.09765675805267637
2016-04-15,0.843033165832141,-0.10469333838882189
2016-04-22,0.8446339794272032,-0.10615514675957038
2016-04-29,0.8482897107200293,-0.10703401256998823
2016-05-06,0.8510708273983263,-0.10876248719647907
2016-05-13,0.8488768314273627,-0.11426790753637672
2016-05-20,0.8432883608357283,-0.12301030453456407
2016-05-27,0.837298490433444,-0.12934014531279125
2016-06-03,0.8347802768787852,-0.12903546270266164
2016-06-10,0.8363648291673486,-0.12374298109936588
2016-06-17,0.8373664421664808,-0.11785641362999588
2016-06-24,0.8384296871457783,-0.1130458846748933
2016-07-01,0.8397532394096393,-0.10750053928880643
2016-07-08,0.8405078373888303,-0.09645614977042605
2016-07-15,0.8462119848546554,-0.08392735259360584
