,风险平价策略,全天候策略,全天候增强策略 (动量择时)
2014-02-07,1.0058549578442275,1.0061540627158407,1.004016314991949
2014-02-10,1.009717234818156,1.0112282720446326,1.008747573304828
2014-02-11,1.0100104049370127,1.0146022963379107,1.0182074975011113
2014-02-12,1.0120741653658518,1.016131843899729,1.0173231436375154
2014-02-13,1.0109941720497804,1.015483063879457,1.0174959995861377
2014-02-14,1.0155772348355887,1.0209091751627652,1.022589224671223
2014-02-17,1.020542510895384,1.0285315231927497,1.0316155541512293
2014-02-18,1.0174325696880904,1.025772172914885,1.0294705142224168
2014-02-19,1.0174759744590247,1.025119919986176,1.028776585128639
2014-02-20,1.0146313234451467,1.0218793097859413,1.0275013611392525
2014-02-21,1.0121375888876694,1.0193656819618397,1.0272227794146143
2014-02-24,1.009881442198505,1.0191308098967309,1.031976349005113
2014-02-25,1.0055100817240001,1.0162083922550802,1.0354083577655593
2014-02-26,1.0067686373118874,1.0191288532170264,1.041237875836751
2014-02-27,1.0030209222118156,1.012769582138713,1.034633445111507
2014-02-28,1.0033620314939422,1.0149852289772063,1.039166132219262
2014-03-03,1.0059756193921514,1.019069830026602,1.0430621783707965
2014-03-04,1.002833300178187,1.0166016967781044,1.0407814481641868
2014-03-05,1.0020444952804455,1.0133876498247185,1.0335600738644826
2014-03-06,1.0030197231005116,1.0149241208415025,1.0344802602745564
2014-03-07,1.003688579197637,1.016309581015205,1.0363162500372434
2014-03-10,0.9928890089568847,1.003333953657174,1.0295702437386316
2014-03-11,0.9944759477972667,1.00521673459238,1.0315827802616988
2014-03-12,0.9945737921603003,1.0065160712067298,1.0360987450605643
2014-03-13,0.9965703434490593,1.010743308980112,1.0446575741559212
2014-03-14,0.9942346867595979,1.0081645239641923,1.046506544438895
2014-03-17,0.9945769438690338,1.0100520989330024,1.0516529208817957
2014-03-18,0.993969791506632,1.0083008558310789,1.0478809168851604
2014-03-19,0.993547167700298,1.0066685730380398,1.0438496849580063
2014-03-20,0.992035448037624,1.0032889772585223,1.037107414340142
2014-03-21,0.9957820364795724,1.0075243659356807,1.039829259778692
2014-03-24,0.9976973059832596,1.008965470025531,1.0401697017881928
2014-03-25,1.0005203819004367,1.0101242278131306,1.0357441378015255
2014-03-26,1.0029107933300307,1.012542937067181,1.0360119892276645
2014-03-27,1.0015327634925075,1.0104479914544369,1.033515111482809
2014-03-28,1.0030415040435705,1.0118777923896596,1.0328548805222488
2014-03-31,1.0045202800968351,1.0142574828343751,1.0343191770884015
2014-04-01,1.0064773160204756,1.0134491997364687,1.0310219337626456
2014-04-02,1.0070659256386676,1.0122032631097078,1.02893471070911
2014-04-03,1.00574031272685,1.0118846514593762,1.0296797639504667
2014-04-04,1.0079492708148163,1.0137906250819892,1.0307761290571298
2014-04-08,1.0128898249302503,1.0217663745530148,1.0379834283860911
2014-04-09,1.0127151252675455,1.0216875969942036,1.0375480852474521
2014-04-10,1.012801246375999,1.0222517151639243,1.0364361502368955
2014-04-11,1.0143023063471144,1.0248485579230535,1.0394569601748433
2014-04-14,1.0183680551001992,1.0301918868324969,1.045622285322757
2014-04-15,1.0170917298571838,1.026829100633649,1.0435483035224091
2014-04-16,1.0171288597925299,1.0236441890822925,1.0393298075232555
2014-04-17,1.022676910063781,1.0279989992153085,1.044471299074358
2014-04-18,1.0254044908478221,1.0289903361872264,1.0452872362554189
2014-04-21,1.021612838701782,1.024064742301464,1.0419815420670462
2014-04-22,1.0219912466687604,1.0251554849424005,1.043666597739266
2014-04-23,1.0222337459055715,1.0256054114345723,1.0445316224959327
2014-04-24,1.0256377544900557,1.0294085883137551,1.0490637090969772
2014-04-25,1.0253327465274655,1.0310615237784306,1.0529743356420702
2014-04-28,1.027444401329533,1.0347453759357226,1.0596961445959185
2014-04-29,1.027469881784165,1.0340488681000821,1.057503867726142
2014-04-30,1.0277646231413902,1.033561680985374,1.056508022957713
2014-05-05,1.0289500268875216,1.0361828801215442,1.0539339823658167
2014-05-06,1.027583786120157,1.0345937629052673,1.0476450038184866
2014-05-07,1.0262297968517025,1.0321956380090676,1.044051050796224
2014-05-08,1.0250533172922305,1.0286882780909699,1.0397110271742727
2014-05-09,1.0298071708700747,1.0321995166698466,1.0437748751055411
