低信号倍率,正信号满值倍率,参数组合,回测区间,期末净值,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用,股指平均仓位,v0.16股指平均仓位,股指仓位差异,股指目标风险预算均值,股指实际风险贡献均值,周度记录数
0.75,3.00,低信号0.75_满值3.00,2025年,1.1039,10.80%,5.24%,1.98,-3.37%,83.33%,11.90%,14.45%,20.72%,-6.26%,32.53%,32.53%,53
0.75,3.00,低信号0.75_满值3.00,2026年,1.0417,20.17%,7.13%,2.61,-2.61%,100.00%,12.45%,16.69%,27.00%,-10.31%,38.21%,38.21%,11
0.75,4.00,低信号0.75_满值4.00,全局 (Total),2.0815,9.71%,5.72%,1.65,-7.00%,67.68%,12.08%,12.02%,14.93%,-2.91%,25.17%,25.17%,421
0.75,4.00,低信号0.75_满值4.00,训练期 (2018-2020),1.2857,9.11%,5.55%,1.60,-7.00%,66.67%,12.30%,10.94%,18.70%,-7.76%,24.23%,24.23%,154
0.75,4.00,低信号0.75_满值4.00,验证期 (2021-2026),1.6190,10.05%,5.82%,1.67,-4.66%,68.25%,11.95%,12.64%,12.75%,-0.11%,25.71%,25.71%,267
0.75,4.00,低信号0.75_满值4.00,2018年,1.0320,3.38%,4.73%,0.73,-4.51%,66.67%,12.09%,5.80%,6.47%,-0.67%,14.59%,14.59%,51
0.75,4.00,低信号0.75_满值4.00,2019年,1.1228,12.70%,4.45%,2.71,-2.74%,66.67%,12.37%,13.78%,28.24%,-14.45%,31.88%,31.88%,51
0.75,4.00,低信号0.75_满值4.00,2020年,1.1095,11.38%,7.08%,1.56,-7.00%,66.67%,12.43%,13.20%,21.35%,-8.15%,26.19%,26.19%,52
0.75,4.00,低信号0.75_满值4.00,2021年,1.0994,10.32%,6.48%,1.55,-3.38%,66.67%,13.75%,15.84%,24.81%,-8.97%,29.05%,29.05%,52
0.75,4.00,低信号0.75_满值4.00,2022年,1.0448,4.67%,6.25%,0.76,-4.66%,58.33%,11.60%,7.51%,2.40%,5.11%,14.48%,14.48%,50
0.75,4.00,低信号0.75_满值4.00,2023年,1.0904,9.43%,3.75%,2.42,-2.16%,58.33%,11.52%,13.80%,9.60%,4.20%,25.66%,25.66%,50
0.75,4.00,低信号0.75_满值4.00,2024年,1.1187,12.39%,6.39%,1.86,-3.73%,66.67%,10.98%,7.31%,2.35%,4.96%,16.86%,16.86%,51
0.75,4.00,低信号0.75_满值4.00,2025年,1.1111,11.54%,5.41%,2.05,-3.39%,83.33%,11.80%,16.87%,20.72%,-3.84%,37.60%,37.60%,53
0.75,4.00,低信号0.75_满值4.00,2026年,1.0400,19.28%,7.40%,2.42,-2.67%,100.00%,12.38%,19.93%,27.00%,-7.07%,44.89%,44.89%,11
0.75,5.00,低信号0.75_满值5.00,全局 (Total),2.0992,9.83%,5.91%,1.62,-7.06%,67.68%,12.03%,13.39%,14.93%,-1.54%,27.83%,27.83%,421
0.75,5.00,低信号0.75_满值5.00,训练期 (2018-2020),1.2958,9.41%,5.75%,1.59,-7.06%,66.67%,12.21%,12.47%,18.70%,-6.23%,27.44%,27.44%,154
0.75,5.00,低信号0.75_满值5.00,验证期 (2021-2026),1.6200,10.06%,6.00%,1.63,-4.66%,68.25%,11.93%,13.92%,12.75%,1.16%,28.06%,28.06%,267
0.75,5.00,低信号0.75_满值5.00,2018年,1.0302,3.18%,4.83%,0.67,-4.81%,66.67%,12.04%,6.30%,6.47%,-0.17%,15.73%,15.73%,51
0.75,5.00,低信号0.75_满值5.00,2019年,1.1278,13.23%,4.71%,2.66,-2.94%,66.67%,12.25%,15.94%,28.24%,-12.30%,36.70%,36.70%,51
0.75,5.00,低信号0.75_满值5.00,2020年,1.1153,11.98%,7.31%,1.58,-7.06%,66.67%,12.33%,15.13%,21.35%,-6.22%,29.84%,29.84%,52
0.75,5.00,低信号0.75_满值5.00,2021年,1.0957,9.94%,6.69%,1.45,-3.59%,66.67%,13.74%,18.10%,24.81%,-6.71%,33.29%,33.29%,52
0.75,5.00,低信号0.75_满值5.00,2022年,1.0425,4.43%,6.27%,0.72,-4.66%,58.33%,11.60%,7.81%,2.40%,5.41%,14.93%,14.93%,50
0.75,5.00,低信号0.75_满值5.00,2023年,1.0911,9.50%,3.87%,2.37,-2.16%,58.33%,11.51%,14.92%,9.60%,5.32%,27.43%,27.43%,50
0.75,5.00,低信号0.75_满值5.00,2024年,1.1204,12.56%,6.72%,1.79,-4.09%,66.67%,10.97%,7.54%,2.35%,5.18%,17.29%,17.29%,51
0.75,5.00,低信号0.75_满值5.00,2025年,1.1172,12.18%,5.57%,2.09,-3.40%,83.33%,11.73%,18.94%,20.72%,-1.78%,41.65%,41.65%,53
0.75,5.00,低信号0.75_满值5.00,2026年,1.0385,18.51%,7.67%,2.25,-2.73%,100.00%,12.34%,22.72%,27.00%,-4.28%,50.24%,50.24%,11
0.75,6.00,低信号0.75_满值6.00,全局 (Total),2.1153,9.93%,6.08%,1.59,-7.11%,65.66%,12.00%,14.60%,14.93%,-0.33%,30.07%,30.07%,421
0.75,6.00,低信号0.75_满值6.00,训练期 (2018-2020),1.3049,9.68%,5.94%,1.59,-7.11%,66.67%,12.14%,13.83%,18.70%,-4.87%,30.19%,30.19%,154
0.75,6.00,低信号0.75_满值6.00,验证期 (2021-2026),1.6210,10.08%,6.17%,1.59,-4.66%,65.08%,11.92%,15.04%,12.75%,2.28%,30.00%,30.00%,267
0.75,6.00,低信号0.75_满值6.00,2018年,1.0285,3.01%,4.93%,0.63,-5.08%,66.67%,12.00%,6.73%,6.47%,0.26%,16.70%,16.70%,51
0.75,6.00,低信号0.75_满值6.00,2019年,1.1324,13.70%,4.96%,2.61,-3.12%,66.67%,12.16%,17.86%,28.24%,-10.37%,40.84%,40.84%,51
0.75,6.00,低信号0.75_满值6.00,2020年,1.1205,12.52%,7.53%,1.60,-7.11%,66.67%,12.25%,16.84%,21.35%,-4.51%,32.97%,32.97%,52
0.75,6.00,低信号0.75_满值6.00,2021年,1.0925,9.61%,6.91%,1.36,-3.77%,58.33%,13.73%,20.12%,24.81%,-4.69%,36.92%,36.92%,52
0.75,6.00,低信号0.75_满值6.00,2022年,1.0405,4.22%,6.28%,0.69,-4.66%,58.33%,11.60%,8.07%,2.40%,5.67%,15.28%,15.28%,50
0.75,6.00,低信号0.75_满值6.00,2023年,1.0917,9.57%,3.98%,2.31,-2.16%,58.33%,11.51%,15.88%,9.60%,6.28%,28.86%,28.86%,50
0.75,6.00,低信号0.75_满值6.00,2024年,1.1218,12.72%,7.02%,1.74,-4.40%,66.67%,10.97%,7.73%,2.35%,5.38%,17.65%,17.65%,51
0.75,6.00,低信号0.75_满值6.00,2025年,1.1226,12.74%,5.73%,2.12,-3.40%,83.33%,11.69%,20.75%,20.72%,0.03%,44.96%,44.96%,53
0.75,6.00,低信号0.75_满值6.00,2026年,1.0372,17.84%,7.93%,2.11,-2.78%,66.67%,12.31%,25.19%,27.00%,-1.81%,54.63%,54.63%,11
0.75,7.00,低信号0.75_满值7.00,全局 (Total),2.1300,10.03%,6.25%,1.56,-7.15%,65.66%,11.97%,15.68%,14.93%,0.75%,31.98%,31.98%,421
0.75,7.00,低信号0.75_满值7.00,训练期 (2018-2020),1.3132,9.92%,6.12%,1.58,-7.15%,66.67%,12.08%,15.06%,18.70%,-3.64%,32.56%,32.56%,154
0.75,7.00,低信号0.75_满值7.00,验证期 (2021-2026),1.6220,10.09%,6.32%,1.55,-4.67%,65.08%,11.91%,16.04%,12.75%,3.28%,31.65%,31.65%,267
0.75,7.00,低信号0.75_满值7.00,2018年,1.0270,2.84%,5.02%,0.58,-5.32%,66.67%,11.97%,7.12%,6.47%,0.65%,17.53%,17.53%,51
0.75,7.00,低信号0.75_满值7.00,2019年,1.1365,14.13%,5.20%,2.57,-3.28%,66.67%,12.10%,19.61%,28.24%,-8.63%,44.43%,44.43%,51
0.75,7.00,低信号0.75_满值7.00,2020年,1.1252,13.01%,7.74%,1.62,-7.15%,66.67%,12.19%,18.38%,21.35%,-2.96%,35.68%,35.68%,52
0.75,7.00,低信号0.75_满值7.00,2021年,1.0897,9.32%,7.12%,1.29,-3.94%,58.33%,13.72%,21.95%,24.81%,-2.85%,40.07%,40.07%,52
0.75,7.00,低信号0.75_满值7.00,2022年,1.0388,4.04%,6.30%,0.66,-4.66%,58.33%,11.60%,8.29%,2.40%,5.89%,15.58%,15.58%,50
0.75,7.00,低信号0.75_满值7.00,2023年,1.0922,9.62%,4.09%,2.27,-2.16%,58.33%,11.51%,16.73%,9.60%,7.13%,30.02%,30.02%,50
0.75,7.00,低信号0.75_满值7.00,2024年,1.1231,12.86%,7.27%,1.70,-4.67%,66.67%,10.97%,7.90%,2.35%,5.55%,17.94%,17.94%,51
0.75,7.00,低信号0.75_满值7.00,2025年,1.1275,13.25%,5.88%,2.15,-3.41%,83.33%,11.65%,22.35%,20.72%,1.64%,47.73%,47.73%,53
0.75,7.00,低信号0.75_满值7.00,2026年,1.0360,17.24%,8.17%,1.99,-2.82%,66.67%,12.29%,27.41%,27.00%,0.41%,58.29%,58.29%,11
