资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率
沪深300ETF,7.47%,22.43%,0.33,-45.45%,56.76%
中证1000ETF,7.09%,27.30%,0.26,-69.94%,53.38%
红利低波ETF,12.20%,19.89%,0.61,-43.62%,58.78%
10年国债ETF,4.39%,2.90%,1.51,-8.04%,68.24%
30年国债ETF,7.42%,5.44%,1.36,-16.75%,62.16%
有色ETF,5.84%,17.19%,0.34,-35.42%,53.38%
能源化工ETF,4.62%,20.95%,0.22,-48.36%,49.32%
豆粕ETF,7.82%,19.02%,0.41,-32.25%,52.70%
黄金ETF,12.64%,14.88%,0.85,-24.91%,55.41%
策略组合,7.02%,4.10%,1.71,-6.41%,68.24%
