资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率
沪深300ETF,nan%,2242.69%,nan,-6609.18%,14.19%
中证1000ETF,3634504327.10%,2730.23%,1331207.10,-661030.77%,26.35%
红利低波ETF,nan%,1988.51%,nan,-157885.10%,22.97%
十年国债ETF,nan%,290.02%,nan,-100.00%,56.08%
30年国债ETF,-99.96%,543.99%,-0.18,-1390.67%,45.95%
有色ETF,-100.00%,1718.87%,-0.06,-136.09%,11.49%
能源化工ETF,nan%,2095.18%,nan,-100.22%,16.22%
豆粕ETF,-100.00%,1902.11%,-0.05,-217.60%,12.84%
黄金ETF,nan%,1488.05%,nan,-541.63%,15.54%
策略组合,nan%,23889.50%,nan,-899197.82%,46.62%
