date,策略名称,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,红利低波ETF,有色ETF,能源化工ETF
2014-01-31,风险平价策略,0.051250300009834,0.3158608615265508,0.07984697731048826,0.12024862131752817,0.05367587349884346,0.10382855539959346,0.058575352455164154,0.11513136321555667,0.10158209526644113
2014-02-28,风险平价策略,0.043247117221687045,0.3964388437685195,0.09565812196115739,0.1106761061657809,0.041759961913567754,0.10606503658452289,0.05505436763581361,0.08859637045623835,0.06250407429271239
2014-03-31,风险平价策略,0.038505634987660575,0.43769836952770186,0.07054281696987683,0.11950534611135229,0.03357649041965604,0.1397081487066029,0.04835774814579005,0.05038041999671925,0.06172502513464023
2014-04-30,风险平价策略,0.03733016768936507,0.42105161582779815,0.0682435863558604,0.11662694887981263,0.03135625464711916,0.16395551280289544,0.0422673274305227,0.05839479198612914,0.06077379438049729
2014-05-31,风险平价策略,0.0408034415144127,0.39765380330809136,0.058950686192703536,0.0947192842471747,0.033128484047725504,0.20918566549907272,0.04553342456945578,0.05886525442848944,0.061159956192874294
2014-06-30,风险平价策略,0.040887537094815095,0.38974139997501456,0.06442946593521928,0.05881771505078208,0.032274810575531186,0.24120832940960646,0.04267335876069887,0.060038400047162384,0.06992898315117015
2014-07-31,风险平价策略,0.07395813300642545,0.29815283146427873,0.0837589159687438,0.06564353167673441,0.053277630786333754,0.18324921043929657,0.07286231378231181,0.07752139774004563,0.09157603513582986
2014-08-31,风险平价策略,0.06215019262725649,0.3289928401909782,0.07703506614865953,0.053692209913496,0.04807808478332099,0.21642113666400553,0.06323224421639638,0.07077274430089553,0.07962548115499136
2014-09-30,风险平价策略,0.039156860532045375,0.3974966841882505,0.05244419745834347,0.03205943481595157,0.04510184772895007,0.2814969190156913,0.04864191513286938,0.04553779595403817,0.05806434517386029
2014-10-31,风险平价策略,0.04440341876134033,0.30547567052489805,0.04014857204035439,0.0427200852575456,0.03986578760177593,0.39704221322583283,0.04775267822917094,0.04137854051915324,0.04121303383992859
2014-11-30,风险平价策略,0.057913128472142646,0.21291354736769172,0.03565375886459521,0.03232721513347267,0.03727058445299473,0.49576774611654656,0.054347940281202885,0.03499360190266551,0.038812477408688026
2014-12-31,风险平价策略,0.04015202774189553,0.37935063543089625,0.05970184687729447,0.06532018145328738,0.03890045249842062,0.23790293450360112,0.054713165256273594,0.07224244897763658,0.051716307260694365
2015-01-31,风险平价策略,0.025050147005509758,0.4641094118834129,0.06762087528634245,0.05189337346441481,0.04331535980724521,0.21590801649895797,0.03258232347172026,0.0457968144191197,0.05372367816327704
2015-02-28,风险平价策略,0.026417855328001207,0.46290912779987214,0.06224208071581184,0.061817177772788515,0.04562124385459936,0.1933316324318859,0.03255522836009105,0.05241392523354068,0.06269172850340911
2015-03-31,风险平价策略,0.045940858641571505,0.33657202566139865,0.0817385213714839,0.07672720315933106,0.08319760804945188,0.16091623938734925,0.055023706873477754,0.08023548962185387,0.07964834723408226
2015-04-30,风险平价策略,0.051930362203475626,0.32980864991184056,0.08087790087282101,0.07952802784271566,0.05926106093533911,0.1620221423432138,0.059814947172425574,0.09310796341906843,0.0836489452991003
2015-05-31,风险平价策略,0.04703453186396633,0.2502259982984361,0.10728879147078986,0.08668610309980457,0.05804697802618081,0.17657214140515068,0.04780628047276093,0.12426717156583585,0.10207200379707473
2015-06-30,风险平价策略,0.02525422525457683,0.2764218716484112,0.12908517492302918,0.07775064182321739,0.02903097563330575,0.21774601970976087,0.0333432660563162,0.10670194511543846,0.10466587983594419
2015-07-31,风险平价策略,0.018346895542408394,0.3331238649813544,0.09296014702061295,0.06407859184531803,0.024040929056334464,0.3132032753121373,0.02624281295531083,0.06313171042777448,0.06487177285874915
2015-08-31,风险平价策略,0.013813241378106215,0.3828772433475544,0.09371675724979989,0.05823659300327332,0.01650366159188485,0.3085735546686888,0.018951577033757327,0.0641146110811785,0.043212760645756715
2015-09-30,风险平价策略,0.015360438238733,0.4444114552702978,0.07952163486862232,0.06433794705358886,0.017072409254324895,0.250967352525752,0.02053875666780286,0.05931728822143499,0.0484727178994433
2015-10-31,风险平价策略,0.02093678350486991,0.35944046969582266,0.09034452142606729,0.07543790585891107,0.022291976404921057,0.26984098352025104,0.02880313457844214,0.06852758948760507,0.06437663552310997
2015-11-30,风险平价策略,0.028583407308929717,0.3351328727941466,0.08196353321149835,0.06977473340885221,0.02795400383060816,0.28562941754367516,0.03788589816581748,0.05897539118021032,0.07410074255626203
2015-12-31,风险平价策略,0.028233989770234554,0.3650745601581349,0.08180376021904652,0.06036690375292147,0.029626108431530386,0.27535524180370263,0.036672185938439406,0.05577455899913626,0.06709269092685406
2016-01-31,风险平价策略,0.020270806448035146,0.3744606939271888,0.1153663627794265,0.07709431643222135,0.01673922704503162,0.23379397780835823,0.024777367825558037,0.06352319408001167,0.07397405365416859
2016-02-29,风险平价策略,0.020642180539654328,0.33431321267323866,0.11357593610757485,0.0633281807767103,0.01629186888743829,0.2631203471050287,0.025747275461836378,0.07537819086715448,0.08760280758136417
2016-03-31,风险平价策略,0.025800599616599165,0.38986209447065723,0.06872081417785263,0.0650961026767766,0.020072339465726022,0.2532319812544816,0.03275910591336432,0.07281124911858161,0.07164571330596099
2016-04-30,风险平价策略,0.030795364339439572,0.35075861477618303,0.07571886278246422,0.06363632364481356,0.023398991232846045,0.2684475128290332,0.04211519789779515,0.08217120692901567,0.06295792556840982
2016-05-31,风险平价策略,0.03512321649397353,0.34316726842628215,0.07717804111381452,0.05330798825009769,0.025482169366365912,0.2847643574821825,0.05274907068289136,0.07075190023338551,0.057475987951006835
2016-06-30,风险平价策略,0.03404908650769183,0.3800183771678049,0.08496488457131922,0.049869803305106125,0.028182592842861606,0.23315363451631807,0.05199337647902221,0.07708332833757489,0.06068491627230109
2016-07-31,风险平价策略,0.038445521080692956,0.4027755876709923,0.07900167686263244,0.025229122278102336,0.029112213045776877,0.255784123778709,0.05845092494716505,0.06640409316520886,0.04479673717072022
2016-08-31,风险平价策略,0.04702706289926069,0.35059497103463183,0.08061458444963004,0.03135421214127712,0.03949049154716165,0.24537802989335145,0.07572790956305472,0.07412469653317416,0.05568804193845838
2016-09-30,风险平价策略,0.03996530646546562,0.35427516445184415,0.07624886964810866,0.031081525853907627,0.03243592001191647,0.2875117142892859,0.05669356662639486,0.0667007341412839,0.05508719851179294
2016-10-31,风险平价策略,0.04880103944189187,0.3218953115825632,0.06723108578521317,0.034732955501676606,0.04105174677331888,0.27893233739456763,0.06358102558266969,0.07741285704871861,0.06636164088938037
2016-11-30,风险平价策略,0.1050897034744043,0.26620919314851627,0.06741649116886037,0.04479116297650899,0.08487940932206281,0.2083406970411105,0.12477061397060242,0.0475876066535409,0.050915122244393415
2016-12-31,风险平价策略,0.10029933916576254,0.17867695482725865,0.12730964430665911,0.07319874505502556,0.08323085220002455,0.14292191719150055,0.12280771387511406,0.07547849082840566,0.09607634255024931
2017-01-31,风险平价策略,0.113768222142742,0.13452505290475625,0.12383618888075827,0.07724117067750673,0.0849230568686319,0.14641851379881068,0.14599675551111424,0.07867810232020411,0.09461293689547579
2017-02-28,风险平价策略,0.10609989658276171,0.14012782505937874,0.14030691457359615,0.06619174124205526,0.09186540181739226,0.15285678463978464,0.13809650680642174,0.07101283318365552,0.09344209609495413
2017-03-31,风险平价策略,0.09177765573887436,0.16479712180355624,0.12757980746495237,0.0629077615233683,0.08317250867379498,0.18921394793240387,0.13754775423414728,0.06313299418455914,0.07987044844434336
2017-04-30,风险平价策略,0.09464784231126822,0.17553391102789376,0.12764701725236458,0.07781794608716242,0.06877210995924048,0.19233877265768015,0.1299621022908314,0.06584710498075858,0.06743319343280035
2017-05-31,风险平价策略,0.10676217556990712,0.18533877929466494,0.11308446385144846,0.058333255720748406,0.06054264440084495,0.22224363423409962,0.13513150577187255,0.06321010892153107,0.055353432234882836
2017-06-30,风险平价策略,0.0869346848751964,0.19370725248556678,0.09100940508624025,0.06179729662267297,0.05977584757626239,0.2569627019883131,0.11186406607631709,0.07620310352491329,0.06174564176451773
2017-07-31,风险平价策略,0.07183508310850792,0.22451372719138551,0.09290064192496092,0.06067145908886306,0.05137543921472796,0.24637390612436805,0.0972883429834074,0.09125287781670281,0.06378852254707643
2017-08-31,风险平价策略,0.06209924992889267,0.2830637527043243,0.09333207645894044,0.04305612337939793,0.05304276587588495,0.2405483832433288,0.0806508406383635,0.080578733168352,0.06362807460251535
