decay,回测区间,组合/资产,区间净值,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
0.65,全局 (Total),全天候增强策略 (动量择时),4.6406,13.99%,9.84%,1.08,-13.07%,68.49%,17.41%
0.65,训练期 (2013-2020),风险平价策略,2.1922,12.45%,7.57%,1.11,-8.93%,72.29%,16.35%
0.65,训练期 (2013-2020),全天候策略,1.7884,9.08%,7.81%,0.69,-9.31%,66.27%,17.84%
0.65,训练期 (2013-2020),全天候增强策略 (动量择时),2.3437,13.58%,9.53%,1.01,-12.08%,66.27%,18.59%
0.65,验证期 (2021-2026),风险平价策略,1.7278,11.48%,7.17%,1.25,-7.45%,66.67%,12.93%
0.65,验证期 (2021-2026),全天候策略,1.8569,13.09%,7.78%,1.35,-7.15%,71.43%,16.08%
0.65,验证期 (2021-2026),全天候增强策略 (动量择时),1.9800,14.54%,10.25%,1.17,-13.07%,71.43%,15.84%
0.68,全局 (Total),风险平价策略,3.7114,11.84%,7.24%,1.17,-8.85%,70.55%,14.80%
0.68,全局 (Total),全天候策略,3.2979,10.72%,7.75%,0.97,-9.19%,67.81%,17.06%
0.68,全局 (Total),全天候增强策略 (动量择时),4.6416,13.99%,9.83%,1.08,-13.08%,69.18%,17.37%
0.68,训练期 (2013-2020),风险平价策略,2.1549,12.16%,7.45%,1.10,-8.85%,72.29%,16.29%
0.68,训练期 (2013-2020),全天候策略,1.7748,8.95%,7.76%,0.68,-9.19%,65.06%,17.82%
0.68,训练期 (2013-2020),全天候增强策略 (动量择时),2.3400,13.55%,9.52%,1.01,-12.08%,67.47%,18.54%
0.68,验证期 (2021-2026),风险平价策略,1.7223,11.41%,6.95%,1.28,-7.12%,68.25%,12.81%
0.68,验证期 (2021-2026),全天候策略,1.8582,13.10%,7.74%,1.36,-7.02%,71.43%,16.06%
0.68,验证期 (2021-2026),全天候增强策略 (动量择时),1.9836,14.58%,10.24%,1.17,-13.08%,71.43%,15.82%
0.71,全局 (Total),风险平价策略,3.6400,11.65%,7.08%,1.17,-8.77%,71.23%,14.72%
0.71,全局 (Total),全天候策略,3.2766,10.65%,7.72%,0.97,-9.08%,66.44%,17.05%
0.71,全局 (Total),全天候增强策略 (动量择时),4.6415,13.99%,9.83%,1.08,-13.08%,68.49%,17.33%
