组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
沪深300主连,7.77%,25.21%,0.31,-60.00%,57.53%,
10年国债主连,3.59%,3.73%,0.96,-9.73%,65.75%,
沪金主连,21.66%,17.25%,1.26,-29.00%,54.11%,
豆粕主连,12.18%,20.39%,0.60,-37.29%,54.79%,
中证1000主连,10.97%,27.79%,0.39,-69.94%,55.48%,
30年国债主连,7.49%,5.41%,1.38,-16.75%,60.96%,
红利低波ETF,12.65%,19.92%,0.64,-43.62%,59.59%,
有色ETF,6.10%,17.23%,0.35,-34.11%,53.42%,
能源化工ETF,5.00%,20.85%,0.24,-48.36%,49.32%,
风险平价策略,9.11%,4.80%,1.90,-7.81%,69.18%,22.30%
全天候策略,12.00%,6.67%,1.80,-8.21%,69.18%,27.59%
全天候增强策略 (动量择时),15.65%,8.60%,1.82,-12.03%,68.49%,32.01%
