日期,风险平价策略,全天候策略,全天候增强策略 (动量择时)
2014-02-07,1.0050596257908142,1.0061398759314493,1.004887039299197
2014-02-10,1.009725335876086,1.0110516000937302,1.0086923472004647
2014-02-11,1.0088185105614484,1.0125617789868728,1.0163645886759656
2014-02-12,1.0115728393671666,1.0142342697443563,1.0145658132132882
2014-02-13,1.009738032640609,1.012777633183536,1.014279233250395
2014-02-14,1.0138675538070794,1.0179215988316999,1.0194355328580513
2014-02-17,1.0178281120748462,1.0236626433769151,1.026125085504193
2014-02-18,1.014647618488522,1.02044333515321,1.0226435387064494
2014-02-19,1.0160656076402683,1.0216116757547642,1.0232882355509232
2014-02-20,1.01334735607808,1.0187370888540896,1.0221066608510048
2014-02-21,1.012181733313883,1.0178288313335935,1.0224565829243217
2014-02-24,1.0095858911210565,1.0166668803905619,1.025031418116987
2014-02-25,1.0042214628263344,1.012350321470138,1.0271213277069358
2014-02-26,1.0068698125238955,1.016347339035567,1.032591223861091
2014-02-27,1.0029043266241964,1.0094833290548626,1.0250564289696091
2014-02-28,1.0036190404994343,1.0109854090231292,1.0273653862740577
2014-03-03,1.0060357542986977,1.0151137383275743,1.0312674907115416
2014-03-04,1.0028173180156754,1.0114286893928106,1.026725599736963
2014-03-05,1.0025696866019835,1.01059977026955,1.0238755708345921
2014-03-06,1.0030217576772282,1.0116132214431999,1.0250090601484414
2014-03-07,1.003751558346096,1.0133971762037066,1.0276569472866757
2014-03-10,0.9930467044820291,1.000577604215805,1.0199238549626894
2014-03-11,0.9956444750306879,1.003838579526368,1.0230114204235656
2014-03-12,0.99377217531236,1.0032670877491656,1.0268965550033005
2014-03-13,0.9949942653345049,1.0058721321288837,1.0333991607867234
2014-03-14,0.9928004353959009,1.0034555759731425,1.0346600061712627
2014-03-17,0.9941942393356885,1.0064918346495992,1.039856432930152
2014-03-18,0.9936038830134097,1.0044800956879267,1.0353782425629465
2014-03-19,0.9930907582588807,1.0035510482463177,1.0329953702079548
2014-03-20,0.9915561471913984,1.0008072277338587,1.0275566331045405
2014-03-21,0.9952554004869495,1.0049408105731292,1.0307361063151708
2014-03-24,0.996049880280087,1.0050513908463634,1.0308224172332865
2014-03-25,0.9989964321105946,1.006961835356999,1.0281426231392177
2014-03-26,1.000167630310337,1.0082831635245944,1.0285870101863386
2014-03-27,0.9982197082127041,1.0054909112508785,1.0256418670835108
2014-03-28,1.0012779706593766,1.0082657610622228,1.0254409373108226
2014-03-31,1.0009262606388456,1.007908035832488,1.0250230557801185
2014-04-01,1.0029014367119062,1.0081462798068348,1.0230965564913694
2014-04-02,1.004026125832731,1.0094457247708488,1.0241752924444785
2014-04-03,1.0021874676097207,1.0083327543345246,1.0240236260137388
2014-04-04,1.0042998120838587,1.0101262414515018,1.0249547033801694
2014-04-08,1.0083810040471892,1.016795275447024,1.0306970382842908
2014-04-09,1.0076098667324687,1.0158265648322542,1.0292334582631044
2014-04-10,1.0092703326211139,1.0180395244154925,1.029990824974702
2014-04-11,1.0105835612319052,1.0192448578567666,1.0313138927071284
2014-04-14,1.0143019032754719,1.024377078701098,1.0370010262756282
2014-04-15,1.0123517134469964,1.0195815343960868,1.033165030385015
2014-04-16,1.013066771549299,1.0185960251734032,1.0317555130613836
2014-04-17,1.0178955756228747,1.0220462824856038,1.0358055936424126
2014-04-18,1.0204613306307972,1.0238315159526588,1.0376554038917862
2014-04-21,1.0165663213163647,1.0192295824809539,1.0347299304915292
2014-04-22,1.0175345464583472,1.0208034632185827,1.0367713299454016
2014-04-23,1.0168099878888368,1.0195196019921662,1.0355476701877944
2014-04-24,1.0193706737590644,1.0220345534721214,1.0388320513773452
2014-04-25,1.0178346001455294,1.0221886025888602,1.040931102857203
2014-04-28,1.019179579985819,1.0248797122563227,1.0463743115297117
2014-04-29,1.0187182814102789,1.023380493029593,1.0432565882404965
2014-04-30,1.0193460617824093,1.023972923737104,1.0435789454800855
2014-05-05,1.020871060631128,1.0269913164040982,1.041300020875744
2014-05-06,1.0198759055073119,1.0257817812005037,1.0363601724284586
2014-05-07,1.018880609544255,1.0240629133046124,1.0337472507027832
2014-05-08,1.0177662758660717,1.0205635539153857,1.0298819268486994
2014-05-09,1.022796000508293,1.0246272329071409,1.03429129701907
2014-05-12,1.0278646158454907,1.029822461650097,1.0429835413272803
2014-05-13,1.0277038639401677,1.030413212848918,1.045525245724563
2014-05-14,1.0298412085075523,1.0330489112444121,1.0515741410025787
2014-05-15,1.028741833487288,1.0328015848169585,1.051386586130671
2014-05-16,1.0276340636888261,1.0304439139960366,1.0469945441965827
2014-05-19,1.0287144064318487,1.0328544130711172,1.053430750041257
2014-05-20,1.0300663764796218,1.0328317891406977,1.054907885269582
2014-05-21,1.031297352562399,1.0343986270214867,1.0565654952470223
2014-05-22,1.0345647807960598,1.037336820272089,1.0622992631958312
2014-05-23,1.0407257221525348,1.0436574640048144,1.0723238194915456
2014-05-26,1.0460798580981543,1.048737414450168,1.07742315109549
2014-05-27,1.0424389163011998,1.0446395149663914,1.0686791015911825
2014-05-28,1.0436486592914203,1.0436034185437297,1.071334200897521
2014-05-29,1.045457550012946,1.0426719399774076,1.0698644754600004
2014-05-30,1.0465482543956468,1.0440359935838295,1.071800435073322
2014-06-03,1.048069617645758,1.0436656619929177,1.0711444859945762
2014-06-04,1.0476461562409274,1.0426784065989494,1.0717235001116536
2014-06-05,1.0498553568134286,1.045328869247179,1.0735057896838385
2014-06-06,1.050826601354633,1.0477035729434725,1.0775079721790588
2014-06-09,1.0520886559172686,1.048043405829179,1.0766826924591568
2014-06-10,1.0523227996487075,1.0485246252191722,1.077390232145318
2014-06-11,1.052901318795119,1.050003574226458,1.0782793886698356
