date,策略名称,沪深300主连,红利低波ETF,沪铜主连,10年国债主连,PTA主连,30年国债主连,豆粕主连,原油主连,沪金主连,中证1000主连,沪铝主连
2014-01-31,风险平价策略,0.04283862375216933,0.05014637438085427,0.0686764402968987,0.2690630198812141,0.06836359135178241,0.08845741000792631,0.09172743809309203,0.07044818512326041,0.0653380712029237,0.04507670154984598,0.13986414436003267
2014-02-28,风险平价策略,0.035993551062690296,0.04618967772007506,0.05805077736249972,0.3378818485499842,0.05011581989263063,0.09020638031372695,0.08827700611137645,0.07410126665020342,0.08073067929250058,0.03529030468861626,0.10316268835569635
2014-03-31,风险平价策略,0.0339231754002803,0.04233644443881148,0.03493610603726307,0.38364148240513196,0.05062387036473205,0.12476050363299686,0.09858650437127714,0.06443913544501075,0.06043591835630781,0.029996678446458452,0.07632018110173006
2014-04-30,风险平价策略,0.033229042535021944,0.037705993080347854,0.04009500574615379,0.3775762748898727,0.039637042431361395,0.1506527234268026,0.09960574915143391,0.05587921082861161,0.05821897804079723,0.027559780023349963,0.0798401998462469
2014-05-31,风险平价策略,0.03648737374173298,0.041024376072664,0.0439661316818211,0.3625202737870146,0.0418433956206878,0.19219097586282904,0.07876623822972048,0.06107869626700849,0.05065656073562077,0.02968391913062527,0.0617820588702755
2014-06-30,风险平价策略,0.03662942157839201,0.03807177548138172,0.04670734181113629,0.3497478458279306,0.04664458918488137,0.22204582428217806,0.05071601926573173,0.06603023125625944,0.05557867873170228,0.029352517765289823,0.05847575481511672
2014-07-31,风险平价策略,0.06645403864451728,0.06411020366887117,0.05776635002204439,0.2652595672677082,0.06103911098327847,0.1648006788399731,0.05609242793148304,0.058028919658173604,0.06942166475333222,0.048342269645541135,0.08868476858507734
2014-08-31,风险平价策略,0.05525381157379403,0.056413689333255294,0.04928972336476346,0.3067415393469874,0.04575439603035054,0.20094121939998355,0.04450565548175753,0.04419426095283558,0.06519879196097028,0.04463396095787765,0.08707295159742469
2014-09-30,风险平价策略,0.0345616542100429,0.04388913885823881,0.037534177543007384,0.3872764979100747,0.03018622284142799,0.273679391900937,0.027696823517656285,0.03438213019283001,0.046344637431712486,0.04226902773220431,0.04218029786186808
2014-10-31,风险平价策略,0.039421555372911164,0.04415820900493513,0.03674981441006234,0.2768349905545368,0.024790024973887534,0.39171422117187193,0.03816608965191992,0.029270119161492355,0.03687915145989675,0.03728339690860884,0.04473242732987726
2014-11-30,风险平价策略,0.052581170472504817,0.04965998213522292,0.03331315456942944,0.19691419858717268,0.022135180150094948,0.4875905921948975,0.029182535292503427,0.018030095602885786,0.03260922514226573,0.03472716629036508,0.04325669956265769
2014-12-31,风险平价策略,0.036697986670253396,0.05127142264035647,0.06272034897837932,0.34535904136415013,0.031114350225430555,0.2272619720708266,0.05859838631722492,0.027635622712441046,0.054393847937746743,0.03499710183335826,0.06994991924983257
2015-01-31,风险平价策略,0.023674305086068666,0.03132323927538557,0.031975873580635965,0.43804082174490394,0.03126346000405319,0.1972209996947019,0.0460467754525047,0.02240997932233232,0.06294528623844123,0.04041197109064855,0.07468728851032405
2015-02-28,风险平价策略,0.024720680652462086,0.031419257766823354,0.03769165847025771,0.43207245554369667,0.03478878223945862,0.18263720965762015,0.05520316996378028,0.02337833149807911,0.057341494779889535,0.043327825385643295,0.07741913404228917
2015-03-31,风险平价策略,0.040439664380608274,0.04985684003784309,0.057304889907052355,0.29088180273179587,0.034556172599686456,0.13851235723016864,0.06511044998394767,0.027994711789622664,0.0677727564714503,0.07292936927016724,0.15464098559765746
2015-04-30,风险平价策略,0.04684573692931411,0.054590476958787354,0.0672878172708049,0.28615413290993696,0.043686276509454953,0.14097495867334642,0.07147560078183583,0.0323784637208117,0.06998110273099545,0.053779838559954225,0.13284559495475814
2015-05-31,风险平价策略,0.041682113409719335,0.04255582139559928,0.08915723415032585,0.21366854066961327,0.05192836766398917,0.14900039355052064,0.07182102022709999,0.04478128012989984,0.08720405157469563,0.051644156134504474,0.15655702109403244
2015-06-30,风险平价策略,0.022541589628329934,0.030067340351062812,0.08380728934712697,0.23659817650652817,0.04919937590217026,0.1957151808566903,0.06444067680095623,0.04453983112518714,0.10929821327507885,0.025580647056403345,0.1382116791504658
2015-07-31,风险平价策略,0.016691538142864323,0.023953364534479223,0.04323595119443765,0.30005103092289975,0.03847251579484281,0.28789083426564627,0.05722413205016059,0.04014162047808094,0.08382181711848265,0.02130954513510293,0.08720765036300275
2015-08-31,风险平价策略,0.012555705817367318,0.017119187221095965,0.044675129006391485,0.35218662291282693,0.0296433960918752,0.2873179837186838,0.0517851228463424,0.027570246204719758,0.08774392863503791,0.014926678047133365,0.07447599949852596
2015-09-30,风险平价策略,0.014160062531033362,0.018998467837300716,0.03820975847621715,0.419132897361616,0.033178406847092515,0.22998204872754477,0.05801417987037222,0.023505463976646924,0.0744745320977418,0.01547222790234828,0.07487195437208624
2015-10-31,风险平价策略,0.019850078682830657,0.027617912897071332,0.04979060425813517,0.33872049500273144,0.04607296324871446,0.2525944721992774,0.0689041425625848,0.030117407019124347,0.08818244199046939,0.020912738403775718,0.05723674373528529
2015-11-30,风险平价策略,0.02635793537066114,0.03502110930543087,0.04284244319431217,0.3226461481087304,0.052527139678396347,0.25843884663924377,0.06551502586838837,0.03455783581695155,0.07532390857811594,0.025783305586448226,0.060986301853321274
2015-12-31,风险平价策略,0.02608288441797404,0.03387845609597926,0.04231766145422293,0.3457205747462397,0.04991684149824679,0.2520523403655092,0.05749609081068351,0.03214142703703133,0.07466424323697228,0.02744290302692663,0.05828657731021428
2016-01-31,风险平价策略,0.019093113179290813,0.023507757437702295,0.04762413004773843,0.3552583399806697,0.0549214582469916,0.2165902579575887,0.07363913935635095,0.02323094208949017,0.10530016796072789,0.015888330844709316,0.06494636289874012
2016-02-29,风险平价策略,0.020025803261203217,0.025022978647952443,0.0553072474316466,0.3060525730680862,0.06234455894884092,0.24793699195868232,0.06124438765640045,0.022029815063896393,0.10376131347962686,0.016024523419444967,0.08024980706421972
2016-03-31,风险平价策略,0.024128852995750166,0.030954500019004814,0.048193559234877996,0.3572829393748896,0.046578863358853154,0.23613791625610264,0.05861319193867239,0.024398879487772175,0.061938160402769116,0.018876663498910123,0.0928964734323979
2016-04-30,风险平价策略,0.028678589308446842,0.0392995769822435,0.04956308750026845,0.3302185069074173,0.04511587047853372,0.24249453843088925,0.06177070454587884,0.03259880136607623,0.07095798654413021,0.021990807507195963,0.07731153042891957
2016-05-31,风险平价策略,0.03184716624071124,0.04946904634782361,0.04428362790606033,0.3371696920524311,0.04211219461917504,0.2582122358644158,0.05250425711754866,0.039282610269635664,0.06827784200477477,0.023680555424889664,0.05316077215253415
2016-06-30,风险平价策略,0.03129781809116005,0.048225951158218434,0.0479611494533694,0.37568465453757544,0.04285081188812177,0.2205011981526184,0.04579069842344992,0.02935295505460066,0.07680053231167512,0.02673823579455537,0.0547959951346555
2016-07-31,风险平价策略,0.03627655434048853,0.055314893923928514,0.045255788147515276,0.3869572350884437,0.03342704399599502,0.24619458897045002,0.02415504210883135,0.02131355067355155,0.0734193368540036,0.027870884381430334,0.049815081515362035
2016-08-31,风险平价策略,0.04592339152762454,0.07263803666383536,0.052564950576450234,0.3362279355287674,0.038963034911228336,0.23913174972756993,0.030119249007170612,0.023770176461326148,0.07317528873210759,0.03761811494402051,0.049868071919899254
2016-09-30,风险平价策略,0.03890033019488374,0.05348522953649095,0.053585973345780115,0.3440421833010885,0.03677404180360559,0.27289267455777455,0.028372700338332266,0.023193461230008285,0.06787989682734037,0.031355966603691776,0.049517542261003855
2016-10-31,风险平价策略,0.04762183845654795,0.06056816348950067,0.061029089659932936,0.3076886171461194,0.04380129342069889,0.26339894188841756,0.03196306522823362,0.023708238553538655,0.0622393214054439,0.03963271262902356,0.05834871812254287
2016-11-30,风险平价策略,0.10262840943629059,0.11732812202034516,0.03723657970754748,0.24220762687727376,0.04392751012049381,0.1951027974835912,0.04138684901004011,0.03722547943649677,0.06716684192417784,0.08132313694063581,0.03446664704310753
2016-12-31,风险平价策略,0.09019620704654013,0.1070908008037302,0.06069774643295938,0.1617544611402522,0.07260990285160224,0.12482906366513437,0.06148496869856889,0.07236424317343802,0.11717771661723349,0.07659944695986506,0.05519544261067616
2017-01-31,风险平价策略,0.10061238613003236,0.12492578045135207,0.06100779024222078,0.12387404251201498,0.07746347355066333,0.12889580509255064,0.06514286195942287,0.06853107132184305,0.11084599215087497,0.0767229202869349,0.06197787630209003
2017-02-28,风险平价策略,0.0944924201008342,0.12219260969461318,0.049410457488868714,0.13813718888514373,0.06375587874752263,0.14273035528227487,0.05491937506881208,0.06776894853085078,0.12989850607540934,0.08518124409947904,0.05151301602619135
2017-03-31,风险平价策略,0.08606220785505647,0.12677041350568105,0.047534028263759735,0.162732754368337,0.0381025903453984,0.18104734498605346,0.05507668736901616,0.04764354621453404,0.11477122768621242,0.08018481937522681,0.060074380030724406
2017-04-30,风险平价策略,0.08495161707033988,0.12081585432644608,0.05180036023356846,0.1678377763159891,0.04274314699959586,0.1829713771698394,0.06579785920145449,0.04432457828085233,0.11553636374480444,0.06376883900691592,0.05945222765019412
2017-05-31,风险平价策略,0.09721157111262843,0.12435522086970346,0.04591762956120462,0.17699219900207752,0.04468060281980874,0.21302058336752322,0.050529036963323844,0.036963423052842774,0.10086526927682037,0.05546512631439424,0.05399933765967281
2017-06-30,风险平价策略,0.07897674114394708,0.10086336666036555,0.053751804508395354,0.185149057022451,0.04839163656602535,0.2485282029044437,0.05552513361044622,0.03512446938082595,0.0828827301289854,0.053938511090492386,0.05686834698362202
2017-07-31,风险平价策略,0.0636983339891265,0.08916700407982428,0.06905217123937132,0.20517696453978318,0.04749503277159453,0.22591966076004977,0.05428860044962521,0.03681742712808437,0.08633054973299366,0.04584927990870759,0.07620497540083979
2017-08-31,风险平价策略,0.05728853101791724,0.07552716998878804,0.06531056461558724,0.2665893328951701,0.04206406668555062,0.21948335920752388,0.03841660612308499,0.03400934173125894,0.08510527534461675,0.0490368116735898,0.06716894071691232
2017-09-30,风险平价策略,0.06508274591391038,0.09820929562855137,0.044427980418712,0.27609923204546005,0.03387662777312941,0.23277512110111584,0.045097447894534556,0.040692296257616015,0.07391767193143403,0.05119582934683449,0.0386257516887018
