回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
2018年,风险平价策略,4.37%,4.50%,0.97,-3.86%,66.67%,12.47%
2018年,全天候策略,2.35%,4.40%,0.55,-3.45%,58.33%,14.88%
2018年,全天候增强策略 (动量择时),6.66%,4.42%,1.48,-3.82%,91.67%,14.99%
2019年,沪深300主连,39.88%,20.44%,1.74,-13.52%,75.00%,
2019年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,
2019年,红利低波ETF,24.48%,15.27%,1.51,-12.09%,75.00%,
2019年,10年国债主连,2.12%,3.08%,0.70,-2.23%,66.67%,
2019年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2019年,沪铜主连,1.36%,9.37%,0.19,-8.57%,50.00%,
2019年,沪铝主连,4.64%,8.20%,0.59,-4.75%,58.33%,
2019年,PTA主连,-6.97%,23.32%,-0.19,-25.85%,41.67%,
2019年,原油主连,28.06%,26.95%,1.05,-22.30%,66.67%,
2019年,豆粕主连,5.57%,14.70%,0.44,-8.30%,41.67%,
2019年,沪金主连,18.34%,13.35%,1.33,-9.51%,41.67%,
2019年,风险平价策略,10.60%,3.74%,2.71,-1.85%,75.00%,13.18%
2019年,全天候策略,13.86%,5.01%,2.61,-2.97%,66.67%,16.94%
2019年,全天候增强策略 (动量择时),11.49%,7.04%,1.58,-3.46%,66.67%,15.83%
2020年,沪深300主连,33.67%,25.25%,1.28,-17.16%,58.33%,
2020年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,
2020年,红利低波ETF,9.94%,21.25%,0.55,-15.80%,50.00%,
2020年,10年国债主连,2.01%,4.32%,0.48,-4.86%,50.00%,
2020年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2020年,沪铜主连,17.15%,20.81%,0.87,-25.15%,50.00%,
2020年,沪铝主连,21.13%,18.45%,1.13,-21.05%,58.33%,
2020年,PTA主连,-32.43%,24.23%,-1.50,-41.61%,41.67%,
2020年,原油主连,-59.89%,44.76%,-1.81,-69.25%,41.67%,
2020年,豆粕主连,28.39%,17.75%,1.50,-9.04%,75.00%,
2020年,沪金主连,12.83%,18.62%,0.74,-17.77%,58.33%,
2020年,风险平价策略,8.66%,6.21%,1.37,-6.45%,66.67%,12.99%
2020年,全天候策略,5.25%,9.45%,0.59,-11.28%,50.00%,17.78%
2020年,全天候增强策略 (动量择时),14.25%,11.80%,1.19,-11.05%,58.33%,15.88%
2021年,沪深300主连,-1.43%,18.46%,0.01,-15.14%,58.33%,
2021年,中证1000主连,0.00%,0.00%,0.00,0.00%,0.00%,
2021年,红利低波ETF,23.42%,17.50%,1.29,-14.60%,58.33%,
2021年,10年国债主连,4.39%,2.94%,1.47,-1.78%,58.33%,
2021年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2021年,沪铜主连,23.55%,20.70%,1.12,-14.91%,50.00%,
2021年,沪铝主连,33.92%,26.26%,1.24,-25.51%,50.00%,
2021年,PTA主连,29.57%,30.29%,1.01,-20.96%,66.67%,
2021年,原油主连,58.63%,37.06%,1.43,-18.47%,66.67%,
2021年,豆粕主连,-4.78%,20.02%,-0.15,-20.02%,33.33%,
2021年,沪金主连,-6.75%,12.70%,-0.49,-11.93%,41.67%,
2021年,风险平价策略,11.67%,6.06%,1.85,-3.43%,66.67%,13.68%
2021年,全天候策略,11.39%,7.84%,1.42,-4.07%,58.33%,18.08%
2021年,全天候增强策略 (动量择时),18.77%,12.01%,1.49,-7.63%,58.33%,17.71%
2022年,沪深300主连,-19.89%,21.25%,-0.94,-26.09%,33.33%,
2022年,中证1000主连,-6.32%,14.55%,-0.38,-16.45%,25.00%,
2022年,红利低波ETF,3.01%,19.45%,0.25,-13.65%,50.00%,
2022年,10年国债主连,1.55%,2.85%,0.55,-1.73%,58.33%,
2022年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,
2022年,沪铜主连,-0.66%,19.97%,0.07,-27.91%,66.67%,
2022年,沪铝主连,-6.49%,22.88%,-0.18,-28.26%,25.00%,
2022年,PTA主连,18.53%,37.28%,0.64,-31.32%,58.33%,
2022年,原油主连,32.11%,46.91%,0.83,-29.34%,50.00%,
2022年,豆粕主连,62.22%,24.24%,2.12,-12.65%,91.67%,
2022年,沪金主连,8.74%,11.72%,0.77,-11.74%,66.67%,
2022年,风险平价策略,5.43%,6.43%,0.85,-5.00%,58.33%,11.50%
2022年,全天候策略,9.51%,8.39%,1.13,-6.63%,66.67%,17.46%
2022年,全天候增强策略 (动量择时),4.08%,12.32%,0.39,-13.16%,50.00%,14.30%
2023年,沪深300主连,-12.14%,13.91%,-0.86,-21.43%,25.00%,
2023年,中证1000主连,-3.87%,14.46%,-0.20,-18.86%,33.33%,
2023年,红利低波ETF,12.25%,13.13%,0.95,-12.27%,50.00%,
2023年,10年国债主连,4.57%,2.07%,2.17,-1.45%,83.33%,
2023年,30年国债主连,6.93%,3.53%,1.92,-3.25%,58.33%,
2023年,沪铜主连,6.45%,12.43%,0.57,-9.51%,66.67%,
2023年,沪铝主连,9.99%,13.19%,0.79,-8.87%,58.33%,
2023年,PTA主连,14.23%,21.51%,0.73,-14.09%,58.33%,
2023年,原油主连,0.90%,32.72%,0.19,-26.99%,50.00%,
2023年,豆粕主连,8.36%,18.33%,0.53,-15.42%,25.00%,
2023年,沪金主连,16.50%,9.53%,1.65,-4.58%,66.67%,
2023年,风险平价策略,9.41%,3.41%,2.66,-1.92%,58.33%,11.63%
2023年,全天候策略,12.61%,4.14%,2.89,-2.45%,66.67%,15.95%
2023年,全天候增强策略 (动量择时),11.21%,7.48%,1.46,-4.37%,75.00%,17.99%
2024年,沪深300主连,17.32%,22.61%,0.82,-12.74%,58.33%,
2024年,中证1000主连,12.71%,37.62%,0.50,-28.85%,58.33%,
2024年,红利低波ETF,24.03%,19.73%,1.19,-13.79%,66.67%,
2024年,10年国债主连,6.03%,2.69%,2.19,-1.51%,83.33%,
2024年,30年国债主连,18.71%,7.51%,2.32,-4.60%,75.00%,
2024年,沪铜主连,5.76%,15.50%,0.44,-19.76%,41.67%,
2024年,沪铝主连,0.46%,13.14%,0.10,-13.26%,50.00%,
2024年,PTA主连,-21.07%,16.44%,-1.36,-23.72%,25.00%,
2024年,原油主连,7.65%,25.22%,0.42,-23.57%,58.33%,
2024年,豆粕主连,-18.02%,17.69%,-1.03,-26.72%,41.67%,
2024年,沪金主连,27.30%,13.51%,1.85,-7.12%,66.67%,
2024年,风险平价策略,11.66%,5.16%,2.16,-3.51%,66.67%,10.95%
2024年,全天候策略,13.97%,5.73%,2.31,-4.05%,75.00%,14.01%
2024年,全天候增强策略 (动量择时),15.87%,7.30%,2.05,-6.03%,75.00%,13.37%
2025年,沪深300主连,25.83%,17.50%,1.40,-13.01%,66.67%,
2025年,中证1000主连,49.44%,21.37%,1.99,-15.69%,75.00%,
2025年,红利低波ETF,4.80%,11.71%,0.46,-7.40%,50.00%,
2025年,10年国债主连,-0.99%,2.44%,-0.40,-2.29%,41.67%,
2025年,30年国债主连,-5.67%,7.22%,-0.77,-8.02%,33.33%,
2025年,沪铜主连,34.36%,15.87%,1.94,-12.04%,83.33%,
2025年,沪铝主连,17.29%,10.82%,1.53,-7.98%,66.67%,
2025年,PTA主连,1.41%,21.13%,0.17,-22.25%,58.33%,
2025年,原油主连,-12.80%,30.05%,-0.30,-24.99%,33.33%,
2025年,豆粕主连,3.38%,15.57%,0.29,-10.28%,58.33%,
2025年,沪金主连,58.28%,18.65%,2.56,-11.25%,83.33%,
2025年,风险平价策略,9.58%,5.14%,1.81,-3.53%,83.33%,12.26%
2025年,全天候策略,15.82%,6.59%,2.26,-3.00%,100.00%,14.61%
2025年,全天候增强策略 (动量择时),16.18%,8.14%,1.89,-3.23%,91.67%,15.03%
2026年,沪深300主连,-10.95%,16.49%,-0.62,-6.82%,66.67%,
2026年,中证1000主连,11.67%,27.88%,0.53,-12.03%,66.67%,
2026年,红利低波ETF,8.70%,12.94%,0.71,-4.30%,66.67%,
2026年,10年国债主连,1.83%,1.17%,1.56,-0.52%,66.67%,
2026年,30年国债主连,0.45%,4.94%,0.12,-2.32%,33.33%,
2026年,沪铜主连,-14.31%,33.13%,-0.30,-15.82%,33.33%,
2026年,沪铝主连,38.72%,30.75%,1.22,-10.16%,66.67%,
2026年,PTA主连,234.79%,39.66%,3.25,-7.60%,66.67%,
2026年,原油主连,959.04%,78.19%,3.41,-14.23%,100.00%,
2026年,豆粕主连,30.19%,16.44%,1.69,-6.81%,100.00%,
2026年,沪金主连,17.95%,52.81%,0.58,-24.73%,33.33%,
2026年,风险平价策略,25.03%,7.30%,3.09,-2.67%,100.00%,13.31%
2026年,全天候策略,46.30%,17.11%,2.31,-6.60%,100.00%,14.93%
2026年,全天候增强策略 (动量择时),41.59%,18.29%,1.99,-6.61%,100.00%,13.35%
