,风险平价策略,全天候策略,全天候增强策略 (动量择时)
2014-02-07,1.0074576678420941,1.0066797572238682,1.004016314991949
2014-02-10,1.0151181568277245,1.015662066600785,1.008747573304828
2014-02-11,1.0154703277039514,1.018722016651275,1.0182074975011113
2014-02-12,1.018529697767374,1.021558836549717,1.0173231436375154
2014-02-13,1.0162036419394325,1.0199929556299039,1.0174959995861377
2014-02-14,1.020649883384892,1.0259524495179129,1.022589224671223
2014-02-17,1.0254520277166572,1.0342322149283685,1.0316155541512293
2014-02-18,1.0208908297755046,1.0295248092837634,1.0294705142224168
2014-02-19,1.0221715325790264,1.0302046503698055,1.028776585128639
2014-02-20,1.0188646960445569,1.0263755491371847,1.0275013611392525
2014-02-21,1.016757778065125,1.0243632523670263,1.0272227794146143
2014-02-24,1.0137108106277755,1.0231942333912816,1.031976349005113
2014-02-25,1.0095931623724028,1.0201898933112574,1.0354083577655593
2014-02-26,1.011285943395914,1.0236768218181467,1.041237875836751
2014-02-27,1.0068963966814508,1.0167280387719972,1.034633445111507
2014-02-28,1.0077295289096384,1.0194265700241907,1.039166132219262
2014-03-03,1.009396083723378,1.02237061388269,1.0430621783707965
2014-03-04,1.008167672316363,1.0222698791594562,1.0407814481641868
2014-03-05,1.0073399469494526,1.0188541932968445,1.0335600738644826
2014-03-06,1.007511566896173,1.0192252225662257,1.0344802602745564
2014-03-07,1.007774469775366,1.0201147046794903,1.0363162500372434
2014-03-10,0.9972473539700875,1.007258679820459,1.0295702437386316
2014-03-11,0.9986802492093847,1.0094949646643314,1.0315827802616988
2014-03-12,0.9974964993558383,1.0097748202277275,1.0360987450605643
2014-03-13,1.0003937555903408,1.014911197673421,1.0446575741559212
2014-03-14,0.9983148507197185,1.0123686101893616,1.046506544438895
2014-03-17,1.0008752080827754,1.0163127139248573,1.0516529208817957
2014-03-18,1.0014281623025783,1.0152546518149623,1.0478809168851604
2014-03-19,1.002113946403419,1.0141490285601766,1.0438496849580063
2014-03-20,1.0012562954227167,1.0108276217169805,1.037107414340142
2014-03-21,1.005013587175558,1.0146252931139468,1.039829259778692
2014-03-24,1.007306477823129,1.0159445787564636,1.0401697017881928
2014-03-25,1.0088952566069336,1.0160603621656636,1.0357441378015255
2014-03-26,1.0097200367394823,1.0170328757864286,1.0360119892276645
2014-03-27,1.006930439659602,1.013463480659621,1.033515111482809
2014-03-28,1.0075468251285205,1.014229695150918,1.0328548805222488
2014-03-31,1.0088107545074683,1.0164769921574208,1.0343191770884015
2014-04-01,1.0139912508999391,1.0190823650819285,1.034768527113175
2014-04-02,1.0148500316267597,1.0179537542490908,1.0327332564413885
2014-04-03,1.011864957983157,1.0162977000277662,1.031999936144029
2014-04-04,1.0140783184464923,1.0185922981122997,1.0334315455972105
2014-04-08,1.0180831434293094,1.0257613909634984,1.0395374709202032
2014-04-09,1.0180358218197874,1.0256098013014476,1.0388982094055303
2014-04-10,1.0190406187245293,1.0275808880000723,1.039164785735676
2014-04-11,1.0196886207848022,1.0293131892377951,1.0412850434895058
2014-04-14,1.0224627554508847,1.0331821828954406,1.0458205209798355
2014-04-15,1.021107953735203,1.0293755097957076,1.0433466712654242
2014-04-16,1.0207983708133241,1.0255834353951363,1.0382660460853173
2014-04-17,1.0264294774274252,1.0295918263326151,1.0430580123325681
2014-04-18,1.0301355106279542,1.0313237159172255,1.0446148111129012
2014-04-21,1.0263430462585346,1.026477799059563,1.0416532559733083
2014-04-22,1.0261738207715092,1.0268811937316005,1.0426538283737605
2014-04-23,1.0251035161900748,1.0263904262048782,1.0425290421517723
2014-04-24,1.0263837525117496,1.0284465590168754,1.045159999687462
2014-04-25,1.0263935928601786,1.030216018713652,1.049603658004053
2014-04-28,1.029989392990004,1.035157780969169,1.0583567935086722
2014-04-29,1.0304127765554347,1.0346935700742101,1.0561822145605066
2014-04-30,1.0321683981754428,1.0354285833522785,1.0565367208938017
2014-05-05,1.0336328394244856,1.038071238785186,1.05355303421009
