方案,回测区间,组合/资产,期末净值,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用,调仓次数,换手率合计,交易成本合计
周频基准,全局 (Total),风险平价策略,2.4769,11.89%,6.58%,1.74,-7.47%,69.61%,12.28%,430,29.8423,0.0149
日频调仓,全局 (Total),风险平价策略,2.6016,12.56%,6.57%,1.83,-7.84%,70.59%,12.26%,2037,42.9885,0.0215
