日期,风险平价策略,全天候策略,全天候增强策略 (动量择时)
2014-02-07,1.005091932368281,1.0041763750397528,1.0054274005417947
2014-02-10,1.012407530660479,1.0143357625921625,1.0184272417882194
2014-02-11,1.0082072281811958,1.015182442071792,1.0252801590867873
2014-02-12,1.0143224021711867,1.018721444792459,1.0272839945117693
2014-02-13,1.0132169466061616,1.0177431775845058,1.026458785085671
2014-02-14,1.02017683379684,1.0263373719563265,1.0387061272579143
2014-02-17,1.0250901758200175,1.037065228244118,1.054918405237281
2014-02-18,1.019668349914213,1.0302432123677039,1.0481880922796742
2014-02-19,1.0230851470411837,1.0334010187393219,1.0524441791437489
2014-02-20,1.0194079612503846,1.0292836920667718,1.048367688044121
2014-02-21,1.0169914253145782,1.0285182870397735,1.0473613744343828
2014-02-24,1.0134171897311839,1.0258695696127336,1.0482662677027157
2014-02-25,1.0061856234027042,1.0211850255806507,1.0443659702591932
2014-02-26,1.0098367677808178,1.0261609374154832,1.0507529655390226
2014-02-27,1.0048256366419914,1.018857943827788,1.0422292426641495
2014-02-28,1.0037581870096843,1.020251936162661,1.045574909380097
2014-03-03,1.0041904522475666,1.0254897165630956,1.0578265112237242
2014-03-04,1.004016761620156,1.023392227847883,1.0525344681889974
2014-03-05,1.0057902311394966,1.024135618344107,1.048746649582457
2014-03-06,1.0051627648072026,1.0238347109218264,1.047899475584198
2014-03-07,1.0056471416442194,1.027017970398722,1.0549472996847513
2014-03-10,0.9861746501000579,1.0063878112688436,1.0337539212518718
2014-03-11,0.9912801450749195,1.0115034376342669,1.0405228679958778
2014-03-12,0.9882972706343991,1.011459678983896,1.049383533879205
2014-03-13,0.9903651039526659,1.0168132606808078,1.064063146570702
2014-03-14,0.9832905078966957,1.0106208533627308,1.0634270557578303
2014-03-17,0.9867276135077562,1.017412214932985,1.0750801006540953
2014-03-18,0.9842037630240225,1.0129984603033348,1.065004173715378
2014-03-19,0.9835615041465396,1.0128148304639961,1.061340728475318
2014-03-20,0.9796929202776711,1.0077071113952971,1.047686480867079
2014-03-21,0.9857743752496041,1.0141155541618039,1.0560646252435195
2014-03-24,0.9863182186838316,1.0137912408217464,1.0539521855596106
2014-03-25,0.9928959555637181,1.0162839887745205,1.0484596063947291
2014-03-26,0.9952034820269615,1.0180721972863966,1.0494369959226564
2014-03-27,0.9913859673024984,1.012934307429214,1.0418642388599495
2014-03-28,0.9982908980812265,1.0175526232275665,1.040151008756174
2014-03-31,0.9981761421777549,1.0171267719595865,1.0385546661952063
2014-04-01,1.0104161285195319,1.0198419382214916,1.0385792058932763
2014-04-02,1.0148900397239937,1.0231562584334106,1.0412396819752285
2014-04-03,1.0087074004978522,1.0196925801115362,1.0397121806945178
2014-04-04,1.0148963632222077,1.0237658858978347,1.0421477418789422
2014-04-08,1.017716103681241,1.0313978991357684,1.0486145668173628
2014-04-09,1.0151117060820916,1.0272683019937823,1.0446087951771557
2014-04-10,1.0184188661679223,1.031033229620401,1.0460963701892219
2014-04-11,1.0198600576257393,1.0334245809019111,1.0485673735478749
2014-04-14,1.0206351397491462,1.0367038086973963,1.0531147723830383
2014-04-15,1.015367823936864,1.0287935760012765,1.045942358684252
2014-04-16,1.019097108166709,1.0273345938890248,1.043277527715349
2014-04-17,1.0246187323958937,1.029651303510803,1.0457508833231741
2014-04-18,1.0243541339768645,1.0272819035353569,1.0433566600974407
2014-04-21,1.016243567861835,1.0202690449544727,1.038322875551163
2014-04-22,1.0201712493269826,1.023667303178409,1.0422283387062325
2014-04-23,1.019802502793477,1.0242632395972473,1.042718882976029
2014-04-24,1.0247564235104814,1.0291588276720272,1.0480046611387903
2014-04-25,1.0256530875269558,1.0315822386809337,1.0530034174736536
2014-04-28,1.0333985995320107,1.0358446201370983,1.0611390531205387
2014-04-29,1.0300248092017383,1.0318730090083719,1.0545533315285978
2014-04-30,1.0311081724086772,1.0317074815038645,1.0548490398572112
2014-05-05,1.027690507872923,1.033721337471402,1.0485628385303858
2014-05-06,1.0248413311458417,1.0324971487907573,1.0448251766074936
2014-05-07,1.0203612066502996,1.0275457224808453,1.0408205562714505
2014-05-08,1.016500480947226,1.0208031228090342,1.0366122508509445
2014-05-09,1.0201997839717667,1.0216893983489668,1.043319172440491
2014-05-12,1.0316879201893239,1.0309272146684167,1.0527691326834845
2014-05-13,1.032460272426479,1.031920592144858,1.0537808855158952
2014-05-14,1.0380446091879365,1.0344516741398277,1.059933587254302
2014-05-15,1.0377048938986637,1.0332325208893447,1.0600852212103815
2014-05-16,1.0341000879080628,1.029969166960802,1.056307902547798
2014-05-19,1.0388839752626682,1.0314689320230201,1.064651743736565
2014-05-20,1.0397594693376617,1.0296787843962107,1.0654186777873589
2014-05-21,1.0403365016338746,1.032238962416784,1.0658005431601387
2014-05-22,1.047041292714081,1.035230973753755,1.073115806704048
2014-05-23,1.0555257864952008,1.0409889301546793,1.085532038988069
2014-05-26,1.0605548270490717,1.0438424231297094,1.090983587771064
2014-05-27,1.0510669170743445,1.036901882887106,1.0806706719771382
2014-05-28,1.0532868410492642,1.0345142371116647,1.0844457543207777
2014-05-29,1.051319355432939,1.0283725346496402,1.0835355769544708
2014-05-30,1.0529372190880166,1.02988553535902,1.0865988724343696
2014-06-03,1.0507998090364252,1.0266247128221546,1.0795435069401076
2014-06-04,1.048220622153066,1.0239266418248412,1.0766846302402202
2014-06-05,1.0529479072078083,1.0267551212329158,1.0794252711406285
2014-06-06,1.0517302536017075,1.0279210461687733,1.0848027896435761
2014-06-09,1.0534898324119244,1.0281900912317328,1.0825776802835825
2014-06-10,1.0556670027953214,1.0291579184856396,1.0855291749961686
2014-06-11,1.0565895276023074,1.0317578264585625,1.0911613617288467
2014-06-12,1.0567915154489889,1.0309234128194755,1.0876643074450654
2014-06-13,1.0660955081989414,1.0390199192231857,1.0970063023924954
2014-06-16,1.07677292523118,1.0486863583501154,1.1062864808004211
2014-06-17,1.0686630094421172,1.040531367235984,1.0939922358621597
2014-06-18,1.0645150281953355,1.0379391786192875,1.0920708716552976
2014-06-19,1.0644008318944247,1.040689985016228,1.0951373724432023
2014-06-20,1.0732367403347116,1.0537406463002454,1.1157293831165362
2014-06-23,1.0761768999103192,1.0581696302945447,1.119179474511894
2014-06-24,1.0764349472701744,1.0574235433225023,1.1197229409138534
