日期,唐奇安20日,唐奇安55日,唐奇安90日,TSMOM1月,TSMOM3月,TSMOM6月,TSMOM12月,唐奇安20日·仅做多,TSMOM1月·仅做多,基准·等权买入持有
2019-04-10,0.9980530012308463,0.99916140125547,1.0002043527354407,0.9996938826186242,0.9975205198676922,1.0024794801323078,0.9960550359188621,0.9986072012431582,0.9994276419370471,0.99916140125547
2019-04-11,0.9960842022917435,1.0006890236553352,1.0043707738646728,0.9990199056552255,0.9986384347972391,1.000463554928077,0.9998721544336191,0.9988301454559411,1.0002996258882104,1.0015785225500207
2019-04-12,0.9990675003233797,1.0005306701392724,1.0037654973936028,0.994904331871294,1.0017958225606376,1.0007266417469698,0.9992695890216168,0.9985365512863131,0.9964472152480585,0.9979899648422704
2019-04-15,0.9965722148761943,0.9962070184815636,0.9987326747257045,0.9912789443261286,0.9992937228163485,0.9992503533024963,0.9942593085805893,0.9971155629020834,0.9944580657578316,0.9976421379153929
2019-04-16,0.995415364029017,0.9947559429352077,0.9955582147622177,0.9899630249084072,0.9981337127613193,1.0000306586233527,0.991099067158349,0.9960000442943908,0.9932626487077871,0.996568015338949
2019-04-17,1.0000498681800256,0.9976204924751202,0.9958982634342233,0.9945721437889044,1.0027808731349854,0.998031294290817,0.9914375927378838,0.9984297633094886,0.9956856899098199,0.9967903537514697
2019-04-18,0.9931692313859727,0.9905903004173122,0.9868132446743405,0.9877291953473951,0.9958814462247836,1.0056616473664968,0.98298231082752,0.9901085723698546,0.9873873688400056,0.9870335088388452
2019-04-19,0.9935352342780978,0.9912304435655279,0.9870871219136252,0.9880931934765247,0.9965250086379904,1.0046261582934652,0.9828361363530781,0.9915718598047154,0.9888466345917458,0.9895872526440425
2019-04-22,0.9969608489306913,0.9975088054405652,0.995199287442882,0.9915000444918896,1.0028369057980986,0.9971370130865164,0.9883538969567269,0.9968945663118887,0.994154712230793,0.9967993567322451
2019-04-23,0.9993929823184624,1.0012595536470363,0.9995475643591215,0.9955016584670037,1.0066076882766994,0.9930941738562482,0.9927883503629022,0.9992778248428331,0.9973249407978982,0.9991336791424804
2019-04-24,0.9991916786400268,0.9996311093103162,0.9992774069228834,0.993716661803766,1.0049705457562585,0.9959766864122184,0.9935698488679066,0.9976374130996747,0.9948940455032719,0.9960545803625859
2019-04-25,1.0063492148234474,1.0049210613484085,1.0030687481664116,1.0006693592106177,1.0102887535803566,0.9931603747074416,0.9949973148691058,1.0025379817457312,0.9996982304129928,0.9987051032304539
2019-04-26,1.0039778944869617,0.998993106922962,0.9985794311012998,0.9983114226547566,1.0043291355385877,0.9986820300483872,0.9918251346312734,0.9985699159701945,0.9957414044311395,0.9931526209650328
2019-04-29,0.9985171164935133,0.9933929430440743,0.9941871532211044,0.9928814654043262,0.9986990589060456,1.0029438419473806,0.9865302896968475,0.9935516547691454,0.9907373577677869,0.9885724450290192
