asset,weight,risk_contribution,target_risk_contribution,representative_date
沪深300ETF,0.056357029638160326,0.1111111111112005,0.1111111111111111,2025-12-31
中证1000ETF,0.04553977806522725,0.11111111111120058,0.1111111111111111,2025-12-31
红利低波ETF,0.08961641172994478,0.11111111111119985,0.1111111111111111,2025-12-31
10年国债ETF,0.4495962329880602,0.11111111111042182,0.1111111111111111,2025-12-31
30年国债ETF,0.10392823809203071,0.11111111111117891,0.1111111111111111,2025-12-31
有色ETF,0.0668614322423256,0.11111111111120048,0.1111111111111111,2025-12-31
能源化工ETF,0.057169980200426435,0.11111111111119835,0.1111111111111111,2025-12-31
豆粕ETF,0.08171074489614524,0.11111111111119999,0.1111111111111111,2025-12-31
黄金ETF,0.04922015214767956,0.11111111111119934,0.1111111111111111,2025-12-31
