asset,raw_budget_multiplier,target_risk_budget,actual_risk_contribution,weight,absolute_rc_error,representative_date
沪深300ETF,2.0,0.18181818181818182,0.18181818181818757,0.09152739718112607,5.745404152435185e-15,2025-12-31
中证1000ETF,2.0,0.18181818181818182,0.1818181818181875,0.07283993271279982,5.689893001203927e-15,2025-12-31
红利低波ETF,1.0,0.09090909090909091,0.09090909090909376,0.07843380498855497,2.8449465006019636e-15,2025-12-31
10年国债ETF,1.0,0.09090909090909091,0.09090909090906338,0.4314692031163392,2.7533531010703882e-14,2025-12-31
30年国债ETF,1.0,0.09090909090909091,0.09090909090909294,0.09707414705060634,2.0261570199409107e-15,2025-12-31
有色ETF,1.0,0.09090909090909091,0.09090909090909376,0.05817573420853271,2.8449465006019636e-15,2025-12-31
能源化工ETF,1.0,0.09090909090909091,0.09090909090909369,0.050639952823777125,2.7755575615628914e-15,2025-12-31
豆粕ETF,1.0,0.09090909090909091,0.09090909090909376,0.07476258288021319,2.8449465006019636e-15,2025-12-31
黄金ETF,1.0,0.09090909090909091,0.09090909090909371,0.045077245038050634,2.8033131371785203e-15,2025-12-31
