method,observations,success_rate,median_iterations,median_runtime_ms,p95_runtime_ms,median_rc_error,max_rc_error,max_weight_sum_error
lbfgsb,148,1.0,29.0,5.417399981524795,10.60980494366959,1.5064602690295636e-09,6.949204947592769e-09,2.220446049250313e-16
newton,148,0.9932432432432432,8.0,0.5707500386051834,1.4318300061859193,6.949579800519246e-13,1.612649194737692e-09,3.3306690738754696e-16
slsqp,148,0.9527027027027027,42.5,12.755600037053227,20.55281496723183,2.985499077332032e-07,2.4676776982368587e-06,2.220446049250313e-16
