variant,label,objective_family,stage_order,observations,solver_success_rate,rc_pass_rate,median_iterations,median_runtime_ms,median_rc_error,max_rc_error,max_weight_sum_error,min_weight,median_distance_from_equal
v0_02_raw_slsqp,v0.02 原始SLSQP,原始RC平方差,1,148,1.0,0.0,1.0,0.4679500125348568,0.11322517640041921,0.29445564563216686,2.220446049250313e-16,0.010032502697094464,0.0
v0_03_scaled_slsqp,v0.03 目标放大,目标乘1e9,2,148,0.972972972972973,0.8918918918918919,23.5,6.550999998580664,6.961125127713519e-08,0.29445564563216686,0.5,0.013046653671878865,0.2763721418413124
v0_04_relative_slsqp,v0.04 相对误差,无量纲相对RC误差,3,148,1.0,0.7837837837837838,27.0,6.8531500292010605,4.873691791459911e-07,1.5763914063965379e-06,2.220446049250313e-16,0.010390558760442183,0.29741037319574537
v0_05_convex_lbfgsb,v0.05 凸重构,对数障碍凸目标,4,148,1.0,0.013513513513513514,20.0,2.0931000472046435,8.181535319007338e-06,4.569289938076426e-05,4.440892098500626e-16,0.01039052966543497,0.29741300845420426
course_newton,当前阻尼牛顿法,解析Hessian与线搜索,5,148,0.9932432432432432,1.0,8.0,0.3390500205568969,6.949579800519246e-13,1.6126491669821164e-09,3.3306690738754696e-16,0.01039057011835155,0.2974105937321826
