date,equal_weight,inverse_downside_vol,erc
2014-02-07,1.0076872222222222,1.005754004002778,1.006184051766172
2014-02-10,1.0197985597532748,1.0134784105864538,1.0134517320998837
2014-02-11,1.0201391585722066,1.0131609920969353,1.012917733748284
2014-02-12,1.0234763645658953,1.0154957195606982,1.0155115916965054
2014-02-13,1.0194597968788486,1.0129683736141037,1.0130994279612937
2014-02-14,1.0260851972987042,1.0170635811613498,1.0174136694276459
2014-02-17,1.0331850736932997,1.0212056506241114,1.0212466761600523
2014-02-18,1.02761489378795,1.0162933412884216,1.016469342988358
2014-02-19,1.0308107956442678,1.0181343626411428,1.0181433530169361
2014-02-20,1.0253696866158326,1.0148108412735428,1.014943240003757
2014-02-21,1.0219659822780633,1.0128797879179834,1.013139947102854
2014-02-24,1.0163355529564708,1.008655926524977,1.0096558528537767
2014-02-25,1.0037716947523274,1.0022419922737313,1.0036754559822112
2014-02-26,1.0061091330023393,1.0036774586507518,1.0050609426101131
2014-02-27,0.999732242847212,0.9999240139759367,1.0011981460937565
2014-02-28,1.0024821430269186,1.0010461564715212,1.0020321030199761
2014-03-03,1.0063668735815188,1.0023288708660603,1.0033033829655802
2014-03-04,1.0055353575154091,1.0004260649594732,1.001040404717159
2014-03-05,1.005756323359651,1.0008817985588327,1.0014621559908872
2014-03-06,1.0061076518040517,1.000700320200536,1.0012938974451326
2014-03-07,1.006068690105011,1.0011388298826163,1.0021404022443388
2014-03-10,0.9864360983293524,0.9888182694683754,0.9913298125218414
2014-03-11,0.9889404058441127,0.990590036675601,0.993164165389817
2014-03-12,0.9848056390297085,0.9873613181621952,0.9905454296694158
2014-03-13,0.9898422240445265,0.9902652197341537,0.9930827733159141
2014-03-14,0.98455266803932,0.9871285220334276,0.9902797551191822
2014-03-17,0.9895248039261865,0.9897207005869372,0.9926940116908832
2014-03-18,0.9908419766341421,0.990405992701608,0.9929949438565768
2014-03-19,0.991171149985027,0.9906482146222528,0.9936205420892974
2014-03-20,0.9855631030540914,0.9886393095668053,0.9921534160635475
2014-03-21,0.9942238941788843,0.9928537125862533,0.9954957851221493
2014-03-24,0.9955962643544674,0.994203373759825,0.9965213421712789
2014-03-25,0.9985617689254068,0.9960375909810559,0.9981092549836906
2014-03-26,0.9997209689713008,0.9967183488801276,0.9987008047914427
2014-03-27,0.9939374518470441,0.9933052392653992,0.9955216646799941
2014-03-28,0.9941504681960531,0.9950460112919978,0.9971853455742244
2014-03-31,0.993161112152377,0.9943603288587616,0.9964132548971603
2014-04-01,0.9993726577942186,0.9988895196333781,1.0006715642068589
2014-04-02,1.0006776633830254,0.9999994387380363,1.0016397556345868
2014-04-03,0.9964943293383655,0.9965542758110447,0.9983750947060532
2014-04-04,1.0018159346056725,0.9990130460894324,1.0003751217695054
2014-04-08,1.0084027636263937,1.0026479208210408,1.0032782837710765
2014-04-09,1.0077597770147402,1.0022442889577696,1.0029626017813462
2014-04-10,1.0116858260705777,1.0042446655962713,1.0044428758167798
2014-04-11,1.012031563071908,1.0049340087638483,1.0051209746770082
2014-04-14,1.0150845362603929,1.0076050765195816,1.007838990219473
2014-04-15,1.0087168966408036,1.0049693387337566,1.0060076716547022
2014-04-16,1.009450676057019,1.0056512012974015,1.0067142141065901
2014-04-17,1.0122927888814468,1.0103469666015947,1.011891681285358
2014-04-18,1.0121691595256868,1.0122907194516115,1.014338382914401
2014-04-21,1.0047709905717033,1.0076180611868761,1.0102896296840573
2014-04-22,1.0043329911569296,1.007817485796546,1.0105047746772842
2014-04-23,1.0027612852859764,1.0060626798724637,1.0086501402514125
2014-04-24,1.0037044297343345,1.0067970222631657,1.0093228548650535
2014-04-25,1.0006882306527387,1.0054315052038878,1.008364124558285
2014-04-28,0.9984628655043769,1.00719589809683,1.010923320383718
2014-04-29,0.9999416038434408,1.0073787045851137,1.0107976880025322
2014-04-30,1.0008468933891586,1.0084047011931663,1.0118663151928673
2014-05-05,1.0013908345264522,1.009221575945322,1.012842963397255
2014-05-06,1.0008804237515703,1.0090914572313185,1.0128416368557087
2014-05-07,0.9960694759754857,1.0074689574247417,1.0115406755410785
2014-05-08,0.9937564167761739,1.0063173888081756,1.010518867205131
2014-05-09,0.9960146358930346,1.0108604011635411,1.0154070550570427
2014-05-12,1.0066686423755342,1.016903976387119,1.0207981301948854
2014-05-13,1.0063764577682879,1.0161674533300753,1.01997349482532
2014-05-14,1.0083737535036532,1.017526158004424,1.0213117174603794
2014-05-15,1.0048779495540678,1.0158556597345125,1.0200014728402766
2014-05-16,1.0018607442707617,1.0147139833387748,1.0189532885243229
2014-05-19,1.0022097606114924,1.014672883111161,1.019115373512047
2014-05-20,1.0020428276935194,1.0152998690396176,1.0198222811474427
2014-05-21,1.0038769399669838,1.016208131456032,1.020523645329296
2014-05-22,1.0069955191365227,1.0192678176261196,1.0236518716766496
2014-05-23,1.013370994371789,1.0235267346750152,1.0278865873556688
2014-05-26,1.0199559944013552,1.0291306676340108,1.0336683789467551
2014-05-27,1.0157036929573262,1.026057541332309,1.0308726475909047
2014-05-28,1.0188928381946636,1.0273483403389974,1.031872514680725
2014-05-29,1.0178734204645146,1.0299031809355215,1.034894161696782
2014-05-30,1.0179996948445897,1.0300130932786713,1.0350619791250633
2014-06-03,1.016815619039698,1.0310018189933956,1.0361898571603376
2014-06-04,1.0132212803309328,1.0307311616381454,1.036133091416539
2014-06-05,1.0168958862081925,1.0320107166684955,1.037119031549161
2014-06-06,1.015170851915304,1.0318899413849882,1.0373427208623283
2014-06-09,1.012651511577538,1.0305875786271,1.0362259757079313
2014-06-10,1.0161035420231206,1.0315514713095562,1.0367765207623276
2014-06-11,1.0174118051061856,1.0319994546340157,1.036894425198947
2014-06-12,1.017599291514817,1.0323565283453346,1.0373733954770457
2014-06-13,1.0239579566511927,1.0354810733757478,1.0400342323683847
2014-06-16,1.0297200459953288,1.0389533111388813,1.0432716160986029
2014-06-17,1.0245860604804171,1.0366759536628276,1.0411889908465466
2014-06-18,1.0201414327460587,1.033720954617633,1.0384216052782065
2014-06-19,1.015655620885349,1.0324653507257409,1.037839416737377
2014-06-20,1.0234895426605417,1.0370887821668722,1.042512006688923
2014-06-23,1.0284951200852088,1.0409954925529432,1.0463889277889005
2014-06-24,1.030396903522735,1.0410488735620766,1.0462266731073415
2014-06-25,1.0295810101565046,1.041203554067529,1.0465024676126609
2014-06-26,1.0370206586975559,1.045173598504973,1.0500903937866284
2014-06-27,1.0382838310546563,1.0458534299464082,1.0507398166298083
2014-06-30,1.0398277669484273,1.0460410126634034,1.0506474321794885
2014-07-01,1.0349618895768717,1.0423076507581315,1.046861081448806
2014-07-02,1.035193484750079,1.041312250677375,1.0458395391000566
2014-07-03,1.0395707025161922,1.0428288200326798,1.0471861917915724
2014-07-04,1.0394873442117623,1.0417922587086328,1.0461694257519196
2014-07-07,1.0354713406518605,1.0397407311772304,1.0441715382626091
2014-07-08,1.037471660459595,1.0409401954552402,1.0452765651920024
2014-07-09,1.029698512873772,1.0370297894172895,1.0418895966205501
2014-07-10,1.0272433677275346,1.0361728059454436,1.0411252434918639
2014-07-11,1.0305560162784433,1.0381829896172365,1.043018981614786
2014-07-14,1.0318030202396384,1.0370054439001357,1.0409750441339651
2014-07-15,1.0305324846854975,1.0366185721263337,1.0406008105297162
2014-07-16,1.030292008052213,1.0354433610781097,1.0395526266561355
2014-07-17,1.0261306328964777,1.030443685688143,1.0341389891442545
2014-07-18,1.0258582100081526,1.0274983511982547,1.0303529092942185
2014-07-21,1.023279590355651,1.027071452130937,1.0299355500572827
2014-07-22,1.0312742203534384,1.0320551538990836,1.0344087189845932
