decay,window,period,observations,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,annual_turnover,average_max_weight,average_rc_error
0.9,126,total,3080,1.7812249385995376,0.0872929979300352,0.04712959712901946,1.7996380064558695,-0.06081631346755767,1.4353549722575911,0.7124183006535948,4.478717761090973,0.4162187250362408,1.3576514404349437e-10
0.9,126,train,1707,0.8289441712711878,0.09322102334897053,0.047145283555009715,1.9143870905856317,-0.06081631346755767,1.5328292366603096,0.7142857142857143,4.546643574976377,0.4021946436540791,1.4724536355415458e-10
0.9,126,validation,1271,0.5403183707782602,0.0894250576253044,0.046387472054360106,1.8699611385391013,-0.03483772225029447,2.5669031110249616,0.734375,4.258918430851111,0.44304971148467037,1.3043498854788116e-10
0.9,252,total,2957,1.8361039026025914,0.0929031139872234,0.046837802840117036,1.9204732252362646,-0.06081628858216381,1.5276024919164501,0.7278911564625851,4.474088524489035,0.4204799403953237,1.5901601520800994e-10
0.9,252,train,1686,0.8412455894423134,0.09553243284269297,0.047187628061962826,1.9574860518825279,-0.06081628858216381,1.570836285309109,0.7228915662650602,4.636305318327618,0.40307677844940737,1.9974583081938401e-10
0.9,252,validation,1271,0.5403180970886172,0.08942501924572177,0.04638744103614632,1.8699615980542705,-0.0348376830914906,2.566904894647388,0.734375,4.258905586320782,0.44304966604393403,1.061945355870092e-10
0.9,504,total,2698,1.3652664312743106,0.08373061121889136,0.04667784484490148,1.7462763126168042,-0.06081628850177878,1.3767793675281972,0.7164179104477612,4.374077237125429,0.4145833282621163,1.7001584717183365e-10
0.9,504,train,1427,0.5355701109815794,0.07868378372963591,0.046949292688727454,1.6369549258698393,-0.06081628850177878,1.2937945683307284,0.7,4.4766582946103926,0.3885569623764467,1.8648470248175795e-10
0.9,504,validation,1271,0.540318097076248,0.08942501924398716,0.04638744104291371,1.8699615977539379,-0.034837683091413774,2.5669048946032573,0.734375,4.25890558564546,0.4430496659495673,1.5200303667660398e-10
0.94,126,total,3080,1.594078471272978,0.08111363652833581,0.045389437921838145,1.7412501238118767,-0.058801935303600006,1.3794382125271618,0.6993464052287581,3.1861562069429943,0.4075695100736452,7.328009722268361e-11
