回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,日度胜率,平均资金占用
2019年,10年国债主连,2.12%,3.08%,0.70,-2.23%,52.46%,2.50%
2019年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,5.00%
2019年,沪铜主连,1.36%,9.37%,0.19,-8.57%,48.77%,16.00%
2019年,沪铝主连,4.64%,8.20%,0.59,-4.75%,49.59%,16.00%
2019年,PTA主连,-6.97%,23.32%,-0.19,-25.85%,50.82%,17.00%
2019年,原油主连,28.06%,26.95%,1.05,-22.30%,54.51%,32.00%
2019年,豆粕主连,5.57%,14.70%,0.44,-8.30%,48.77%,13.00%
2019年,沪金主连,18.34%,13.35%,1.33,-9.51%,54.51%,28.00%
2019年,风险平价策略,17.11%,7.68%,2.09,-5.47%,56.56%,17.11%
2020年,沪深300主连,33.67%,25.25%,1.28,-17.16%,54.73%,14.00%
2020年,中证500主连,34.79%,27.09%,1.24,-15.26%,54.32%,14.00%
2020年,红利低波ETF,9.94%,21.25%,0.55,-15.80%,47.33%,100.00%
2020年,10年国债主连,2.01%,4.32%,0.48,-4.86%,49.79%,2.50%
2020年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,5.00%
2020年,沪铜主连,17.15%,20.81%,0.87,-25.15%,53.91%,16.00%
2020年,沪铝主连,21.13%,18.45%,1.13,-21.05%,55.56%,16.00%
2020年,PTA主连,-32.43%,24.23%,-1.50,-41.61%,48.56%,17.00%
2020年,原油主连,-59.89%,44.76%,-1.81,-69.25%,41.98%,32.00%
2020年,豆粕主连,28.39%,17.75%,1.50,-9.04%,53.50%,13.00%
2020年,沪金主连,12.83%,18.62%,0.74,-17.77%,53.91%,28.00%
2020年,风险平价策略,13.73%,8.52%,1.55,-7.79%,54.73%,16.28%
2021年,沪深300主连,-1.43%,18.46%,0.01,-15.14%,50.62%,14.00%
2021年,中证500主连,25.55%,13.87%,1.71,-8.86%,58.02%,14.00%
2021年,红利低波ETF,23.42%,17.50%,1.29,-14.60%,47.33%,100.00%
2021年,10年国债主连,4.39%,2.94%,1.47,-1.78%,53.09%,2.50%
2021年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,5.00%
2021年,沪铜主连,23.55%,20.70%,1.12,-14.91%,50.62%,16.00%
2021年,沪铝主连,33.92%,26.26%,1.24,-25.51%,53.91%,16.00%
2021年,PTA主连,29.57%,30.29%,1.01,-20.96%,53.50%,17.00%
2021年,原油主连,58.63%,37.06%,1.43,-18.47%,57.61%,32.00%
2021年,豆粕主连,-4.78%,20.02%,-0.15,-20.02%,49.79%,13.00%
2021年,沪金主连,-6.75%,12.70%,-0.49,-11.93%,49.38%,28.00%
2021年,风险平价策略,12.89%,6.85%,1.81,-4.13%,57.20%,16.50%
2022年,沪深300主连,-19.89%,21.25%,-0.94,-26.09%,44.21%,14.00%
2022年,中证500主连,-15.38%,23.12%,-0.61,-29.17%,48.76%,14.00%
2022年,红利低波ETF,3.01%,19.45%,0.25,-13.65%,50.83%,100.00%
2022年,10年国债主连,1.55%,2.85%,0.55,-1.73%,53.72%,2.50%
2022年,30年国债主连,0.00%,0.00%,0.00,0.00%,0.00%,5.00%
2022年,沪铜主连,-0.66%,19.97%,0.07,-27.91%,51.65%,16.00%
2022年,沪铝主连,-6.49%,22.88%,-0.18,-28.26%,53.31%,16.00%
2022年,PTA主连,18.53%,37.28%,0.64,-31.32%,47.93%,17.00%
2022年,原油主连,32.11%,46.91%,0.83,-29.34%,53.31%,32.00%
2022年,豆粕主连,62.22%,24.24%,2.12,-12.65%,57.85%,13.00%
2022年,沪金主连,8.74%,11.72%,0.77,-11.74%,51.65%,28.00%
2022年,风险平价策略,6.68%,6.23%,1.07,-4.98%,52.89%,15.24%
2023年,沪深300主连,-12.14%,13.91%,-0.86,-21.43%,42.56%,14.00%
2023年,中证500主连,-6.23%,12.74%,-0.44,-17.61%,47.52%,14.00%
2023年,红利低波ETF,12.25%,13.13%,0.95,-12.27%,47.52%,100.00%
2023年,10年国债主连,4.57%,2.07%,2.17,-1.45%,57.85%,2.50%
2023年,30年国债主连,6.93%,3.53%,1.92,-3.25%,42.15%,5.00%
2023年,沪铜主连,6.45%,12.43%,0.57,-9.51%,50.41%,16.00%
2023年,沪铝主连,9.99%,13.19%,0.79,-8.87%,53.31%,16.00%
2023年,PTA主连,14.23%,21.51%,0.73,-14.09%,51.65%,17.00%
2023年,原油主连,0.90%,32.72%,0.19,-26.99%,56.20%,32.00%
2023年,豆粕主连,8.36%,18.33%,0.53,-15.42%,50.83%,13.00%
2023年,沪金主连,16.50%,9.53%,1.65,-4.58%,54.13%,28.00%
2023年,风险平价策略,11.05%,3.85%,2.74,-2.09%,58.68%,15.46%
2024年,沪深300主连,17.32%,22.61%,0.82,-12.74%,47.52%,14.00%
2024年,中证500主连,13.19%,31.31%,0.55,-18.36%,45.45%,14.00%
2024年,红利低波ETF,24.03%,19.73%,1.19,-13.79%,54.13%,100.00%
2024年,10年国债主连,6.03%,2.69%,2.19,-1.51%,60.74%,2.50%
2024年,30年国债主连,18.71%,7.51%,2.32,-4.60%,59.92%,5.00%
2024年,沪铜主连,5.76%,15.50%,0.44,-19.76%,52.07%,16.00%
2024年,沪铝主连,0.46%,13.14%,0.10,-13.26%,52.48%,16.00%
2024年,PTA主连,-21.07%,16.44%,-1.36,-23.72%,45.45%,17.00%
2024年,原油主连,7.65%,25.22%,0.42,-23.57%,50.83%,32.00%
2024年,豆粕主连,-18.02%,17.69%,-1.03,-26.72%,48.76%,13.00%
2024年,沪金主连,27.30%,13.51%,1.85,-7.12%,58.68%,28.00%
2024年,风险平价策略,16.69%,6.75%,2.32,-3.83%,58.68%,14.85%
2025年,沪深300主连,25.83%,17.50%,1.40,-13.01%,56.38%,14.00%
2025年,中证500主连,49.43%,20.69%,2.05,-13.46%,55.97%,14.00%
2025年,红利低波ETF,4.80%,11.71%,0.46,-7.40%,53.50%,100.00%
2025年,10年国债主连,-0.99%,2.44%,-0.40,-2.29%,49.79%,2.50%
2025年,30年国债主连,-5.67%,7.22%,-0.77,-8.02%,52.67%,5.00%
2025年,沪铜主连,34.36%,15.87%,1.94,-12.04%,52.67%,16.00%
2025年,沪铝主连,17.29%,10.82%,1.53,-7.98%,51.44%,16.00%
2025年,PTA主连,1.41%,21.13%,0.17,-22.25%,50.21%,17.00%
2025年,原油主连,-12.80%,30.05%,-0.30,-24.99%,48.56%,32.00%
2025年,豆粕主连,3.38%,15.57%,0.29,-10.28%,49.79%,13.00%
2025年,沪金主连,58.28%,18.65%,2.56,-11.25%,60.08%,28.00%
2025年,风险平价策略,15.59%,5.79%,2.53,-2.65%,60.08%,15.97%
2026年,沪深300主连,10.70%,17.00%,0.68,-6.82%,50.50%,14.00%
2026年,中证500主连,27.98%,27.65%,1.03,-12.91%,53.47%,14.00%
2026年,红利低波ETF,-2.32%,11.63%,-0.14,-5.45%,46.53%,100.00%
2026年,10年国债主连,2.97%,1.22%,2.40,-0.52%,56.44%,2.50%
2026年,30年国债主连,5.81%,4.75%,1.21,-2.32%,54.46%,5.00%
2026年,沪铜主连,14.16%,26.64%,0.63,-15.82%,50.50%,16.00%
2026年,沪铝主连,9.57%,24.63%,0.49,-10.16%,47.52%,16.00%
2026年,PTA主连,92.65%,40.01%,1.84,-13.79%,53.47%,17.00%
2026年,原油主连,129.14%,71.44%,1.52,-30.60%,52.48%,32.00%
2026年,豆粕主连,5.81%,14.36%,0.46,-10.11%,45.54%,13.00%
2026年,沪金主连,-10.70%,41.74%,-0.06,-24.97%,49.50%,28.00%
2026年,风险平价策略,15.92%,7.35%,2.05,-3.18%,59.41%,13.65%
