回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,日度胜率,平均资金占用
2021年,沪金主连,-6.75%,12.70%,-0.49,-11.93%,49.38%,28.00%
2021年,风险平价策略,11.18%,10.25%,1.08,-7.55%,54.32%,17.28%
2022年,沪深300主连,-19.89%,21.25%,-0.94,-26.09%,44.21%,14.00%
2022年,中证500主连,-15.38%,23.12%,-0.61,-29.17%,48.76%,14.00%
2022年,红利低波ETF,3.01%,19.45%,0.25,-13.65%,50.83%,100.00%
2022年,10年国债主连,1.55%,2.85%,0.55,-1.73%,53.72%,2.50%
2022年,沪铜主连,-0.66%,19.97%,0.07,-27.91%,51.65%,16.00%
2022年,沪铝主连,-6.49%,22.88%,-0.18,-28.26%,53.31%,16.00%
2022年,PTA主连,18.53%,37.28%,0.64,-31.32%,47.93%,17.00%
2022年,原油主连,32.11%,46.91%,0.83,-29.34%,53.31%,32.00%
2022年,豆粕主连,62.22%,24.24%,2.12,-12.65%,57.85%,13.00%
2022年,沪金主连,8.74%,11.72%,0.77,-11.74%,51.65%,28.00%
2022年,风险平价策略,7.82%,10.89%,0.75,-6.23%,49.17%,18.75%
2023年,沪深300主连,-12.14%,13.91%,-0.86,-21.43%,42.56%,14.00%
2023年,中证500主连,-6.23%,12.74%,-0.44,-17.61%,47.52%,14.00%
2023年,红利低波ETF,12.25%,13.13%,0.95,-12.27%,47.52%,100.00%
2023年,10年国债主连,4.57%,2.07%,2.17,-1.45%,57.85%,2.50%
2023年,沪铜主连,6.45%,12.43%,0.57,-9.51%,50.41%,16.00%
2023年,沪铝主连,9.99%,13.19%,0.79,-8.87%,53.31%,16.00%
2023年,PTA主连,14.23%,21.51%,0.73,-14.09%,51.65%,17.00%
2023年,原油主连,0.90%,32.72%,0.19,-26.99%,56.20%,32.00%
2023年,豆粕主连,8.36%,18.33%,0.53,-15.42%,50.83%,13.00%
2023年,沪金主连,16.50%,9.53%,1.65,-4.58%,54.13%,28.00%
2023年,风险平价策略,2.77%,4.79%,0.60,-5.91%,53.72%,15.66%
2024年,沪深300主连,17.32%,22.61%,0.82,-12.74%,47.52%,14.00%
2024年,中证500主连,13.19%,31.31%,0.55,-18.36%,45.45%,14.00%
2024年,红利低波ETF,24.03%,19.73%,1.19,-13.79%,54.13%,100.00%
2024年,10年国债主连,6.03%,2.69%,2.19,-1.51%,60.74%,2.50%
2024年,沪铜主连,5.76%,15.50%,0.44,-19.76%,52.07%,16.00%
2024年,沪铝主连,0.46%,13.14%,0.10,-13.26%,52.48%,16.00%
2024年,PTA主连,-21.07%,16.44%,-1.36,-23.72%,45.45%,17.00%
2024年,原油主连,7.65%,25.22%,0.42,-23.57%,50.83%,32.00%
2024年,豆粕主连,-18.02%,17.69%,-1.03,-26.72%,48.76%,13.00%
2024年,沪金主连,27.30%,13.51%,1.85,-7.12%,58.68%,28.00%
2024年,风险平价策略,10.23%,7.97%,1.26,-6.31%,60.74%,13.30%
2025年,沪深300主连,25.83%,17.50%,1.40,-13.01%,56.38%,14.00%
2025年,中证500主连,49.43%,20.69%,2.05,-13.46%,55.97%,14.00%
