回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
2018年,30年国债主连,17.81%,4.27%,3.01,-3.73%,91.67%,
2018年,风险平价策略,9.77%,4.26%,1.37,-2.98%,75.00%,9.45%
2018年,全天候策略,6.49%,4.45%,0.63,-3.39%,83.33%,12.83%
2018年,全天候增强策略 (动量择时),9.79%,4.80%,1.22,-5.66%,83.33%,12.31%
2019年,沪金主连,23.64%,14.34%,1.35,-14.29%,50.00%,
2019年,红利低波ETF,24.48%,15.27%,1.33,-12.09%,75.00%,
2019年,沪铝主连,12.40%,9.03%,1.02,-6.48%,58.33%,
2019年,豆粕主连,10.07%,16.05%,0.50,-10.78%,33.33%,
2019年,10年国债主连,0.90%,3.28%,-0.57,-2.82%,66.67%,
2019年,原油主连,49.22%,29.25%,1.42,-25.17%,83.33%,
2019年,沪铜主连,4.01%,11.28%,0.15,-13.61%,50.00%,
2019年,沪深300主连,50.74%,21.60%,1.88,-15.10%,75.00%,
2019年,PTA主连,-22.53%,27.24%,-0.90,-42.00%,33.33%,
2019年,中证1000主连,36.30%,25.51%,1.23,-19.26%,66.67%,
2019年,30年国债主连,4.91%,3.59%,0.57,-4.91%,66.67%,
2019年,风险平价策略,12.35%,3.76%,2.37,-3.02%,75.00%,11.02%
2019年,全天候策略,14.89%,4.61%,2.43,-4.50%,66.67%,14.77%
2019年,全天候增强策略 (动量择时),16.15%,7.19%,1.73,-5.07%,66.67%,14.12%
2020年,沪金主连,10.81%,20.72%,0.48,-24.62%,50.00%,
2020年,红利低波ETF,9.94%,21.25%,0.44,-15.80%,50.00%,
2020年,沪铝主连,35.22%,20.03%,1.49,-23.68%,58.33%,
2020年,豆粕主连,24.05%,19.16%,1.09,-11.96%,66.67%,
2020年,10年国债主连,2.57%,4.37%,0.04,-4.83%,58.33%,
2020年,原油主连,-73.29%,50.69%,-2.39,-78.10%,16.67%,
2020年,沪铜主连,37.04%,23.66%,1.35,-28.82%,75.00%,
2020年,沪深300主连,46.29%,26.04%,1.50,-16.85%,58.33%,
2020年,PTA主连,-41.07%,25.64%,-2.03,-48.72%,33.33%,
2020年,中证1000主连,32.71%,28.82%,1.04,-15.91%,75.00%,
2020年,30年国债主连,3.13%,5.12%,0.15,-8.26%,41.67%,
2020年,风险平价策略,9.50%,5.04%,1.35,-3.64%,75.00%,10.59%
2020年,全天候策略,4.98%,7.97%,0.34,-8.13%,50.00%,15.32%
2020年,全天候增强策略 (动量择时),13.21%,11.01%,0.96,-9.36%,58.33%,14.29%
2021年,沪金主连,0.01%,15.02%,-0.09,-11.23%,41.67%,
2021年,红利低波ETF,23.42%,17.50%,1.15,-14.60%,58.33%,
2021年,沪铝主连,48.03%,28.17%,1.45,-31.59%,50.00%,
2021年,豆粕主连,7.65%,22.15%,0.33,-19.27%,58.33%,
2021年,10年国债主连,5.44%,3.03%,0.95,-2.04%,66.67%,
2021年,原油主连,89.85%,38.28%,1.80,-22.49%,66.67%,
2021年,沪铜主连,22.35%,23.27%,0.88,-17.97%,50.00%,
2021年,沪深300主连,-4.64%,19.55%,-0.27,-17.23%,41.67%,
2021年,PTA主连,23.60%,33.10%,0.73,-26.40%,66.67%,
2021年,中证1000主连,25.31%,19.90%,1.11,-10.44%,66.67%,
2021年,30年国债主连,10.41%,3.53%,2.12,-2.28%,75.00%,
2021年,风险平价策略,14.49%,4.72%,2.38,-2.60%,75.00%,10.66%
2021年,全天候策略,16.09%,6.72%,1.90,-3.54%,58.33%,15.11%
