回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
2023年,风险平价策略,9.67%,3.48%,2.67,-2.04%,58.33%,11.63%
2024年,沪深300主连,17.32%,22.61%,0.82,-12.74%,58.33%,
2024年,中证1000主连,12.71%,37.62%,0.50,-28.85%,58.33%,
2024年,红利低波ETF,24.03%,19.73%,1.19,-13.79%,66.67%,
2024年,10年国债主连,6.03%,2.69%,2.19,-1.51%,83.33%,
2024年,30年国债主连,18.71%,7.51%,2.32,-4.60%,75.00%,
2024年,沪铜主连,5.76%,15.50%,0.44,-19.76%,41.67%,
2024年,沪铝主连,0.46%,13.14%,0.10,-13.26%,50.00%,
2024年,PTA主连,-21.07%,16.44%,-1.36,-23.72%,25.00%,
2024年,原油主连,7.65%,25.22%,0.42,-23.57%,58.33%,
2024年,豆粕主连,-18.02%,17.69%,-1.03,-26.72%,41.67%,
2024年,沪金主连,27.30%,13.51%,1.85,-7.12%,66.67%,
2024年,风险平价策略,11.88%,5.52%,2.06,-3.15%,66.67%,11.04%
2025年,沪深300主连,25.83%,17.50%,1.40,-13.01%,66.67%,
2025年,中证1000主连,49.44%,21.37%,1.99,-15.69%,75.00%,
2025年,红利低波ETF,4.80%,11.71%,0.46,-7.40%,50.00%,
2025年,10年国债主连,-0.99%,2.44%,-0.40,-2.29%,41.67%,
2025年,30年国债主连,-5.67%,7.22%,-0.77,-8.02%,33.33%,
2025年,沪铜主连,34.36%,15.87%,1.94,-12.04%,83.33%,
2025年,沪铝主连,17.29%,10.82%,1.53,-7.98%,66.67%,
2025年,PTA主连,1.41%,21.13%,0.17,-22.25%,58.33%,
2025年,原油主连,-12.80%,30.05%,-0.30,-24.99%,33.33%,
2025年,豆粕主连,3.38%,15.57%,0.29,-10.28%,58.33%,
2025年,沪金主连,58.28%,18.65%,2.56,-11.25%,83.33%,
2025年,风险平价策略,9.96%,5.02%,1.92,-3.26%,75.00%,12.09%
2026年,沪深300主连,-10.95%,16.49%,-0.62,-6.82%,66.67%,
2026年,中证1000主连,11.67%,27.88%,0.53,-12.03%,66.67%,
2026年,红利低波ETF,8.70%,12.94%,0.71,-4.30%,66.67%,
2026年,10年国债主连,1.83%,1.17%,1.56,-0.52%,66.67%,
2026年,30年国债主连,0.45%,4.94%,0.12,-2.32%,33.33%,
2026年,沪铜主连,-14.31%,33.13%,-0.30,-15.82%,33.33%,
2026年,沪铝主连,38.72%,30.75%,1.22,-10.16%,66.67%,
2026年,PTA主连,234.79%,39.66%,3.25,-7.60%,66.67%,
2026年,原油主连,959.04%,78.19%,3.41,-14.23%,100.00%,
2026年,豆粕主连,30.19%,16.44%,1.69,-6.81%,100.00%,
2026年,沪金主连,17.95%,52.81%,0.58,-24.73%,33.33%,
2026年,风险平价策略,21.24%,6.87%,2.84,-2.53%,100.00%,12.55%
