date,策略名称,股指期货信号,股指期货仓位,沪深300主连,中证500主连,红利低波ETF,10年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连,资金占用比例
2018-01-02,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.258015933315105,0.06492018516926894,0.06246322893884731,0.07345828266480435,0.0,0.08921192110862966,0.1519304488033448,0.13545772805225137
2018-01-03,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2586142516308159,0.06391909582460072,0.06261807425686815,0.07285381092247359,0.0,0.08956474137336695,0.15243002599187458,0.13542027501688852
2018-01-04,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.25702357157196853,0.06527479030550999,0.06361825589725116,0.07437857025309305,0.0,0.09089962194011535,0.14880519003206175,0.1351752376859591
2018-01-05,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2570795216300921,0.0648368831779127,0.06371113222646334,0.07439393035026813,0.0,0.09100402824495307,0.1489745043703106,0.13518502356052892
2018-01-08,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.25911371098229563,0.06392357860404209,0.061442877933020446,0.07506442113447706,0.0,0.09021848217450532,0.15023692917165934,0.1350921702640988
2018-01-09,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2591086267459548,0.06392257894876832,0.06144543350401776,0.07506523384494318,0.0,0.09022031937091515,0.15023780758540078,0.1350929150568662
2018-01-10,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.25039122354248133,0.06517106946115556,0.06394217061621237,0.0762051204995043,0.0,0.09188064286216309,0.15240977301848335,0.1364919895031132
2018-01-11,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.246792426475541,0.06596413601792925,0.06473260752226986,0.07716586895004215,0.0,0.09091811534201,0.1544268456922078,0.13725835913810705
2018-01-12,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2523238655138191,0.06525608798314915,0.062916639715582,0.07524373002021023,0.0,0.08587515394277316,0.15838452282446633,0.13711860357648928
2018-01-15,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.24929811303033944,0.06568190398672848,0.06334695948165091,0.0757145313272135,0.0,0.0864244509744805,0.15953404119958706,0.13765325146889232
2018-01-16,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2572221950755931,0.06200369457195534,0.05294838213156744,0.07269123493953872,0.0,0.0909939340363874,0.16414055924495785,0.13696896510249362
2018-01-17,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2535026152577579,0.059300862532409494,0.05360504450309744,0.07302476138349172,0.0,0.09666663087347456,0.16390008544976878,0.13727540588180562
2018-01-18,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.24978352439044763,0.061412186263628814,0.05536831997382212,0.0755727744126248,0.0,0.09921747177028939,0.15864572318918727,0.13709591458100961
2018-01-19,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.25051842884422293,0.06156021057284054,0.055507317175149964,0.07575895686887907,0.0,0.09946215920248581,0.1571929273364217,0.13681688817901475
2018-01-22,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.25063660005050487,0.06162133623696611,0.05512328433844725,0.07580405488334092,0.0,0.0995239481285602,0.15729077636218056,0.1368112742616201
2018-01-23,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2504907769654831,0.061439868856095065,0.055163730989005545,0.07592066537917035,0.0,0.09949577355615953,0.15748918425408634,0.13685678066725707
2018-01-24,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.25523883178789303,0.056202957441827836,0.056400806568939865,0.07808559265307176,0.0,0.09338345914539083,0.1606883524028766,0.13680471214914863
2018-01-25,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.25526535785274673,0.05619752902455491,0.05639444480521656,0.07807970162183074,0.0,0.09338597273396054,0.1606769939616905,0.13679963379948154
2018-01-26,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.26897435295383026,0.05591151161121929,0.054633081363687094,0.07853867047571618,0.0,0.0940332777464521,0.14790910584909503,0.13340194342548792
2018-01-29,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2698287904364237,0.05626590144260485,0.05501752759776548,0.07905338583677729,0.0,0.09462375081648448,0.14521064386994406,0.1329502118893493
2018-01-30,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.28309045626443485,0.05494455600654765,0.05315385680538918,0.07796718810943135,0.0,0.10086054254920747,0.12998340026498945,0.1291346520407181
2018-01-31,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.28311685893195077,0.05495146657816263,0.05312434304571299,0.077966522529226,0.0,0.10085241632558421,0.12998839258936343,0.129131923890435
2018-02-01,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.290910565900489,0.055365013406807675,0.052541507827144174,0.07289093781640812,0.0,0.09799453224311443,0.13029744280603645,0.12815184015102898
2018-02-02,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.28781228499847566,0.05691997482605609,0.05386632911000296,0.07496653078836218,0.0,0.092671411507303,0.1337634687698,0.1291664807402463
2018-02-05,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2847018792152745,0.057014805596179836,0.055712469521551726,0.0798009514860402,0.0,0.09822472112790115,0.12454517305305252,0.12836193495332762
2018-02-06,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.2867205380990939,0.056475934754548845,0.0536947733142887,0.07944241879030203,0.0,0.09796134291478606,0.12570499212698028,0.12823291031231937
