date,货币信用周期策略
2015-01-05,0.985544031918294
2015-01-06,0.9885233070199344
2015-01-07,0.9855210718286644
2015-01-08,0.9870892572664399
2015-01-09,0.9841123003310354
2015-01-12,0.9835091884326184
2015-01-13,0.9730754334730951
2015-01-14,0.9573161510992262
2015-01-15,0.9642135832362786
2015-01-16,0.9677221449188093
2015-01-19,0.9751409681868294
2015-01-20,0.9698139609218405
2015-01-21,0.977249536651847
2015-01-22,0.9789661927549878
2015-01-23,0.9770923121342082
2015-01-26,0.9660541531262744
2015-01-27,0.9723178172791145
2015-01-28,0.9703095072939094
2015-01-29,0.9654188096531602
2015-01-30,0.9598284020078955
2015-02-02,0.967619791656246
2015-02-03,0.9812418811893002
2015-02-04,0.9836731063780545
2015-02-05,0.9833401248806486
2015-02-06,0.9899290911750434
2015-02-09,0.980680878707755
2015-02-10,0.9786325412929147
2015-02-11,0.9748394332108162
2015-02-12,0.9711559003358031
2015-02-13,0.9838382653600247
2015-02-16,0.9876453992215071
2015-02-17,0.9879135097871569
2015-02-25,0.9840813259397563
2015-02-26,0.9894774193523571
2015-02-27,0.99297130899315
2015-03-02,1.00178910848242
2015-03-03,0.9954986383313603
2015-03-04,0.9923766632082904
2015-03-05,0.984474093260853
2015-03-06,0.9797629143884414
2015-03-09,0.9755670024200882
2015-03-10,0.9720705876386054
2015-03-11,0.9739155893104351
2015-03-12,0.9834873113848528
2015-03-13,0.9801674929745282
2015-03-16,0.9764091254552324
2015-03-17,0.9744978157077135
2015-03-18,0.9657638034291927
2015-03-19,0.9768850319002425
2015-03-20,0.9769861383374883
2015-03-23,0.9894427584617944
2015-03-24,0.995168964998729
2015-03-25,0.990300413663307
2015-03-26,0.9932357208261084
2015-03-27,0.9892009134902079
2015-03-30,0.9824461352363569
2015-03-31,0.9793338806514073
2015-04-01,0.9824982473457642
2015-04-02,0.9863830632751928
2015-04-03,0.9836299208296929
2015-04-07,0.9872520491388158
2015-04-08,0.9849957478192072
2015-04-09,0.9798759455599994
2015-04-10,0.9779250144517417
2015-04-13,0.9795691017309636
2015-04-14,0.9778193282045876
2015-04-15,0.9825525786168536
2015-04-16,0.986651849084283
2015-04-17,0.9879431506905573
2015-04-20,0.9932567926267749
2015-04-21,0.9932171242629544
2015-04-22,0.9941194449212732
2015-04-23,0.9923889303686879
2015-04-24,0.9924518477458852
2015-04-27,0.9991113536250086
2015-04-28,1.0004528707501747
2015-04-29,0.9984364583198336
2015-04-30,1.0023916448672228
2015-05-04,1.0032529883231167
2015-05-05,1.0024016165807217
2015-05-06,1.0087323222542144
2015-05-07,1.0049165976380356
2015-05-08,1.0047711794109546
2015-05-11,1.005168220969109
