date,货币信用周期策略,v0.19风险平价策略
2018-01-03,1.0,1.0
2018-01-04,1.0001489620269668,1.0011278119417633
2018-01-05,1.0001291679914486,1.001954603119268
2018-01-08,1.000881436741027,1.003634056920213
2018-01-09,1.0032669798261018,1.0059790524769634
2018-01-10,1.0009685848711245,1.0038619277617984
2018-01-11,0.9994755832543871,1.0047378011065984
2018-01-12,0.9988787307921356,1.003561379843998
2018-01-15,0.999609182717319,1.0019455589024144
2018-01-16,0.9989938378685659,1.000330774822926
2018-01-17,0.996432729596611,0.9966338969481926
2018-01-18,0.9959524897958036,0.997041319813895
2018-01-19,0.9973529182206967,0.9981861766656982
2018-01-22,1.0018849421854037,1.0046754286442545
2018-01-23,1.0027060928788794,1.0064371829848278
2018-01-24,0.9991787168673626,1.0079381705974362
2018-01-25,1.0028888558654925,1.0099846411419011
2018-01-26,1.002348487476044,1.0084073095053565
2018-01-29,1.002262708923557,1.0046406183362115
2018-01-30,0.9985943667113093,0.9991936355365059
2018-01-31,1.0012784903055918,0.9984695114112425
2018-02-01,0.9994833376735434,0.9900976146694204
2018-02-02,0.9986254858801746,0.9910584157030323
2018-02-05,0.9964925849252964,0.9883808676463455
2018-02-06,0.9927752461982484,0.976713864677035
2018-02-07,0.9922521354329519,0.9725623913885549
2018-02-08,0.9879475313618598,0.9716292036667304
2018-02-09,0.980300867333308,0.9573383058315155
2018-02-12,0.9866981503720986,0.9667493297459141
2018-02-13,0.9888727591366775,0.9708271743432386
2018-02-14,0.9924433868111378,0.9740795530135297
2018-02-22,1.001015294478737,0.9834394829132221
2018-02-23,1.004167032681554,0.987806573100573
2018-02-26,1.0105468734684642,0.9980351814766367
2018-02-27,1.0100244051502996,0.9955524939513594
2018-02-28,1.0094509410614416,0.9938685854873075
2018-03-01,1.012985387339596,0.9981757233871154
2018-03-02,1.0182458287760725,0.9999081761837478
2018-03-05,1.0165549507857774,0.9975057256056115
2018-03-06,1.0216013485947353,1.004568146278197
2018-03-07,1.0197373740273545,0.9988422076801432
2018-03-08,1.0195887648580841,1.0011040886472533
2018-03-09,1.017219791987618,1.0014788755730293
2018-03-12,1.0166626254561628,1.003350692523644
2018-03-13,1.0138632244700687,0.9993303681466812
2018-03-14,1.0152142960937782,0.9982532924978385
2018-03-15,1.0141912366442494,0.9989793915007685
2018-03-16,1.0172325802691276,0.9989978799533948
2018-03-19,1.0137365948892894,0.9976721924568176
2018-03-20,1.014775574028529,0.9990907177437526
2018-03-21,1.0133222756003202,0.9959143431715574
2018-03-22,1.0159603113603122,0.9975093659904108
2018-03-23,1.0176484923653888,0.9999138633633418
2018-03-26,1.0185470856376626,0.9995715709608622
2018-03-27,1.018170996565334,0.9984193719846228
2018-03-28,1.0146441486794024,0.9933280355727462
2018-03-29,1.0151417343478584,0.9910495753410156
2018-03-30,1.0263960640744845,0.9986511579502519
2018-04-02,1.028583995131764,1.0011239583952105
2018-04-03,1.0274038399199217,0.9999587864674436
2018-04-04,1.02848874490136,1.0010175076236594
2018-04-09,1.0348799209751989,1.0072901052044518
2018-04-10,1.033946613259122,1.006379048094817
2018-04-11,1.0369833169978464,1.0094313382690927
2018-04-12,1.0381789944923643,1.0106781321011524
2018-04-13,1.0382191501558367,1.0106022474075191
2018-04-16,1.040394435078168,1.0128171883280246
2018-04-17,1.0461112177718943,1.018334248731819
2018-04-18,1.051393404497456,1.023599540695036
2018-04-19,1.0564056085296778,1.0291269302615098
2018-04-20,1.0520717989710668,1.0243496854600915
2018-04-23,1.0514283767327424,1.0238546284884553
2018-04-24,1.048539077968798,1.0213516445242512
2018-04-25,1.0457346998890582,1.018433075460545
2018-04-26,1.0455644030471023,1.0182531769050325
2018-04-27,1.045184129346792,1.0177928297215404
2018-05-02,1.0473035665476078,1.0199253648954782
2018-05-03,1.0489864685786279,1.0215698692751165
2018-05-04,1.049584531873197,1.0221454299409904
2018-05-07,1.0495864264390211,1.022189523385017
2018-05-08,1.0459719967213224,1.0188714472620777
2018-05-09,1.0451038343484962,1.0179104611027696
2018-05-10,1.0501493843224456,1.0231150920312106
2018-05-11,1.050189994364093,1.023510860245513
2018-05-14,1.0480849163199415,1.0215780514289396
2018-05-15,1.0490367065076895,1.0226337753836066
2018-05-16,1.0460337774288522,1.0197927503077064
2018-05-17,1.0459104384887583,1.019766654390092
2018-05-18,1.047160983552005,1.0210565682130373
2018-05-21,1.047774613408442,1.021639841126098
2018-05-22,1.0484512305006577,1.0218249967116662
2018-05-23,1.0495921953998202,1.0228139891701162
2018-05-24,1.0525889733624059,1.025380600939876
2018-05-25,1.0550301201599448,1.0277956049658565
2018-05-28,1.0496757643121737,1.0220745260781463
2018-05-29,1.0525849615013332,1.0246305235167041
2018-05-30,1.0507466327190351,1.0224995131920767
2018-05-31,1.0505979286165292,1.0225258287281118
2018-06-01,1.0526001636345519,1.0245139403953485
2018-06-04,1.0513326494161443,1.0232789736293872
2018-06-05,1.0491940683543124,1.0211697448310608
2018-06-06,1.0523753781628233,1.0244000800159063
2018-06-07,1.0538397029274023,1.0259088515359065
2018-06-08,1.0503438309159723,1.022447759005751
2018-06-11,1.0521372252555548,1.024102997172987
2018-06-12,1.0512739181853255,1.0232238369170104
2018-06-13,1.0491136097688187,1.0208341171314241
2018-06-14,1.0529991764299553,1.0246585529858354
2018-06-15,1.0520208562324092,1.0238547667363345
2018-06-19,1.046461647153402,1.0181754689945453
2018-06-20,1.0454544071565979,1.0164917676615703
2018-06-21,1.0445868811194319,1.01582593132866
2018-06-22,1.0455439850535253,1.0166215190983672
2018-06-25,1.0468115945274583,1.0178430211205145
2018-06-26,1.0491785572538892,1.0202705475554277
2018-06-27,1.058545562426824,1.028963707481881
2018-06-28,1.0594420448371697,1.029958819179707
2018-06-29,1.0628845088455594,1.0332049828052383
2018-07-02,1.0652021164928056,1.0355167983112468
2018-07-03,1.064510938517459,1.0348375524061801
2018-07-04,1.0606823037871969,1.0310791468658478
2018-07-05,1.0599140186256355,1.0303970986965032
2018-07-06,1.058218259381653,1.0288904064354096
2018-07-09,1.0602520889937914,1.0308240818785424
2018-07-10,1.0599653944050353,1.030545482858462
2018-07-11,1.059063570899254,1.0297978999629636
2018-07-12,1.0569804835457215,1.0274898805332628
2018-07-13,1.0555682112458837,1.0261393960252063
2018-07-16,1.0570567511573767,1.0276348385395897
2018-07-17,1.055701166431067,1.0263273716335577
2018-07-18,1.0533008363440977,1.0239285377230378
2018-07-19,1.0591834348036473,1.0296083462403796
2018-07-20,1.0579933772721286,1.0282283174416287
2018-07-23,1.0604588937212065,1.030807993906971
2018-07-24,1.062420295355714,1.0333816786887913
2018-07-25,1.0659372775416502,1.0366818755208829
2018-07-26,1.0677284735235786,1.038450173263731
2018-07-27,1.0685967759525923,1.0393733196940624
2018-07-30,1.0719638768116637,1.043369936745694
2018-07-31,1.0753111245666005,1.0463599797668426
