date,策略名称,股指期货信号,股指风险预算倍率,股指目标风险预算,股指实际风险贡献,股指期货仓位,沪深300主连,中证1000主连,红利低波ETF,10年国债主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连
2018-01-05,风险平价策略,1.0,2.0,0.2222222222222222,0.22222430978428392,0.1242562884777423,0.1242562884777423,0.0,0.09267940239909607,0.304703229292537,0.0,0.06806044924735402,0.0722736316480764,0.07911943723986195,0.0,0.09729937371370861,0.1616081879816236
2018-01-12,风险平价策略,1.0,2.0,0.2222222222222222,0.22222299499304832,0.13140901886453857,0.13140901886453857,0.0,0.09596681476524714,0.2936266851610653,0.0,0.06805844325031168,0.07102466722334078,0.07939546943912978,0.0,0.09141797384271777,0.1691009274536491
2018-01-19,风险平价策略,1.0,2.0,0.2222222222222222,0.22222681164273006,0.14228629022207315,0.14228629022207315,0.0,0.10329478229228409,0.2825511997889036,0.0,0.06312664130788789,0.06227645019818275,0.07860338859144189,0.0,0.1032709022080159,0.16459034539121092
2018-01-26,风险平价策略,1.0,2.0,0.2222222222222222,0.22222819174257433,0.1449492373440622,0.1449492373440622,0.0,0.104860981564359,0.2978481663034285,0.0,0.05803754498279155,0.060746062229110005,0.08033443199682934,0.0,0.09791749561882988,0.1553060799605894
2018-02-02,风险平价策略,1.0,2.0,0.2222222222222222,0.22221793498751388,0.12730797789828474,0.12730797789828474,0.0,0.08403529742233104,0.3427016422147228,0.0,0.0628673356856322,0.061679403178006846,0.079774298740416,0.0,0.10502778821916288,0.13660625664144344
2018-02-09,风险平价策略,1.0,2.0,0.2222222222222222,0.22221639786485708,0.06919526461829457,0.06919526461829457,0.0,0.04293590711119474,0.38351487560916303,0.0,0.06253807137439571,0.07320434382811612,0.09686143839983766,0.0,0.1348170344232962,0.13693306463570187
2018-02-14,风险平价策略,1.0,2.0,0.2222222222222222,0.22221377958452435,0.06986664635237311,0.06986664635237311,0.0,0.043363083383210675,0.3805691344919724,0.0,0.06345777960523925,0.06947109785071513,0.0981397698615488,0.0,0.13642935811514856,0.1387031303397921
2018-02-23,风险平价策略,1.0,2.0,0.2222222222222222,0.22221789036394451,0.07172927269411493,0.07172927269411493,0.0,0.044542592901210314,0.3724219138627079,0.0,0.06521625574440751,0.07160846484567066,0.10098915218150822,0.0,0.14029119547058908,0.13320115229979132
2018-03-02,风险平价策略,1.0,2.0,0.2222222222222222,0.22221172126200128,0.06952258777214332,0.06952258777214332,0.0,0.04388903530775111,0.38493702587692696,0.0,0.06028793810013647,0.0737427950987871,0.10305527218150519,0.0,0.14518045182995193,0.11938489383279785
2018-03-09,风险平价策略,1.0,2.0,0.2222222222222222,0.22222383643571325,0.07236987216006449,0.07236987216006449,0.0,0.04795952052361974,0.42058913220143773,0.0,0.05529635350078179,0.06507191897208965,0.07889305631743293,0.0,0.13911997672049486,0.12070016960407878
