date,策略名称,股指期货信号,股指期货仓位,沪深300主连,中证500主连,红利低波ETF,10年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连,资金占用比例
2018-01-02,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.12882006186813222,0.12394476379581504,0.145762069115081,0.0,0.0,0.30147310522097176,0.19163439331766743
2018-01-03,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.12717650790463594,0.12458793280734613,0.1449534468711752,0.0,0.0,0.3032821124168427,0.1918433879587329
2018-01-04,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.12977950371015207,0.1264859777964507,0.14787966210137762,0.0,0.0,0.29585485639201947,0.1909813793880561
2018-01-05,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.1289675950312177,0.12672835425195106,0.1479775987359988,0.0,0.0,0.2963264519808324,0.1910389502250599
2018-01-08,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.12760368687861287,0.12265173395955972,0.14984293901159135,0.0,0.0,0.29990164015023607,0.19148662620814424
2018-01-09,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.29744519944490444,0.07338028256037557,0.07053662957158383,0.0861715556629421,0.0,0.0,0.17246633276019402,0.13540257356279062
2018-01-10,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.1275263093352666,0.1251216083607738,0.14911766601503207,0.0,0.0,0.29823441628892744,0.19127930661482162
2018-01-11,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.12745304664453355,0.12507354062388798,0.14909654985828205,0.0,0.0,0.2983768628732964,0.1912961890433784
2018-01-12,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.12625521777082072,0.12172893432947296,0.14557896149158694,0.0,0.0,0.30643688640811934,0.1922282159838902
2018-01-15,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.12621515429607424,0.12172829622568873,0.14549397435022782,0.0,0.0,0.3065625751280093,0.19224244875886343
2018-01-16,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.12337855652905919,0.1053597693337551,0.14464524575623475,0.0,0.0,0.32661642838095095,0.19464042386327646
2018-01-17,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.11865910390559489,0.10726195663816476,0.14612018069634883,0.0,0.0,0.32795875875989156,0.1948162528581505
2018-01-18,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.2258615038115933,0.0,0.0,0.47413849618840664,0.21315523458072475
2018-01-19,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.1346988476590792,0.18384322481109566,0.0,0.0,0.38145792752982505,0.20161338355168995
2018-01-22,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.15953049469483266,0.0,0.20944927950577624,0.3310202257993911,0.189034253657702
2018-01-23,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.2276873313140899,0.0,0.0,0.47231266868591004,0.2129543935554501
