10年国债主连,策略名称,30年国债主连,PTA主连,date,中证1000主连,原油主连,沪深300主连,沪金主连,沪铜主连,沪铝主连,红利低波ETF,豆粕主连
0.25841404960986813,风险平价策略,0.08371549610211389,0.07484193994205089,2014-01-31,0.043403712204559054,0.06728777554822363,0.043060885358762395,0.07127068114001266,0.08183261826627279,0.13975242924553447,0.04726587728638725,0.08915453529621473
0.335122952644919,风险平价策略,0.08814014024695005,0.0553104168015518,2014-02-28,0.033573744060335024,0.07291672217999094,0.03621633126682087,0.08208783067865774,0.06569980141833803,0.10612863132261087,0.04440482201509747,0.08039860736472813
0.37999517749886735,风险平价策略,0.1247660051772432,0.054228571509489065,2014-03-31,0.029322189846735985,0.06471103439053302,0.033506593065682704,0.06274779090355823,0.03935805548197337,0.08411537597906377,0.041420901594252976,0.08582830455260036
0.3766827603967675,风险平价策略,0.15082968319415108,0.045924858433605234,2014-04-30,0.02726612970410036,0.05887515391389598,0.03243732314052077,0.06217599930936199,0.04793348176703621,0.08037672913299529,0.03669333785113831,0.08080454315642725
0.3553888472568755,风险平价策略,0.19034987538680673,0.04525788255553941,2014-05-31,0.029183512267935457,0.06432000142898563,0.035385081331322066,0.056922744440378634,0.048393994652613403,0.07179260171759502,0.040021910044669755,0.06298354891727835
0.3451662704453733,风险平价策略,0.21578244016767079,0.047685921487769706,2014-06-30,0.02893262209387492,0.06569844493268914,0.03684133224588662,0.05692558099465318,0.04931051884317554,0.0644606694275172,0.03764033206505812,0.05155586729633148
0.26079369080333387,风险平价策略,0.1658520177192173,0.05459325539949675,2014-07-31,0.04821008190741092,0.05844611976676644,0.06960791165203443,0.07514855667031642,0.06176520882500365,0.0934456106783253,0.06345204641480351,0.04868550016329137
0.29423797217624503,风险平价策略,0.19974990798052553,0.049576329664798434,2014-08-31,0.04341258103902279,0.04599411652493478,0.05329870309799421,0.0682242382626194,0.05682330038345881,0.08988255191219445,0.05626584826968882,0.042534450688517716
0.37586621367342055,风险平价策略,0.2711949379942215,0.030723111573639016,2014-09-30,0.04176743614138546,0.035246519447607184,0.03774144526384481,0.050825881781089044,0.04055215228638505,0.04453641404603642,0.044049218370208296,0.027496669422162785
0.2772464105590401,风险平价策略,0.3801124636774651,0.024256440118781347,2014-10-31,0.03673951296357027,0.028964002872631803,0.042217010920608145,0.044551161488723574,0.03759461256164242,0.04905612139551003,0.04308902672691074,0.03617323671511636
0.19607993754879902,风险平价策略,0.4856358716480673,0.021386374377105003,2014-11-30,0.03368846345088703,0.018217342137042996,0.05390971243787219,0.034015715777534115,0.031028279349256286,0.04785657915742974,0.04993567202835382,0.028246052087652334
0.3351036104279607,风险平价策略,0.22408834587875706,0.03378982444936811,2014-12-31,0.03372524125522136,0.02784761223445573,0.04404417670368687,0.058065113648063604,0.06198206906839003,0.07302316055694345,0.05153422823137934,0.05679661754577359
0.42170895503236266,风险平价策略,0.19271565615601713,0.033948029497160685,2015-01-31,0.038972046939870844,0.02267883956508634,0.026324772297182594,0.07022505670966928,0.03807730865685982,0.07645996197710764,0.030795744818161327,0.04809362835052186
0.4195787559894353,风险平价策略,0.17998816896209385,0.0374036230397689,2015-02-28,0.041649791429381404,0.02315210111037681,0.028448002366289075,0.06149624948516497,0.04351303129199049,0.07640451957274934,0.03107773814952957,0.057288018603220275
0.268730158053285,风险平价策略,0.1354275264326751,0.04274308077554624,2015-03-31,0.07409750223287136,0.028562820753920987,0.04341892660644132,0.07266196143705736,0.06409998075083459,0.14956253566979474,0.05021077866433689,0.07048472862323646
0.26675651411995305,风险平价策略,0.13532598252913755,0.05124161890200546,2015-04-30,0.05313390712098003,0.03146981023419609,0.04949010415146494,0.07301925159224615,0.07467241095635545,0.1350201416739568,0.05374747176851984,0.07612278695118464
0.2057403882402653,风险平价策略,0.14043339653401757,0.05193882123440856,2015-05-31,0.04916615318376309,0.04335534189982127,0.04155548293019313,0.09805558882035445,0.09483207601967965,0.15377290375337338,0.04057744021941621,0.08057240716470751
0.2292003276345396,风险平价策略,0.17859816278675025,0.05118736369711049,2015-06-30,0.02443928979831692,0.04307701808022879,0.023456685358723115,0.12046302433980963,0.08455902467045907,0.143711157823242,0.028580653908256207,0.07272729190256415
0.2909229879828526,风险平价策略,0.27663643112840847,0.04500888177320056,2015-07-31,0.020370740588585182,0.03799932631344626,0.018039067735778663,0.08806648457003705,0.04839410072628095,0.09052795701872669,0.0227408337290489,0.06129318843363467
0.3346335175796281,风险平价策略,0.2782117230119427,0.033903769323494766,2015-08-31,0.014334345522430582,0.02612781179940673,0.013171118799358353,0.09666243843869625,0.05130222147678095,0.08022686970051891,0.016360910573351675,0.05506527377439095
0.39072323408395043,风险平价策略,0.22565683764716443,0.03853540302501144,2015-09-30,0.015137362608467458,0.02288043318660586,0.01539298128808045,0.08446279877606902,0.04543828486649599,0.08123849408510835,0.01826029691125843,0.06227387352178814
0.30584720309235436,风险平价策略,0.25058104861620484,0.052135349334754486,2015-10-31,0.020160266248741916,0.029606288126257464,0.02156196054037935,0.09887518849653298,0.05691797434247044,0.06379778661401694,0.026744730706939515,0.0737722038813475
0.2971896793020582,风险平价策略,0.2601803805026409,0.05809954049327798,2015-11-30,0.02530914209349795,0.03475209949902292,0.02889297695524478,0.07878901471805963,0.046367315006915474,0.06235062958243062,0.03444521246505907,0.07362400938179253
0.3236351338773644,风险平价策略,0.25845134602023495,0.05193541964417023,2015-12-31,0.02739505386226765,0.033045270671553224,0.02808510898736198,0.07662479758077856,0.04556570663431708,0.05772966653203675,0.03403939776621161,0.06349309842370346
0.33543044544754735,风险平价策略,0.21552494630446953,0.06013509063458691,2016-01-31,0.01630421916428728,0.022609965585530585,0.02240025351137982,0.11538062783663515,0.05277436608015258,0.06427507166821957,0.02364324482556381,0.07152176894162755
