date,策略名称,股指期货信号,股指期货仓位,沪深300主连,中证500主连,红利低波ETF,10年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连,资金占用比例
2018-01-02,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.19967508219307567,0.0,0.22593571769108617,0.0,0.2743892001158381,0.0,0.14802768117343573
2018-01-03,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.19768415660752633,0.0,0.22531676930120828,0.0,0.2769990740912654,0.0,0.14794319547027412
2018-01-04,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.19818591249024933,0.0,0.2258266130972934,0.0,0.27598747441245725,0.0,0.14797864189859922
2018-01-05,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.19712836630200667,0.0,0.2261853629282638,0.0,0.27668627076972946,0.0,0.14796126550619076
2018-01-08,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.32194509674944555,0.0,0.37805490325055446,0.0,0.0,0.0,0.15778054903250555
2018-01-09,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.31790838744894445,0.0,0.38209161255105556,0.0,0.1457163354979578
2018-01-10,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.3173593246851875,0.0,0.38264067531481244,0.0,0.1456943729874075
2018-01-11,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.15518007772331174,0.0,0.18153206066399016,0.0,0.0,0.3632878616126981,0.1994098640001637
2018-01-12,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.15283256881804408,0.0,0.17622405666440857,0.0,0.0,0.3709433745175474,0.2002754455087498
2018-01-15,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.2252943401941852,0.0,0.0,0.4747056598058148,0.21321762257863963
2018-01-16,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.21485233700521472,0.0,0.0,0.4851476629947853,0.2143662429294264
2018-01-17,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.1532333299395082,0.0,0.20284283662341904,0.34392383343707267,0.19071790821314125
2018-01-18,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.1586539754197963,0.0,0.2082925557491268,0.3330534688310769,0.18930417934145338
2018-01-19,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.30265341870449286,0.0,0.39734658129550715,0.0,0.14510613674817974
2018-01-22,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.15953049469483266,0.0,0.20944927950577624,0.3310202257993911,0.189034253657702
2018-01-23,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.15963823397233864,0.0,0.20920956763077564,0.33115219839688576,0.18905835911842644
2018-01-24,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.16456027824692965,0.0,0.1967995311107084,0.33864019064236195,0.1903784397262315
2018-01-25,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.16455516363539976,0.0,0.1968135598022223,0.33863127656237785,0.19037689802977267
2018-01-26,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.1715454584119547,0.0,0.20538903497203226,0.32306550661601297,0.18832164432888013
2018-01-29,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.17353242571713134,0.0,0.2077113944688107,0.3187561798140579,0.18775472400079396
2018-01-30,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.0,0.0,0.3051933359305616,0.0,0.39480666406943826,0.0,0.14520773343722246
